note,pitch,chord,bar,mapped voice,cost,category
16,62,6,4,1,3,other
23,46,10,5,3,0,repetition
32,53,13,6,3,10,other
33,57,13,6,2,4,other
36,55,14,6 3/8,2,0,repetition
37,53,15,6 1/2,3,12,other
39,60,15,6 1/2,1,0,repetition
84,55,39,14,2,0,repetition
85,60,39,14,0,7,other
109,62,50,18,1,0,repetition
134,69,61,21,0,0,repetition
150,60,68,24 1/2,3,12,other
164,53,74,26 1/2,3,8,other
165,57,74,26 1/2,2,4,other
170,60,75,27,1,0,repetition
171,65,75,27,0,0,repetition
176,57,78,28,3,9,other
200,55,89,33,3,0,repetition
216,55,95,35,0,14,other
222,62,97,36,1,0,repetition
238,43,106,39,3,0,repetition
249,60,109,40,1,0,repetition
254,53,112,41,3,5,other
256,60,112,41,2,12,other
260,62,113,42 1/2,2,14,other
264,64,114,43,2,14,other
272,58,116,44,1,1,other
282,67,120,46,0,0,repetition
289,53,123,48 1/2,3,10,other
298,53,126,49 1/2,3,7,other
300,60,126,49 1/2,0,5,other
317,65,132,52,0,0,repetition
322,53,135,53,3,5,other
