note,pitch,chord,bar,mapped voice,cost,category
26,62,10,6,2,7,other
73,48,30,13,3,0,repetition
84,60,35,14 1/2,2,5,other
112,59,45,19,2,2,other
127,52,52,21,2,3,other
135,62,55,22,1,0,repetition
153,60,63,25,2,0,repetition
173,55,72,28,2,2,other
174,62,72,28,1,0,repetition
202,69,83,32,0,0,repetition
300,59,123,43 1/2,1,8,other
318,62,130,45 1/2,1,3,other
346,64,144,49 3/4,2,2,other
349,66,145,50,0,1,ficta
359,60,150,51 1/2,1,7,other
362,48,151,52,3,0,repetition
413,67,174,60,0,2,other
415,60,176,60 1/2,3,0,repetition
487,57,207,70,2,2,other
489,53,208,70 1/2,2,0,repetition
495,69,210,71,0,0,repetition
511,55,218,74,3,0,repetition
512,59,218,74,2,0,repetition
527,57,224,76 1/2,2,2,other
539,60,229,78,2,0,repetition
546,46,232,79,3,0,repetition
566,55,242,81 1/2,3,0,repetition
581,50,249,84,3,3,other
595,62,256,86,1,0,repetition
603,67,259,87,0,0,repetition
609,62,261,88,2,0,repetition
615,50,264,89,3,2,other
620,50,267,90,3,2,other
628,67,270,91,0,0,repetition
638,67,273,92 1/2,0,0,repetition
642,60,275,93 1/4,2,0,repetition
653,62,280,95,0,5,other
677,55,293,99,1,0,repetition
685,67,295,100,1,0,repetition
696,62,302,102,1,0,repetition
704,67,305,103,0,0,repetition
710,62,307,104,2,0,repetition
715,64,308,104 1/2,0,3,other
716,50,309,105,3,2,other
721,50,312,106,3,2,other
729,67,315,107,0,0,repetition
739,67,318,108 1/2,0,0,repetition
743,60,320,109 1/4,2,0,repetition
754,62,325,111,0,5,other
778,55,338,115,1,0,repetition
786,67,340,116,1,0,repetition
