note,pitch,chord,bar,mapped voice,cost,category
4,57,1,2,2,0,repetition
35,64,15,7 1/2,0,1,ficta
43,62,18,9,0,0,repetition
50,67,21,10,0,0,repetition
55,50,24,11,2,0,repetition
62,55,27,12,2,0,repetition
70,60,31,13,1,0,repetition
77,57,33,14,1,5,other
106,62,48,19,0,0,repetition
112,57,51,20,1,0,repetition
118,57,53,21,2,0,repetition
127,62,56,22,1,0,repetition
131,55,58,22 3/4,2,0,repetition
143,61,64,25,1,0,repetition
144,64,64,25,0,0,repetition
149,57,66,26,1,4,other
152,50,69,27,3,0,repetition
154,62,69,27,1,0,repetition
164,46,73,29,3,0,repetition
177,43,80,31,3,0,repetition
196,55,88,33,2,2,other
198,65,88,33,0,0,repetition
213,65,94,35,1,0,repetition
232,60,101,38,1,0,repetition
239,58,104,39,1,1,other
242,57,105,39 1/2,0,8,other
253,62,108,41,1,0,repetition
260,62,111,42,0,0,repetition
262,43,113,43,3,0,repetition
265,59,114,43 1/2,1,0,repetition
267,59,115,44,1,0,repetition
288,53,124,47,2,2,other
306,58,134,50,1,0,repetition
327,67,142,53 1/4,0,3,other
350,55,152,57,2,0,repetition
360,57,157,58,1,3,other
362,67,157,58,0,0,repetition
372,43,162,60,3,0,repetition
373,55,162,60,1,0,repetition
375,59,163,60 1/2,2,0,repetition
377,59,164,61,1,1,ficta
416,58,183,67,1,0,repetition
437,67,191,70 1/4,0,3,other
460,55,201,74,2,0,repetition
470,57,206,75,1,3,other
472,67,206,75,0,0,repetition
505,62,220,80,1,0,repetition
506,67,220,80,0,0,repetition
509,50,223,81,3,0,repetition
511,62,223,81,1,0,repetition
