note,pitch,chord,bar,mapped voice,cost,category
9,48,6,4,3,0,repetition
13,64,7,4 1/2,1,0,repetition
54,45,21,12,3,0,repetition
55,60,21,12,1,0,repetition
58,69,22,12 1/2,0,0,repetition
59,60,23,12 3/4,1,0,repetition
68,62,27,14,2,10,other
69,67,27,14,0,0,repetition
83,62,32,17,2,0,repetition
94,65,35,18 3/4,1,2,other
145,67,57,27 1/4,0,0,repetition
147,57,58,27 1/2,2,0,repetition
152,59,60,28,2,2,other
153,62,60,28,1,0,repetition
177,48,71,32,3,0,repetition
181,53,73,32 1/2,3,5,other
191,43,77,34,3,0,repetition
193,60,77,34,1,0,repetition
194,67,77,34,0,0,repetition
200,55,80,35,2,5,other
203,53,81,36,2,1,other
208,60,83,37,1,0,repetition
238,53,97,41,3,5,other
258,71,106,43 3/4,0,1,ficta
260,60,107,44,1,0,repetition
270,60,112,45 1/2,1,0,repetition
273,48,114,46,3,0,repetition
282,57,117,47,2,0,repetition
283,65,117,47,1,0,repetition
284,72,117,47,0,0,repetition
287,53,119,47 3/4,2,2,other
289,48,120,48,3,0,repetition
292,72,120,48,0,0,repetition
327,60,139,53 1/2,1,0,repetition
333,53,142,54 1/4,2,1,other
334,55,143,54 3/8,2,3,other
335,52,144,54 1/2,2,1,other
344,48,148,55 1/2,3,0,repetition
363,64,156,57 1/2,2,16,other
366,53,157,57 3/4,3,5,other
375,48,160,58 1/2,3,0,repetition
420,48,180,63 1/2,3,0,repetition
465,60,201,68 1/2,2,0,repetition
468,62,202,68 3/4,1,0,repetition
475,65,204,69 1/4,2,5,other
478,64,205,69 1/2,2,4,other
481,53,207,70,1,2,other
482,61,207,70,2,1,ficta
483,65,207,70,0,2,other
516,55,222,73 1/2,1,7,other
541,59,236,76 1/2,2,0,repetition
545,55,237,76 3/4,2,4,other
546,64,237,76 3/4,1,0,repetition
552,57,240,77 3/8,2,2,other
570,67,247,78 3/4,1,0,repetition
573,60,249,79,2,5,other
583,67,251,79 1/2,0,0,repetition
609,59,266,82 1/2,2,2,other
693,55,306,92,2,5,other
717,60,318,95,2,0,repetition
771,58,343,101 1/2,2,0,repetition
777,58,345,102,1,4,other
780,58,347,102 1/2,1,4,other
792,53,353,104,1,7,other
794,65,353,104,0,2,other
802,70,357,105 1/4,0,2,other
811,57,361,106 1/4,2,2,other
820,55,367,107 1/2,2,0,repetition
837,53,377,109 1/2,2,0,repetition
877,53,396,113 3/4,3,10,other
889,67,401,114 1/2,0,0,repetition
