note,pitch,chord,bar,mapped voice,cost,category
35,63,12,8,1,0,repetition
41,65,14,9,0,0,repetition
74,63,26,16,0,4,other
80,67,29,17,1,9,other
81,63,30,17 1/4,0,0,repetition
86,58,32,17 3/4,2,0,repetition
88,58,33,18,2,0,repetition
89,60,33,18,1,5,other
103,62,39,20 1/2,1,0,repetition
125,57,49,23 1/2,2,0,repetition
127,58,50,23 3/4,1,4,other
137,62,54,25,2,5,other
139,51,55,25 1/4,3,1,ficta
148,60,58,26 1/4,2,2,other
176,62,71,30,0,5,other
205,43,85,35,3,7,other
217,67,89,36 1/2,0,0,repetition
241,65,101,40,1,7,other
244,53,102,40 1/2,1,4,other
260,65,109,43,0,0,repetition
274,51,117,45 3/4,3,0,repetition
283,63,121,47,0,2,other
293,51,126,48 1/2,1,2,other
294,56,126,48 1/2,2,2,other
295,60,126,48 1/2,0,5,other
296,44,127,49,3,0,repetition
297,56,127,49,2,3,other
302,58,128,49 1/2,1,2,other
306,65,129,50,1,0,repetition
314,43,133,52,3,3,other
316,59,133,52,1,3,other
326,67,137,53 1/2,0,0,repetition
