note,pitch,chord,bar,mapped voice,cost,category
37,65,19,9,2,1,ficta
53,62,26,12,1,0,repetition
107,65,50,21,0,0,repetition
112,62,52,22,1,2,other
114,64,53,22 1/4,0,1,other
120,61,55,23,2,1,ficta
144,66,63,27,0,0,repetition
150,59,67,28 1/4,1,1,other
167,62,73,31,2,0,repetition
173,67,75,32,2,5,other
187,67,80,34,2,0,repetition
193,53,83,35,3,0,repetition
221,55,95,38,2,10,other
246,67,106,41 1/4,2,2,other
253,62,109,42 1/4,1,1,other
274,62,118,45,2,0,repetition
286,69,122,47,0,0,repetition
296,69,125,48 1/2,0,0,repetition
314,55,134,51,1,2,other
327,66,140,53,0,0,repetition
345,62,149,56,2,0,repetition
355,50,154,57 1/1,3,0,repetition
358,69,154,57 1/1,0,0,repetition
