note,pitch,duration,onset,chord,bar,mapped voice,cost,category
0,64,1/16,5/8,0,1 5/8,0,n/a,ornamentation
1,66,1/16,11/16,1,1 11/16,0,n/a,ornamentation
2,67,1/16,3/4,2,1 3/4,0,n/a,ornamentation
3,66,1/16,13/16,3,1 13/16,0,n/a,ornamentation
4,64,1/16,7/8,4,1 7/8,0,n/a,ornamentation
5,66,1/16,15/16,5,1 15/16,0,n/a,ornamentation
6,67,1/2,1/1,6,2,0 and 1,n/a,match
7,67,1/2,3/2,7,2 1/2,1,0,repetition
8,70,1/2,3/2,7,2 1/2,0,n/a,match
9,66,1/2,2/1,8,3,1,n/a,ficta
10,69,1/2,2/1,8,3,0,n/a,match
11,67,1/8,5/2,9,3 1/2,0 and 1,n/a,match
12,69,1/8,21/8,10,3 5/8,0,n/a,ornamentation
13,70,1/8,11/4,11,3 3/4,0,n/a,ornamentation
14,72,1/8,23/8,12,3 7/8,0,n/a,ornamentation
15,55,1/4,3/1,13,4,2,n/a,match
16,67,1/4,3/1,13,4,1,0,repetition
17,74,1/4,3/1,13,4,0,n/a,match
18,65,1/4,13/4,14,4 1/4,1,n/a,match
19,58,1/4,7/2,15,4 1/2,2,n/a,match
20,62,1/4,7/2,15,4 1/2,1,n/a,match
21,74,1/4,7/2,15,4 1/2,0,0,repetition
22,72,1/8,15/4,16,4 3/4,0,n/a,match
23,70,1/8,31/8,17,4 7/8,0,n/a,match
24,57,1/4,4/1,18,5,2,n/a,match
25,64,1/4,4/1,18,5,1,n/a,match
26,72,1/4,4/1,18,5,0,n/a,match
27,66,1/4,17/4,19,5 1/4,1,n/a,ficta
28,55,1/8,9/2,20,5 1/2,2,n/a,match
29,67,1/8,9/2,20,5 1/2,1,n/a,match
30,70,1/8,9/2,20,5 1/2,0,n/a,match
31,57,1/8,37/8,21,5 5/8,2,n/a,ornamentation
32,58,1/8,19/4,22,5 3/4,2,n/a,ornamentation
33,60,1/8,39/8,23,5 7/8,2,n/a,ornamentation
34,50,1/8,5/1,24,6,3,n/a,match
35,62,1/8,5/1,24,6,2,n/a,match
36,65,1/8,5/1,24,6,1,n/a,match
37,67,1/8,41/8,25,6 1/8,0,n/a,ornamentation
38,69,1/8,21/4,26,6 1/4,0,n/a,match
39,70,1/8,43/8,27,6 3/8,3,n/a,ornamentation
40,53,1/8,11/2,28,6 1/2,3,n/a,match
41,69,1/8,45/8,29,6 5/8,0,n/a,ornamentation
42,67,1/8,23/4,30,6 3/4,0,n/a,match
43,65,1/8,47/8,31,6 7/8,0,n/a,match
44,51,1/4,6/1,32,7,3,n/a,ficta
45,60,1/4,6/1,32,7,1,n/a,match
46,67,1/4,6/1,32,7,0,n/a,match
47,55,1/4,25/4,33,7 1/4,3,3,adaptation
48,50,1/8,13/2,34,7 1/2,3,n/a,match
49,62,1/8,13/2,34,7 1/2,1,n/a,match
50,65,1/8,13/2,34,7 1/2,0,n/a,match
51,67,1/8,53/8,35,7 5/8,0,n/a,ornamentation
52,53,1/8,27/4,36,7 3/4,3,3,adaptation
53,69,1/8,27/4,36,7 3/4,0,4,adaptation
54,55,1/8,55/8,37,7 7/8,3,n/a,ornamentation
55,57,1/8,7/1,38,8,3,n/a,match
56,64,1/8,7/1,38,8,1,n/a,match
57,69,1/8,57/8,39,8 1/8,0,n/a,ornamentation
58,72,1/8,29/4,40,8 1/4,0,n/a,match
59,70,1/8,59/8,41,8 3/8,3,n/a,ornamentation
60,53,1/8,15/2,42,8 1/2,3,4,adaptation
61,72,1/8,61/8,43,8 5/8,0,n/a,ornamentation
62,70,1/8,31/4,44,8 3/4,0,n/a,match
63,69,1/8,63/8,45,8 7/8,0,n/a,match
64,46,1/4,8/1,46,9,2,16,adaptation
65,55,1/4,8/1,46,9,3,n/a,match
66,70,1/4,8/1,46,9,0,n/a,match
67,60,1/8,33/4,47,9 1/4,2,2,adaptation
68,67,1/8,33/4,47,9 1/4,0,n/a,match
69,62,1/8,67/8,48,9 3/8,2,0,repetition
70,55,1/4,17/2,49,9 1/2,3,0,repetition
71,63,1/4,17/2,49,9 1/2,1,n/a,match
72,53,1/4,35/4,50,9 3/4,3,n/a,match
73,62,1/4,35/4,50,9 3/4,1,n/a,match
74,69,1/4,35/4,50,9 3/4,0,n/a,match
75,51,1/8,9/1,51,10,3,n/a,ficta
76,60,1/8,73/8,52,10 1/8,1,n/a,match
77,60,1/8,37/4,53,10 1/4,1,n/a,match
78,67,1/8,37/4,53,10 1/4,0,n/a,match
79,69,1/8,75/8,54,10 3/8,0,n/a,match
80,50,1/8,19/2,55,10 1/2,3,n/a,match
81,70,1/8,19/2,55,10 1/2,0,n/a,match
82,69,1/8,77/8,56,10 5/8,0,n/a,match
83,59,1/8,39/4,57,10 3/4,1,n/a,match
84,67,1/8,39/4,57,10 3/4,0,n/a,match
85,65,1/8,79/8,58,10 7/8,0,n/a,match
86,48,1/8,10/1,59,11,3,n/a,match
87,60,1/8,10/1,59,11,1 and 2,n/a,match
88,64,1/8,10/1,59,11,0,n/a,match
89,59,1/8,81/8,60,11 1/8,1,n/a,ornamentation
90,60,1/8,41/4,61,11 1/4,1,n/a,ornamentation
91,62,1/8,83/8,62,11 3/8,1,n/a,match
92,60,1/8,21/2,63,11 1/2,2,0,repetition
93,64,1/8,21/2,63,11 1/2,1,n/a,match
94,65,1/8,85/8,64,11 5/8,1,n/a,match
95,67,1/4,43/4,65,11 3/4,1,n/a,match
96,57,1/8,11/1,66,12,2,n/a,match
