ornament,voice,bar,pitch
R 0 S 2 S 1 S -1 S -2 S 2 S 1 H,0,1 5/8,64
E 2 E 1 E 2 E 2 Q,0,3 5/8,69
E 2 E 1 E 2 E 2 E,2,5 5/8,57
R 0 E,0,6 1/8,67
R 0 E,3,6 3/8,70
R 0 E,0,6 5/8,69
E 2 E,0,7 5/8,67
E 2 E,3,7 7/8,55
R 0 E,0,8 1/8,69
R 0 E,3,8 3/8,70
R 0 E,0,8 5/8,72
E -1 E 1 E 2 E,1,11 1/8,59
E -1 E,1,13 1/8,64
E -2 E,1,13 3/8,60
E 2 E 1 E -3 E 2 E,1,14 1/8,57
E -2 E 2 E 1 E,1,14 5/8,55
R 0 E,0,15 1/8,70
R 0 E,1,15 3/8,62
R 0 E,1,17 5/8,60
S -2 S -1 S 1 S 2 E,1,17 13/16,60
R 0 E,0,18 1/8,64
E 2 E,0,18 3/8,67
Q 2 E -2 E -1 Q,0,22 3/4,72
Q 10 E -2 E -1 Q,3,23 1/4,60
Q 5 E -2 E -2 E,0,25 1/4,69
E 7 E -2 E -2 E -2 Q,1,25 5/8,64
Q 2 E -2 E 0 Q,0,26 1/4,69
E 2 E -2 E -1 E 1 Q,0,28 1/8,67
E -2 E 2 E 1 E,1,29 1/8,62
R 0 E,1,30 5/8,66
S -1 S -2 S 2 S 1 Q,1,30 13/16,66
Q -19 E,0,31 1/2,55
E 2 E,0,32 1/8,69
R 0 E,0,32 5/8,70
E 2 E,0,33 1/8,67
E 2 E -2 E -1 E -2 E,1,35 1/8,62
E 7 E -2 E -2 E -2 Q,1,35 5/8,64
Q 2 E -2 E 0 Q,0,36 1/4,69
E 7 E,1,41 1/8,69
R 0 E -1 E -2 E -1 E,1,41 5/8,70
E 1 E 2 E -3 E -2 E,0,42 1/8,70
E 2 E 1 E 2 E 2 Q,0,42 5/8,69
E 2 E 1 E 2 E 2 E,2,44 5/8,57
R 0 E,0,45 1/8,67
R 0 E,3,45 3/8,70
R 0 E,0,45 5/8,69
E 2 E 1 E 2 E -3 E,1,46 5/8,64
R 0 E,0,47 1/8,70
R 0 E,3,47 3/8,70
R 0 E,0,47 5/8,72
E -13 E 13 E 2 E,1,50 1/8,47
E -1 E,1,52 1/8,64
E -2 E,1,52 3/8,60
E 2 E 1 E -3 E 2 E,1,53 1/8,57
E -2 E 2 E 1 E,1,53 5/8,55
R 0 E,0,54 1/8,70
R 0 E,1,54 3/8,62
R 0 E,1,56 5/8,60
S -2 S -1 S 1 S 2 E,1,56 13/16,60
R 0 E,0,57 1/8,64
E 2 E,0,57 3/8,67
E -1 E -2 E 3 H,1,61 1/4,62
