ornament,voice,bar,pitch
E. -1 S 1 S -1 S 1 T -1 T -2 T -2 T -2 Q,0,4 3/16,64
E. 2 T -2 T 3 S,1,5 11/16,64
S -1 S 1 T -1 T -2 T 2 T 1 S,1,5 13/16,64
S -2 S 2 S 1 S -1 E -2 E 2 E,0,6 1/16,67
E 1 T -1 T -2 T 2 T 1 S,0,6 5/8,70
S -1 S 1 S 2 S -2 E,0,6 13/16,69
E. 2 T -2 T 3 S,2,7 11/16,64
S -1 S 1 T -1 T -2 T 2 T 1 Q,2,7 13/16,64
R 0 S 2 S 1 S -1 E,2,8 5/16,60
S -1 S 1 S 2 S -2 E,1,8 13/16,57
E 5 E -2 E -1 E -2 Q,1,10 1/8,55
R 0 S -2 S -1 S 1 S,2,11 9/16,60
S 2 S 2 S 2 S 1 S,2,11 13/16,60
S 2 S 1 S 2 S -2 E -1 E -2 Q,1,12 1/16,64
E. -2 T 2 T 1 S,0,13 3/16,67
S -1 S 1 S 2 S -2 E.,0,13 5/16,69
E. -1 T 1 T -1 E,0,13 11/16,69
E. -2 T 2 T 1 S -1 S 1 T -1 T -2 T 2 T 1 S,1,14 3/16,60
S -1 S 1 S 2 S -2 E,1,14 9/16,62
E -1 S -2 S 2 Q,1,14 7/8,62
S -1 S 1 S 2 S -2 E.,1,15 5/16,62
E. -1 T 1 T -1 E,1,15 11/16,62
S -1 S 1 S 2 S -2 E.,3,16 13/16,57
E. -1 T 1 T -1 E,3,17 3/16,57
R 0 S -2 S -2 S,2,19 5/8,66
S -1 S 1 T -1 T -2 T 2 T 1 S,0,19 13/16,66
S -2 S 2 S 2 S 1 S,0,20 1/16,65
S -3 S 2 S 1 S -1 E,0,20 5/16,67
R 0 E,2,21 3/8,58
R 0 S -2 S 3 S,0,21 5/8,66
S -1 S 1 T -1 T -2 T 2 T 1 Q,0,21 13/16,66
E. -2 T 2 T 1 S,2,22 11/16,55
S -1 S 1 S 2 S -2 E -1 E,2,22 13/16,57
E. 6 T -2 T -2 S,3,23 11/16,54
S -1 S 1 T -1 T -2 T 2 T 1 S,2,23 13/16,54
S -5 S 1 S 2 S 2 S,1,24 1/16,57
S 5 S -2 S -1 S -2 S,3,24 5/16,60
R 0 S 1 S 2 S 2 S,1,24 9/16,57
S -2 S 2 S -4 S 2 Q,1,24 13/16,60
R 0 T -2 T 4 S -2 S 2 T -2 T -2 T 2 T 2 Q,2,25 11/16,60
E. -2 T 2 T 2 Q,0,27 3/16,65
S -1 S 1 S 2 S 2 S -4 S 2 S -2 S -1 E,1,27 9/16,57
E. -1 T 1 T -1 E -2 E 2 Q,0,29 11/16,64
S -1 S 1 S 2 S -2 Q,2,31 9/16,57
E -7 S 2 S 1 S 2 S 2 S 1 S -1 Q,0,32 1/8,62
E. -1 T 1 T -1 E -2 E 2 Q,0,34 11/16,69
E 2 E,1,36 7/8,57
E. -1 T 1 T -1 E -2 E 2 Q,1,37 3/16,57
E. -1 T 1 T -1 E -2 E 2 E,0,39 3/16,69
E 1 E -1 E -2 E -2 Q,1,39 5/8,63
R 0 T 1 T -1 E,3,40 11/16,50
E -2 E,1,41 1/8,58
S -2 S,0,43 11/16,64
S -1 S,0,43 13/16,66
T -1 T -2 T 2 T 1 S,0,43 29/32,66
S -1 S,2,44 1/16,57
S 2 S,2,44 3/16,60
S -2 S -2 S -1 S 1 E.,2,44 5/16,60
E. -1 T 1 T -1 E,2,44 11/16,57
E 0 E,2,45 5/8,65
S -2 S,0,46 11/16,64
S -1 S,0,46 13/16,66
T -1 T,0,46 29/32,66
T 2 T,0,46 31/32,66
S 2 S 1 S 2 S 2 S -2 S -2 S -1 S -2 Q,1,47 1/16,57
E. -2 T 2 T 1 S,2,48 3/16,57
S -1 S 1 T -1 T -2 T 2 T 1 S,2,48 5/16,59
S -2 S 2 S 1 S -1 Q,0,48 9/16,62
E. -2 T 2 T 3 S,0,49 15/16,62
