note,pitch,duration,chord,bar,mapped voice,cost,category
0,50,1/1,0,1,1,n/a,match
1,53,1/1,1,1 1/1,1,n/a,match
2,57,1/1,1,1 1/1,0,n/a,match
3,52,1/1,2,2,1,n/a,match
4,60,1/1,2,2,0,n/a,match
5,55,1/1,3,2 1/1,1,n/a,match
6,59,1/1,3,2 1/1,0,n/a,match
7,55,1/2,4,3,1,0,repetition
8,62,1/2,4,3,0,n/a,match
9,53,1/4,5,3 1/2,1,n/a,match
10,52,1/4,6,3 3/4,1,n/a,match
11,50,1/2,7,3 1/1,1,n/a,match
12,62,1/2,7,3 1/1,0,0,repetition
13,52,1/4,8,3 3/2,1,n/a,match
14,60,1/4,8,3 3/2,0,n/a,match
15,59,1/4,9,3 7/4,0,n/a,match
16,53,1/2,10,4,1,n/a,match
17,57,1/2,10,4,0,n/a,match
18,55,1/2,11,4 1/2,1,n/a,match
19,59,1/2,11,4 1/2,0,n/a,match
20,57,1/2,12,4 1/1,1,n/a,match
21,60,1/2,12,4 1/1,0,n/a,match
22,50,1/2,13,4 3/2,1,n/a,match
23,62,1/2,13,4 3/2,0,n/a,match
24,57,1/2,14,5,1,n/a,match
25,64,1/2,14,5,0,n/a,match
26,57,1/2,15,5 1/2,0,n/a,match
27,64,1/2,16,5 1/1,0,n/a,match
28,45,1/2,17,5 3/2,1,n/a,match
29,48,1/2,18,6,1,n/a,match
30,52,1/2,19,6 1/2,0,n/a,match
31,47,1/1,20,6 1/1,1,n/a,match
32,55,1/1,20,6 1/1,0,n/a,match
33,50,1/1,21,7,1,n/a,match
34,53,1/1,21,7,0,n/a,match
35,50,1/2,22,7 1/1,1,0,repetition
36,57,1/2,22,7 1/1,0,n/a,match
37,48,1/4,23,7 3/2,1,n/a,match
38,47,1/4,24,7 7/4,1,n/a,match
39,45,1/2,25,8,1,n/a,match
40,57,1/2,25,8,0,0,repetition
41,47,1/4,26,8 1/2,1,n/a,match
42,55,1/4,26,8 1/2,0,n/a,match
43,53,1/4,27,8 3/4,0,n/a,match
44,48,1/2,28,8 1/1,1,n/a,match
45,52,1/2,28,8 1/1,0,n/a,match
46,50,1/2,29,8 3/2,1,n/a,match
47,53,1/2,29,8 3/2,0,n/a,match
48,52,1/2,30,9,1,n/a,match
49,55,1/2,30,9,0,n/a,match
50,45,1/2,31,9 1/2,1,n/a,match
51,57,1/2,31,9 1/2,0,n/a,match
52,52,1/2,32,9 1/1,1,n/a,match
53,59,1/2,32,9 1/1,0,n/a,match
54,52,1/2,33,9 3/2,0,n/a,match
55,59,1/2,34,10,0,n/a,match
56,52,1/2,35,10 1/2,1,n/a,match
57,55,1/2,36,10 1/1,1,n/a,match
58,59,1/2,37,10 3/2,0,n/a,match
59,53,1/1,38,11,1,n/a,match
60,62,1/1,38,11,0,n/a,match
61,57,1/1,39,11 1/1,1,n/a,match
62,60,1/1,39,11 1/1,0,n/a,match
63,57,1/2,40,12,1,0,repetition
64,64,1/2,40,12,0,n/a,match
65,55,1/4,41,12 1/2,1,n/a,match
66,53,1/4,42,12 3/4,1,n/a,match
67,52,1/2,43,12 1/1,1,n/a,match
68,64,1/2,43,12 1/1,0,0,repetition
69,53,1/4,44,12 3/2,1,n/a,match
70,62,1/4,44,12 3/2,0,n/a,match
71,60,1/4,45,12 7/4,0,n/a,match
72,55,1/2,46,13,1,n/a,match
73,59,1/2,46,13,0,n/a,match
74,57,1/2,47,13 1/2,1,n/a,match
75,60,1/2,47,13 1/2,0,n/a,match
76,50,1/2,48,13 1/1,1,n/a,match
77,62,1/2,48,13 1/1,0,n/a,match
78,57,1/2,49,13 3/2,1,n/a,match
79,64,1/2,49,13 3/2,0,n/a,match
80,57,1/2,50,14,0,n/a,match
81,57,1/2,51,14 1/2,1,n/a,match
82,64,1/2,51,14 1/2,0,n/a,match
83,64,1/2,52,14 1/1,0,0,repetition
84,55,1/2,53,14 3/2,1,n/a,match
85,57,1/2,54,15,1,n/a,match
86,53,1/2,55,15 1/2,1,n/a,match
87,62,1/2,55,15 1/2,0,n/a,match
88,52,1/2,56,15 1/1,1,n/a,match
89,64,1/2,56,15 1/1,0,n/a,match
90,57,1/2,57,15 3/2,1,n/a,match
91,60,1/2,57,15 3/2,0,n/a,match
92,55,1/2,58,16,1,n/a,match
93,59,1/2,58,16,0,n/a,match
94,52,1/2,59,16 1/2,1,n/a,match
95,64,1/2,59,16 1/2,0,n/a,match
96,62,1/2,60,16 1/1,0,n/a,match
97,55,1/2,61,16 3/2,1,n/a,match
98,59,1/2,61,16 3/2,0,n/a,match
99,55,1/2,62,17,1,0,repetition
100,54,1/2,63,17 1/2,1,n/a,ficta
101,62,1/2,63,17 1/2,0,n/a,match
102,55,1/2,64,17 1/1,1,n/a,match
103,62,1/2,64,17 1/1,0,0,repetition
104,52,1/2,65,17 3/2,1,n/a,match
105,61,1/2,65,17 3/2,0,n/a,ficta
106,50,1/2,66,18,1,n/a,match
107,62,1/2,66,18,0,n/a,match
108,55,1/2,67,18 1/2,1,n/a,match
109,59,1/2,67,18 1/2,0,n/a,match
110,53,1/2,68,18 1/1,1,n/a,match
111,57,1/2,68,18 1/1,0,n/a,match
112,50,1/2,69,18 3/2,1,n/a,match
113,62,1/2,69,18 3/2,0,n/a,match
114,60,1/2,70,19,0,n/a,match
115,50,1/2,71,19 1/2,1,n/a,match
116,57,1/2,71,19 1/2,0,n/a,match
117,52,1/2,72,19 1/1,1,n/a,match
118,53,1/2,73,19 3/2,1,n/a,match
119,57,1/2,73,19 3/2,0,n/a,match
120,55,1/2,74,20,1,n/a,match
121,59,1/2,74,20,0,n/a,match
122,52,1/2,75,20 1/2,1,n/a,match
123,61,1/2,75,20 1/2,0,n/a,ficta
124,53,1/2,76,20 1/1,1,n/a,match
125,62,1/2,76,20 1/1,0,n/a,match
126,55,1/2,77,20 3/2,1,n/a,match
127,59,1/2,77,20 3/2,0,n/a,match
128,57,1/2,78,21,1,n/a,match
129,61,1/2,78,21,0,n/a,ficta
130,50,1/2,79,21 1/2,1,n/a,match
131,62,1/2,79,21 1/2,0,n/a,match
132,64,1/2,80,21 1/1,0,n/a,match
133,57,1/2,81,21 3/2,0 and 1,n/a,match
134,57,1/2,82,22,1,0,repetition
135,55,1/2,83,22 1/2,1,n/a,match
136,64,1/2,83,22 1/2,0,n/a,match
137,57,1/2,84,22 1/1,1,n/a,match
138,64,1/2,84,22 1/1,0,0,repetition
139,58,1/2,85,22 3/2,1,n/a,match
140,62,1/2,85,22 3/2,0,n/a,match
141,55,1/2,86,23,1,n/a,match
142,64,1/2,86,23,0,n/a,match
143,57,1/2,87,23 1/2,1,n/a,match
144,65,1/2,87,23 1/2,0,n/a,match
145,62,1/2,88,23 1/1,0,n/a,match
146,57,1/2,89,23 3/2,1,n/a,match
147,64,1/2,89,23 3/2,0,n/a,match
148,57,1/2,90,24,1,0,repetition
149,55,1/2,91,24 1/2,1,n/a,match
150,64,1/2,91,24 1/2,0,n/a,match
151,57,1/2,92,24 1/1,1,n/a,match
152,64,1/2,92,24 1/1,0,0,repetition
153,58,1/2,93,24 3/2,1,n/a,match
154,62,1/2,93,24 3/2,0,n/a,match
155,55,1/2,94,25,1,n/a,match
156,64,1/2,94,25,0,n/a,match
157,57,1/2,95,25 1/2,1,n/a,match
158,65,1/2,95,25 1/2,0,n/a,match
159,62,1/2,96,25 1/1,0,n/a,match
160,45,1/2,97,25 3/2,1,n/a,match
161,64,1/2,97,25 3/2,0,n/a,match
162,43,1/4,98,26 1/4,1,n/a,match
163,45,1/4,99,26 1/2,1,n/a,match
