note,pitch,duration,onset,chord,bar,mapped voice,cost,category
0,52,1/2,16/1,0,9,1,n/a,match
1,53,1/2,33/2,1,9 1/2,1,n/a,match
2,52,1/2,17/1,2,9 1/1,1,n/a,match
3,57,1/2,35/2,3,9 3/2,1,n/a,match
4,55,1/4,37/2,4,10 1/2,1,n/a,match
5,53,1/4,75/4,5,10 3/4,1,n/a,match
6,52,1/4,19/1,6,10 1/1,1,n/a,match
7,50,1/4,77/4,7,10 5/4,1,n/a,ornamentation
8,52,1/2,39/2,8,10 3/2,1,0,repetition
9,59,1/2,20/1,9,11,0,n/a,match
10,60,1/2,41/2,10,11 1/2,0,n/a,match
11,52,1/2,21/1,11,11 1/1,1,n/a,match
12,59,1/2,21/1,11,11 1/1,0,n/a,match
13,64,1/2,43/2,12,11 3/2,0,n/a,match
14,52,1/2,22/1,13,12,1,0,repetition
15,53,1/4,45/2,14,12 1/2,1,n/a,match
16,62,1/4,45/2,14,12 1/2,0,n/a,match
17,60,1/4,91/4,15,12 3/4,0,n/a,match
18,55,1/4,23/1,16,12 1/1,1,n/a,match
19,59,1/4,23/1,16,12 1/1,0,n/a,match
20,57,1/4,93/4,17,12 5/4,0,n/a,ornamentation
21,59,1/2,47/2,18,12 3/2,0,0,repetition
22,57,3/4,24/1,19,13,1,n/a,match
23,55,1/4,99/4,20,13 3/4,1,n/a,ornamentation
24,52,3/4,25/1,21,13 1/1,1,n/a,match
25,59,3/4,25/1,21,13 1/1,0,n/a,match
26,54,1/4,103/4,22,13 7/4,1,n/a,ficta
27,55,1/2,26/1,23,14,1,n/a,match
28,59,1/2,26/1,23,14,0,0,repetition
29,57,1/2,53/2,24,14 1/2,1,n/a,match
30,61,1/2,53/2,24,14 1/2,0,n/a,ficta
31,53,1/2,27/1,25,14 1/1,1,n/a,match
32,62,1/2,27/1,25,14 1/1,0,n/a,match
33,62,1/4,55/2,26,14 3/2,1,n/a,ornamentation
34,55,1/4,111/4,27,14 7/4,1,n/a,ornamentation
35,52,1/4,28/1,28,15,1,n/a,match
36,64,1/4,28/1,28,15,0,n/a,match
37,50,1/4,113/4,29,15 1/4,1,n/a,ornamentation
38,52,1/2,57/2,30,15 1/2,1,0,repetition
39,59,3/4,29/1,31,15 1/1,0,n/a,match
