note,pitch,duration,chord,bar,mapped voice,cost,category
0,64,1/1,0,1,1,n/a,match
1,64,1/1,1,2,1,n/a,match
2,62,1/1,2,3,1,n/a,match
3,64,1/1,3,4,1,n/a,match
4,65,3/4,4,5,1,n/a,match
5,69,3/4,4,5,0,n/a,match
6,64,1/4,5,5 3/4,1,n/a,match
7,62,1/2,6,6,1,n/a,match
8,69,1/2,6,6,0,n/a,match
9,60,1/2,7,6 1/2,1,n/a,match
10,59,1/4,8,7,1,n/a,match
11,68,1/4,8,7,0,n/a,match
12,57,1/4,9,7 1/4,1,n/a,match
13,59,1/2,10,7 1/2,1,n/a,match
14,57,1/1,11,8,1,n/a,match
15,69,1/1,11,8,0,n/a,match
16,71,1/2,12,9,0,n/a,match
17,64,1/4,13,9 1/2,1,n/a,match
18,69,1/4,14,9 3/4,0,n/a,match
19,67,1/2,15,10,0,n/a,match
20,62,1/2,16,10 1/2,1,n/a,match
21,66,1/2,16,10 1/2,0,n/a,match
22,59,1/4,17,11,1,n/a,match
23,67,1/4,17,11,0,n/a,match
24,57,1/4,18,11 1/4,1,n/a,match
25,59,1/2,19,11 1/2,1,n/a,match
26,65,1/2,20,12,0,n/a,ficta
27,62,1/2,21,12 1/2,1,n/a,match
28,69,1/2,21,12 1/2,0,n/a,match
29,65,1/2,22,13,1,n/a,match
30,64,1/2,23,13 1/2,1,n/a,match
31,68,1/2,23,13 1/2,0,n/a,ficta
32,72,1/2,24,14,0,n/a,match
33,60,1/2,25,14 1/2,1,n/a,match
34,62,1/2,26,15,1,n/a,match
35,71,1/2,26,15,0,n/a,match
36,64,1/2,27,15 1/2,1,n/a,match
37,68,1/2,27,15 1/2,0,n/a,match
38,65,1/2,28,16,1,n/a,match
39,69,1/2,28,16,0,n/a,match
40,72,1/4,29,16 1/2,0,n/a,match
41,64,1/4,30,16 3/4,1,n/a,match
42,62,1/2,31,17,1,n/a,match
43,71,1/2,31,17,0,n/a,match
44,61,1/2,32,17 1/2,1,n/a,match
45,69,1/2,32,17 1/2,0,n/a,match
46,62,1/2,33,18,1,n/a,match
47,64,1/2,34,18 1/2,1,n/a,match
48,68,1/2,34,18 1/2,0,n/a,match
49,57,1/2,35,19,1,n/a,match
50,69,1/2,35,19,0,n/a,match
51,64,1/2,36,19 1/2,1,n/a,match
52,71,1/2,36,19 1/2,0,n/a,match
53,72,1/2,37,20,0,n/a,match
54,60,1/4,38,20 1/2,1,n/a,match
55,71,1/4,39,20 3/4,0,n/a,match
56,62,1/2,40,21,1,n/a,match
57,69,1/2,40,21,0,n/a,match
58,64,1/2,41,21 1/2,1,n/a,match
59,68,1/2,41,21 1/2,0,n/a,match
60,65,1/2,42,22,1,n/a,match
61,69,1/2,42,22,0,n/a,match
62,64,1/2,43,22 1/2,1,n/a,match
63,71,1/2,43,22 1/2,0,n/a,match
64,64,1/2,44,23,0 and 1,n/a,match
65,71,1/2,45,23 1/2,0,n/a,match
