note,pitch,duration,onset,chord,bar,mapped voice,cost,category
0,62,1/1,0/96,0,1,1,n/a,match
1,62,1/1,1/1,1,1 1/1,1,0,repetition
2,50,1/1,2/1,2,2,3,n/a,match
3,65,1/1,2/1,2,2,1,n/a,match
4,69,1/1,2/1,2,2,0,n/a,match
5,50,1/4,3/1,3,2 1/1,3,0,repetition
6,65,1/4,3/1,3,2 1/1,1,n/a,match
7,69,1/4,3/1,3,2 1/1,0,0,repetition
8,52,1/4,13/4,4,2 5/4,3,n/a,ornamentation
9,53,1/4,7/2,5,2 3/2,3,n/a,ornamentation
10,55,1/4,15/4,6,2 7/4,3,n/a,ornamentation
11,57,1/4,4/1,7,3,3,n/a,match
12,64,1/4,4/1,7,3,1,n/a,match
13,72,1/4,4/1,7,3,0,n/a,match
14,62,1/4,17/4,8,3 1/4,1,n/a,ornamentation
15,64,1/2,9/2,9,3 1/2,1,0,repetition
16,57,1/1,5/1,10,3 1/1,3,n/a,match
17,60,1/1,5/1,10,3 1/1,1,n/a,match
18,72,1/1,5/1,10,3 1/1,0,n/a,match
19,55,1/1,6/1,11,4,3,n/a,match
20,62,1/1,6/1,11,4,1,n/a,match
21,71,1/1,6/1,11,4,0,n/a,match
22,52,1/1,7/1,12,4 1/1,3,n/a,match
23,64,1/1,7/1,12,4 1/1,1,n/a,match
24,67,1/1,7/1,12,4 1/1,0,n/a,match
25,53,1/2,8/1,13,5,3,n/a,match
26,57,1/2,8/1,13,5,1,n/a,match
27,69,1/2,8/1,13,5,0,n/a,match
28,62,1/2,17/2,14,5 1/2,1,n/a,match
29,55,1/2,9/1,15,5 1/1,3,n/a,match
30,71,1/2,9/1,15,5 1/1,0,n/a,match
31,62,1/2,19/2,16,5 3/2,1,n/a,match
32,57,1/2,10/1,17,6,3,n/a,match
33,60,1/2,10/1,17,6,1,n/a,match
34,64,1/2,10/1,17,6,0,n/a,match
35,57,1/2,21/2,18,6 1/2,1,n/a,match
36,53,1/4,11/1,19,6 1/1,3,n/a,match
37,60,1/4,11/1,19,6 1/1,1,n/a,match
38,69,1/4,11/1,19,6 1/1,0,n/a,match
39,59,1/4,45/4,20,6 5/4,1,n/a,match
40,53,1/4,23/2,21,6 3/2,3,n/a,match
41,60,1/4,23/2,21,6 3/2,1,n/a,match
42,69,1/4,23/2,21,6 3/2,0,n/a,match
43,62,1/4,47/4,22,6 7/4,1,n/a,match
44,60,1/2,12/1,23,7,3,n/a,match
45,64,1/2,12/1,23,7,1,n/a,match
46,67,1/2,12/1,23,7,0,n/a,match
47,62,1/2,25/2,24,7 1/2,1 and 3,n/a,match
48,65,1/2,25/2,24,7 1/2,0,n/a,match
49,57,1/4,13/1,25,7 1/1,3,n/a,match
50,64,1/4,13/1,25,7 1/1,0,n/a,match
51,62,1/4,53/4,26,7 5/4,1,n/a,ornamentation
52,57,1/2,27/2,27,7 3/2,3,0,repetition
53,61,1/2,27/2,27,7 3/2,1,n/a,match
54,64,1/2,27/2,27,7 3/2,0,0,repetition
55,50,1/1,14/1,28,8,3 and 4,n/a,match
