ornament,voice,bar,pitch
Q 2 Q 1 Q 2 Q 2 Q,3,2 5/4,52
Q -2 Q,1,3 1/4,62
R 0 Q,1,7 5/4,62
Q -2 Q,3,11 3/4,60
R 0 Q,0,11 5/4,69
Q -2 Q,2,13 7/4,60
R 0 Q,1,15 1/4,57
Q -5 Q,1,15 5/4,57
R 0 Q,1,17 5/4,62
Q 5 Q -2 Q -1 Q,1,18 1/4,67
R 0 Q,0,19 1/4,62
R 0 E -2 E 3 Q,0,19 5/4,61
Q -1 Q,0,19 7/4,61
R 0 Q,1,23 1/4,60
R 0 Q,1,23 5/4,60
R 0 Q,1,27 5/4,57
R 0 Q,1,31 5/4,64
Q 3 Q,2,34 5/4,60
R 0 Q,0,35 1/4,69
R 0 Q,0,35 5/4,69
H. 2 Q,2,36 3/4,59
R 0 Q,1,38 5/4,62
Q 2 Q,1,42 5/4,59
Q 2 Q,1,42 7/4,62
Q 2 Q,3,47 5/4,64
R 0 Q,1,55 5/4,57
Q -5 Q,1,56 1/4,57
R 0 Q,2,60 5/4,60
R 0 Q,1,62 5/4,59
R 0 Q,0,67 5/4,62
R 0 Q,2,69 5/4,57
R 0 Q,2,71 5/4,57
R 0 Q,0,73 5/4,69
H. 2 Q,0,75 7/4,71
H. 2 Q,0,77 7/4,71
