note,pitch,duration,onset,chord,bar,mapped voice,cost,category
0,64,1/1,0/96,0,1,1,n/a,match
1,64,1/2,1/1,1,1 1/1,0,n/a,match
2,64,1/2,3/2,2,1 3/2,1,0,repetition
3,64,1/2,2/1,3,2,1,0,repetition
4,62,1/4,5/2,4,2 1/2,0,n/a,match
5,61,1/4,11/4,5,2 3/4,0,n/a,ficta
6,62,3/4,3/1,6,2 1/1,0,n/a,match
7,60,1/8,15/4,7,2 7/4,3,n/a,ornamentation
8,59,1/8,31/8,8,2 15/8,3,n/a,ornamentation
9,57,1/2,4/1,9,3,3,n/a,match
10,64,1/2,4/1,9,3,0 and 1,n/a,match
11,57,1/2,9/2,10,3 1/2,0,n/a,match
12,57,1/1,5/1,11,3 1/1,3,0,repetition
13,69,1/1,5/1,11,3 1/1,0,n/a,match
14,58,1/2,6/1,12,4,3,n/a,match
15,69,1/2,6/1,12,4,0,0,repetition
16,67,1/4,13/2,13,4 1/2,0,n/a,match
17,66,1/4,27/4,14,4 3/4,0,n/a,ficta
18,58,1/4,7/1,15,4 1/1,3,0,repetition
19,67,1/4,7/1,15,4 1/1,0,n/a,match
20,69,1/2,29/4,16,4 5/4,0,2,adaptation
21,67,1/4,31/4,17,4 7/4,0,n/a,ornamentation
22,50,1/2,8/1,18,5,4,n/a,match
23,57,1/2,8/1,18,5,2 and 3,n/a,match
24,69,1/2,8/1,18,5,0,n/a,match
25,57,1/2,17/2,19,5 1/2,3,0,repetition
26,50,3/8,9/1,20,5 1/1,4,0,repetition
27,53,3/8,9/1,20,5 1/1,3,n/a,match
28,57,3/8,9/1,20,5 1/1,2,0,repetition
29,69,3/8,9/1,20,5 1/1,0,0,repetition
30,55,1/8,75/8,21,5 11/8,2,n/a,ornamentation
31,57,1/8,19/2,22,5 3/2,2,0,repetition
32,55,1/8,77/8,23,5 13/8,2,n/a,ornamentation
33,57,1/8,39/4,24,5 7/4,2,n/a,ornamentation
34,59,1/8,79/8,25,5 15/8,2,n/a,ornamentation
35,48,1/8,10/1,26,6,4,n/a,match
36,55,1/8,10/1,26,6,3,n/a,match
