ornament,voice,bar,pitch
R 0 E -1 E -2 H,3,2 7/4,60
H -2 Q,0,4 7/4,67
Q. -2 E,2,5 11/8,55
E -2 E 2 E 2 E 1 E,2,5 13/8,55
E 2 E 2 E 1 E 2 E -2 E -1 E -2 E -2 Q,2,6 1/8,62
R 0 E 2 E 1 E,1,6 5/4,62
E 7 E -2 E -2 E -1 Q,3,6 13/8,64
Q -2 Q,3,7 1/4,57
Q 5 Q,2,7 3/4,60
Q 5 Q,1,8 5/4,67
R 0 Q,0,8 7/4,66
R 0 Q,3,10 1/4,55
Q 6 E 1 E -7 Q,3,11 5/4,59
R 0 Q,2,11 7/4,59
Q -1 Q,2,12 7/4,59
Q -2 Q,2,13 1/4,55
Q -3 Q,2,13 3/4,54
E -1 E,2,13 15/8,52
Q 1 Q 2 Q -3 Q 1 H,4,14 5/4,55
Q 6 Q,2,15 7/4,61
Q 10 Q,2,16 1/4,67
R 0 Q,0,16 3/4,66
Q 1 Q,2,16 5/4,60
Q. -1 E 1 E -1 E -2 E,2,17 3/8,59
E -2 E,2,17 7/8,55
Q -2 Q,3,20 5/4,50
Q -4 Q,3,20 7/4,48
Q. -2 E,0,21 11/8,67
E -2 E 2 E 2 E 1 H,0,21 13/8,67
Q -2 Q,2,22 3/4,53
Q -4 E 2 E 2 E,0,24 1/4,65
E -2 E 2 E 2 E 1 H,0,24 5/8,67
R 0 Q,3,26 5/4,55
H. -2 E -1 E -2 H,3,27 3/4,53
Q -2 Q,0,28 1/4,69
Q -1 E -2 E 2 Q,2,30 3/4,59
H -1 Q,2,30 7/4,59
Q 1 Q,3,32 5/4,57
R 0 Q,3,34 7/4,59
R 0 E 2 E 1 H,3,39 3/4,55
Q -2 Q,3,39 7/4,55
R 0 Q,3,42 1/4,55
R 0 E,0,45 3/8,67
E -2 E,0,45 5/8,67
E -2 E,0,45 7/8,63
R 0 E,2,46 11/8,55
R 0 E,3,46 13/8,55
R 0 E,2,46 15/8,52
Q -1 Q,2,49 1/4,54
R 0 Q,3,49 3/4,57
R 0 E -1 E 1 H.,4,49 7/4,53
Q 2 Q,2,51 7/4,54
Q -2 E -1 E -2 E,2,52 5/4,53
E -2 E,2,52 13/8,48
E 2 E,2,52 15/8,52
R 0 Q,3,53 5/4,55
Q -5 Q 2 Q 2 Q 1 Q.,3,54 1/4,50
R 0 E,0,54 11/8,57
E -2 E 2 E 1 E -1 H,0,54 13/8,57
H. 2 Q,2,55 7/4,54
Q 3 Q,2,56 7/4,53
Q 2 Q,0,58 3/4,69
E 2 E,0,59 7/8,69
Q 2 E 2 E 1 Q,0,59 7/4,69
R 0 Q,3,62 5/4,55
R 0 Q,3,69 5/4,57
Q 3 Q,2,71 5/4,58
Q -2 E 2 E 1 H,3,72 3/4,55
Q -2 Q,3,72 7/4,55
Q. -2 E,2,74 11/8,57
E -2 E 2 E 1 E -1 H,2,74 13/8,57
R 0 Q,1,75 7/4,60
Q 3 Q,2,78 5/4,60
Q 2 Q,0,80 1/4,67
Q -1 Q,0,81 1/4,64
R 0 Q,2,81 5/4,50
R 0 E -2 E 2 E,0,83 5/4,66
E 1 E 2 E -3 E 1 H,0,83 13/8,67
Q 2 E 2 E 1 H,2,84 7/4,52
Q. -1 E,0,85 11/8,66
E -1 E 1 E -3 E 2 H,0,85 13/8,66
Q -2 Q,4,88 5/4,45
Q 2 Q,3,89 1/4,55
Q -2 Q,2,89 5/4,55
E -2 E 2 E 2 E 1 Q,2,89 13/8,55
Q 9 E 1 E 2 H,0,91 5/4,71
Q. -1 E 1 E -1 E -2 E -2 E 2 Q,0,92 11/8,71
Q 1 Q 2 Q -3 Q 1 H,2,93 1/4,55
Q 2 E 1 E -1 E -2 E -2 E -1 E 1 Q,2,95 5/4,57
Q -2 Q -2 Q 2 Q 2 Q,0,96 1/4,67
Q -2 Q,0,96 5/4,67
Q 2 Q,0,96 7/4,71
Q -2 Q -1 Q -2 Q -2 Q,0,97 5/4,72
Q -2 Q 2 Q 2 Q 1 Q,2,98 1/4,50
R 0 Q 2 Q 1 Q 2 Q,3,98 5/4,52
Q -2 Q 2 Q -3 Q 1 W,3,99 1/4,55
R 0 Q -1 Q -2 Q 3 Q,3,100 1/4,55
Q -2 Q,0,100 5/4,72
Q -2 Q,0,100 7/4,69
