note,pitch,duration,chord,bar,mapped voice,cost,category
0,55,1/1,0,1,1,n/a,match
1,67,1/1,0,1,0,n/a,match
2,55,3/4,1,1 1/1,1,n/a,match
3,67,3/4,1,1 1/1,0,0,repetition
4,57,1/4,2,1 7/4,1,n/a,match
5,59,1/2,3,2,1,n/a,match
6,67,1/2,3,2,0,n/a,match
7,60,1/2,4,2 1/2,1,n/a,match
8,55,1/2,5,2 1/1,1,n/a,match
9,67,1/2,5,2 1/1,0,0,repetition
10,67,1/2,6,2 3/2,1,n/a,match
11,69,1/2,7,3,0,n/a,match
12,65,1/4,8,3 1/2,1,n/a,match
13,64,1/4,9,3 3/4,1,n/a,match
14,65,1/2,10,3 1/1,1,n/a,match
15,69,1/2,10,3 1/1,0,0,repetition
16,62,1/2,11,3 3/2,1,n/a,match
17,69,1/4,12,4,0,n/a,match
18,61,1/4,13,4 1/4,1,n/a,ficta
19,62,1/4,14,4 1/2,1,n/a,match
20,64,1/4,15,4 3/4,1,n/a,match
21,65,1/4,16,4 1/1,1,n/a,match
22,69,1/4,16,4 1/1,0,0,repetition
23,67,1/4,17,4 5/4,1,n/a,match
24,69,1/4,18,4 3/2,1,n/a,match
25,66,1/4,19,4 7/4,1,n/a,ficta
26,43,1/2,20,5,5,n/a,match
27,55,1/2,20,5,3,n/a,match
28,67,1/2,20,5,1,n/a,match
29,71,1/2,20,5,0,n/a,match
30,67,1/2,21,5 1/2,1,0,repetition
31,43,3/4,22,5 1/1,5,n/a,match
32,55,3/4,22,5 1/1,3,0,repetition
33,67,3/4,22,5 1/1,1,0,repetition
34,71,3/4,22,5 1/1,0,0,repetition
35,45,1/4,23,5 7/4,5,n/a,match
36,47,1/2,24,6,5,n/a,match
37,55,1/2,24,6,3,n/a,match
38,67,1/2,24,6,0,n/a,match
39,48,1/2,25,6 1/2,5,n/a,match
40,43,1/2,26,6 1/1,5,n/a,match
41,55,1/2,26,6 1/1,3,0,repetition
42,67,1/2,26,6 1/1,1,0,repetition
43,55,1/2,27,6 3/2,5,n/a,match
44,57,1/2,28,7,3,n/a,match
45,53,1/4,29,7 1/2,5,n/a,match
46,52,1/4,30,7 3/4,5,n/a,match
47,53,1/2,31,7 1/1,5,n/a,match
48,57,1/2,31,7 1/1,3,0,repetition
49,50,1/2,32,7 3/2,5,n/a,match
50,57,1/4,33,8,3,n/a,match
51,48,1/4,34,8 1/4,5,n/a,match
52,50,1/4,35,8 1/2,5,n/a,match
53,52,1/4,36,8 3/4,5,n/a,match
54,54,1/4,37,8 1/1,5,n/a,ficta
55,57,1/4,37,8 1/1,3,0,repetition
56,55,1/4,38,8 5/4,5,n/a,match
57,57,1/4,39,8 3/2,5,n/a,match
58,54,1/4,40,8 7/4,5,n/a,ficta
59,43,1/2,41,9,4,n/a,match
60,55,1/2,41,9,5,n/a,match
61,59,1/2,41,9,3,n/a,match
62,55,1/2,42,9 1/2,2,n/a,match
63,43,1/4,43,9 1/1,4,n/a,match
64,55,1/4,43,9 1/1,1 and 2,n/a,match
65,59,1/4,43,9 1/1,3,0,repetition
66,57,1/4,44,9 5/4,2,n/a,match
