note,pitch,duration,onset,chord,bar,mapped voice,cost,category
0,43,1/1,0/96,0,1,4,n/a,match
1,55,1/1,0/96,0,1,3,n/a,match
2,43,1/2,1/1,1,1 1/1,4,0,repetition
3,55,1/2,1/1,1,1 1/1,3,0,repetition
4,45,1/2,3/2,2,1 3/2,4,n/a,match
5,46,1/1,2/1,3,2,4,n/a,match
6,55,1/1,2/1,3,2,3,0,repetition
7,48,1/1,3/1,4,2 1/1,4,n/a,match
8,55,1/1,3/1,4,2 1/1,3,0,repetition
9,46,1/1,4/1,5,3,4,n/a,match
10,55,1/1,4/1,5,3,3,n/a,match
11,43,1/1,5/1,6,3 1/1,4,n/a,match
12,55,1/1,5/1,6,3 1/1,3,0,repetition
13,43,1/1,6/1,7,4,5,n/a,match
14,46,1/1,6/1,7,4,4,n/a,match
15,55,1/1,6/1,7,4,3,n/a,match
16,43,1/2,7/1,8,4 1/1,5,0,repetition
17,46,1/2,7/1,8,4 1/1,4,0,repetition
18,55,1/2,7/1,8,4 1/1,3,0,repetition
19,45,1/2,15/2,9,4 3/2,5,n/a,match
20,48,1/2,15/2,9,4 3/2,4,n/a,match
21,46,1/1,8/1,10,5,5,n/a,match
22,50,1/1,8/1,10,5,4,n/a,match
23,55,1/1,8/1,10,5,3,0,repetition
24,48,1/1,9/1,11,5 1/1,5,n/a,match
25,51,1/1,9/1,11,5 1/1,4,n/a,match
26,55,1/1,9/1,11,5 1/1,3,0,repetition
27,46,1/1,10/1,12,6,5,n/a,match
28,50,1/1,10/1,12,6,4,n/a,match
29,55,1/1,10/1,12,6,3,n/a,match
30,43,1/1,11/1,13,6 1/1,5,n/a,match
31,50,1/1,11/1,13,6 1/1,4,0,repetition
32,55,1/1,11/1,13,6 1/1,3,0,repetition
33,43,1/1,12/1,14,7,4,n/a,match
34,46,1/1,12/1,14,7,5,n/a,match
35,55,1/1,12/1,14,7,3,n/a,match
36,43,1/2,13/1,15,7 1/1,4,0,repetition
37,46,1/2,13/1,15,7 1/1,5,0,repetition
38,55,1/2,13/1,15,7 1/1,3,0,repetition
39,45,1/2,27/2,16,7 3/2,4,n/a,match
40,48,1/2,27/2,16,7 3/2,5,n/a,match
41,46,1/2,14/1,17,8,4,n/a,match
42,50,1/2,14/1,17,8,5,n/a,match
43,55,1/2,14/1,17,8,3,0,repetition
44,43,1/2,29/2,18,8 1/2,4,n/a,match
45,51,1/1,15/1,19,8 1/1,5,n/a,match
46,55,1/1,15/1,19,8 1/1,4,n/a,match
47,50,3/4,16/1,20,9,5,n/a,match
48,53,3/4,16/1,20,9,4,n/a,match
49,57,3/4,16/1,20,9,3,n/a,match
50,55,1/4,67/4,21,9 3/4,4,n/a,match
51,53,1/2,17/1,22,9 1/1,5,0,repetition
52,57,1/2,17/1,22,9 1/1,4,n/a,match
53,50,1/4,35/2,23,9 3/2,4,n/a,match
54,55,1/4,71/4,24,9 7/4,3,n/a,ornamentation
55,53,1/4,18/1,25,10,3,n/a,match
56,57,1/4,18/1,25,10,5,0,repetition
57,52,1/4,73/4,26,10 1/4,4,n/a,match
58,50,1/2,37/2,27,10 1/2,5,0,repetition
59,53,1/2,37/2,27,10 1/2,4,n/a,match
60,46,1/4,19/1,28,10 1/1,4,n/a,match
61,53,1/4,19/1,28,10 1/1,5,n/a,match
62,52,1/4,77/4,29,10 5/4,5,n/a,ornamentation
63,53,1/4,39/2,30,10 3/2,5,0,repetition
64,48,1/4,79/4,31,10 7/4,4,n/a,match
65,46,1/4,20/1,32,11,5,0,repetition
