note,pitch,duration,chord,bar,mapped voice,cost,category
0,55,1/2,0,1,3,n/a,match
1,58,1/4,1,1 1/2,3,n/a,match
2,58,1/16,2,1 3/4,3,n/a,ornamentation
3,57,1/16,3,1 13/16,3,n/a,ornamentation
4,58,1/16,4,1 7/8,3,n/a,ornamentation
5,60,1/16,5,1 15/16,3,n/a,ornamentation
6,58,1/2,6,2,3,0,repetition
7,58,1/2,7,2 1/2,3,n/a,match
8,57,1/4,8,3,3,n/a,match
9,58,1/4,9,3 1/4,3,n/a,match
10,58,1/4,10,3 1/2,3,0,repetition
11,62,1/4,10,3 1/2,1,n/a,match
12,60,1/16,11,3 3/4,3,2,adaptation
13,58,1/16,12,3 13/16,3,n/a,ornamentation
14,57,1/16,13,3 7/8,3,0,repetition
15,55,1/16,14,3 15/16,3,n/a,ornamentation
16,53,1/8,15,4,3,n/a,match
17,65,1/8,15,4,1,n/a,match
18,64,1/8,16,4 1/8,1,n/a,ornamentation
19,65,1/8,17,4 1/4,1,n/a,ornamentation
20,67,1/8,18,4 3/8,1,2,adaptation
21,53,1/4,19,4 1/2,3,0,repetition
22,65,1/4,19,4 1/2,1,n/a,match
23,55,1/16,20,4 3/4,3,2,adaptation
24,53,1/16,21,4 13/16,3,n/a,ornamentation
25,52,1/16,22,4 7/8,3,0,repetition
26,50,1/16,23,4 15/16,3,n/a,ornamentation
27,48,1/4,24,5,3,n/a,match
28,64,1/4,24,5,1,n/a,match
29,46,1/4,25,5 1/4,3,n/a,match
30,65,1/4,25,5 1/4,1,n/a,match
31,53,1/8,26,5 1/2,3,n/a,match
32,65,1/8,27,5 5/8,1,n/a,ornamentation
33,64,1/8,28,5 3/4,1,n/a,match
34,62,1/8,29,5 7/8,1,n/a,match
35,53,1/4,30,6,3,0,repetition
36,60,1/4,30,6,1,n/a,match
37,55,1/16,31,6 1/4,3,2,adaptation
38,53,1/16,32,6 5/16,3,n/a,ornamentation
39,52,1/16,33,6 3/8,3,0,repetition
40,50,1/16,34,6 7/16,3,n/a,ornamentation
41,48,1/4,35,6 1/2,3,n/a,match
42,60,1/4,35,6 1/2,1,0,repetition
43,67,1/4,35,6 1/2,0,n/a,match
44,67,1/16,36,6 3/4,0,n/a,ornamentation
45,65,1/16,37,6 13/16,0,n/a,ornamentation
46,67,1/16,38,6 7/8,0,n/a,ornamentation
47,69,1/16,39,6 15/16,0,n/a,ornamentation
48,46,1/4,40,7,3,n/a,match
49,58,1/4,40,7,1,2,adaptation
50,70,1/4,40,7,0,n/a,match
51,58,1/8,41,7 1/4,3,n/a,match
52,70,1/8,42,7 3/8,0,n/a,match
53,58,1/4,43,7 1/2,3,0,repetition
54,62,1/4,43,7 1/2,1,n/a,match
55,70,1/4,43,7 1/2,0,n/a,match
56,72,1/16,44,7 3/4,0,2,adaptation
57,70,1/16,45,7 13/16,0,n/a,ornamentation
58,69,1/16,46,7 7/8,0,1,adaptation
59,67,1/16,47,7 15/16,0,n/a,ornamentation
60,53,1/16,48,8,3,n/a,match
61,70,1/16,48,8,0,0,repetition
62,69,1/16,49,8 1/16,1,n/a,ornamentation
63,67,1/16,50,8 1/8,1,2,adaptation
64,69,1/16,51,8 3/16,0,n/a,ornamentation
65,55,1/4,52,8 1/4,3,n/a,match
66,62,1/4,52,8 1/4,1,n/a,match
67,70,1/4,52,8 1/4,0,n/a,match
68,55,1/8,53,8 1/2,2,n/a,match
69,58,1/8,53,8 1/2,1,n/a,match
70,70,1/8,54,8 5/8,0,n/a,ornamentation
71,53,1/8,55,8 3/4,3,n/a,match
72,60,1/8,55,8 3/4,1,n/a,match
73,69,1/8,55,8 3/4,0,n/a,match
74,51,1/8,56,8 7/8,3,n/a,ficta
75,67,1/8,56,8 7/8,0,n/a,match
76,50,1/4,57,9,3,n/a,match
77,58,1/4,57,9,2,n/a,match
78,65,1/4,57,9,0,n/a,match
79,46,1/8,58,9 1/4,3,n/a,match
80,58,1/8,58,9 1/4,2,0,repetition
81,58,1/8,59,9 3/8,2,n/a,match
82,46,1/4,60,9 1/2,3,0,repetition
83,58,1/4,60,9 1/2,2,n/a,match
84,65,1/4,60,9 1/2,0,0,repetition
85,45,1/8,61,9 3/4,3,n/a,match
86,62,1/8,61,9 3/4,1,n/a,match
87,67,1/8,61,9 3/4,0,n/a,match
88,43,1/8,62,9 7/8,3,n/a,match
89,50,1/4,63,10,3,n/a,match
90,57,1/4,63,10,2,n/a,match
91,69,1/4,63,10,0,n/a,match
92,58,1/4,64,10 1/4,2,n/a,match
93,65,1/4,64,10 1/4,0,n/a,match
94,70,1/4,65,10 1/2,0,n/a,match
95,43,1/4,66,10 3/4,3,n/a,match
96,62,1/4,66,10 3/4,1,n/a,match
97,50,1/4,67,11,3,n/a,match
98,57,1/4,67,11,2,2,adaptation
99,65,1/4,67,11,1,n/a,match
100,53,1/16,68,11 1/4,2,0,repetition
101,67,1/16,68,11 1/4,1,2,adaptation
102,65,1/16,69,11 5/16,0,n/a,ornamentation
103,67,1/16,70,11 3/8,0,n/a,ornamentation
104,69,1/16,71,11 7/16,0,n/a,ornamentation
105,70,1/4,72,11 1/2,0,n/a,match
106,55,1/4,73,11 3/4,2,n/a,match
107,62,1/4,73,11 3/4,1,n/a,match
108,50,1/8,74,12,3,n/a,match
109,57,1/8,74,12,2,n/a,match
110,65,1/8,74,12,1,n/a,match
111,67,1/8,75,12 1/8,1,n/a,ornamentation
112,53,1/8,76,12 1/4,2,n/a,match
113,65,1/8,76,12 1/4,1,0,repetition
114,63,1/8,77,12 3/8,1,n/a,ficta
115,55,1/8,78,12 1/2,3,n/a,match
116,62,1/8,78,12 1/2,1,n/a,match
117,60,1/8,79,12 5/8,1,n/a,match
118,58,1/4,80,12 3/4,2,0,repetition
119,62,1/4,80,12 3/4,1,n/a,match
120,67,1/4,80,12 3/4,0,n/a,match
121,70,1/4,81,13,0,n/a,match
122,55,1/4,82,13 1/4,2,n/a,match
123,50,1/4,83,13 1/2,3,n/a,match
124,57,1/4,83,13 1/2,2,n/a,match
125,65,1/4,83,13 1/2,1,n/a,match
126,53,1/16,84,13 3/4,2,n/a,match
127,67,1/16,84,13 3/4,1,2,adaptation
128,65,1/16,85,13 13/16,1,n/a,ornamentation
129,64,1/16,86,13 7/8,1,n/a,ornamentation
130,65,1/16,87,13 15/16,1,n/a,ornamentation
131,55,1/8,88,14,3,n/a,match
132,58,1/8,88,14,2,n/a,match
133,67,1/8,88,14,1,2,adaptation
134,65,1/16,89,14 1/8,0,n/a,ornamentation
135,67,1/16,90,14 3/16,0,n/a,ornamentation
136,69,1/16,91,14 1/4,0,1,adaptation
137,67,1/16,92,14 5/16,0,n/a,ornamentation
138,65,1/16,93,14 3/8,0,n/a,ornamentation
139,67,1/16,94,14 7/16,0,n/a,ornamentation
140,50,1/4,95,14 1/2,3,n/a,match
141,69,1/4,95,14 1/2,0,n/a,match
142,55,1/4,96,14 3/4,2 and 3,n/a,match
143,62,1/4,96,14 3/4,1,n/a,match
144,70,1/4,96,14 3/4,0,n/a,match
145,53,1/4,97,15,3,n/a,match
146,57,1/4,97,15,2,n/a,match
147,69,1/4,97,15,0,n/a,match
148,55,1/4,98,15 1/4,3,n/a,match
149,58,1/4,98,15 1/4,2,n/a,match
150,67,1/4,98,15 1/4,0,n/a,match
151,53,1/4,99,15 1/2,3,n/a,match
152,57,1/4,99,15 1/2,2,n/a,match
153,72,1/4,99,15 1/2,0,n/a,match
154,55,1/8,100,15 3/4,2 and 3,n/a,match
155,70,1/8,101,15 7/8,2,n/a,ornamentation
156,53,1/8,102,16,3,2,adaptation
157,57,1/8,102,16,2,n/a,match
158,72,1/8,103,16 1/8,0,0,repetition
159,55,1/8,104,16 1/4,3,0,repetition
160,70,1/8,104,16 1/4,0,n/a,match
161,53,1/8,105,16 3/8,3,0,repetition
162,69,1/8,105,16 3/8,0,n/a,match
163,55,1/4,106,16 1/2,2 and 3,n/a,match
164,62,1/4,106,16 1/2,1,2,adaptation
165,70,1/4,106,16 1/2,0,n/a,match
166,52,1/4,107,16 3/4,3,n/a,match
167,67,1/4,107,16 3/4,0,n/a,match
168,53,1/4,108,17,3,n/a,match
169,69,1/4,108,17,0,n/a,match
170,55,1/4,109,17 1/4,2 and 3,n/a,match
171,62,1/4,109,17 1/4,1,n/a,match
172,70,1/4,109,17 1/4,0,n/a,match
173,53,1/4,110,17 1/2,3,n/a,match
174,57,1/4,110,17 1/2,2,n/a,match
175,69,1/4,110,17 1/2,0,n/a,match
176,55,1/4,111,17 3/4,3,n/a,match
177,58,1/4,111,17 3/4,2,n/a,match
178,67,1/4,111,17 3/4,0,n/a,match
179,50,1/4,112,18,3,n/a,match
180,57,1/4,112,18,2,n/a,match
181,65,1/4,112,18,0,n/a,match
182,51,1/4,113,18 1/4,3,n/a,match
183,55,1/4,113,18 1/4,2,n/a,match
184,67,1/4,113,18 1/4,0,n/a,match
185,50,1/8,114,18 1/2,3,n/a,match
186,57,1/8,114,18 1/2,2,n/a,match
187,67,1/8,114,18 1/2,0,0,repetition
188,66,1/8,115,18 5/8,0,n/a,ornamentation
189,67,1/16,116,18 3/4,0,0,repetition
190,66,1/16,117,18 13/16,0,n/a,ornamentation
191,64,1/16,118,18 7/8,0,n/a,ornamentation
192,66,1/16,119,18 15/16,0,n/a,ornamentation
193,55,1/4,120,19,2,n/a,match
194,62,1/4,120,19,1,0,repetition
195,67,1/4,120,19,0,n/a,match
196,43,1/8,121,19 1/4,3,n/a,match
197,60,1/8,121,19 1/4,1,n/a,match
198,58,1/8,122,19 3/8,1,n/a,match
199,48,1/4,123,19 1/2,3,n/a,match
200,63,1/4,123,19 1/2,1,n/a,match
201,67,1/4,123,19 1/2,0,0,repetition
202,46,1/4,124,19 3/4,3,n/a,match
203,62,1/4,124,19 3/4,1,n/a,match
204,48,1/8,125,20,3,2,adaptation
205,63,1/8,125,20,1,1,adaptation
206,46,1/8,126,20 1/8,3,0,repetition
207,62,1/8,126,20 1/8,1,0,repetition
208,45,1/8,127,20 1/4,3,n/a,match
209,60,1/8,127,20 1/4,1,n/a,match
210,43,1/8,128,20 3/8,3,n/a,match
211,58,1/8,128,20 3/8,1,n/a,match
212,48,1/4,129,20 1/2,3,n/a,match
213,63,1/4,129,20 1/2,1,n/a,match
214,67,1/4,129,20 1/2,0,n/a,match
215,46,1/4,130,20 3/4,3,n/a,match
216,62,1/4,130,20 3/4,1,n/a,match
217,43,1/4,131,21,3,n/a,match
218,70,1/4,131,21,0,n/a,match
219,58,1/8,132,21 1/4,1,n/a,match
220,70,1/8,132,21 1/4,0,0,repetition
221,70,1/8,133,21 3/8,0,n/a,match
222,55,1/4,134,21 1/2,1 and 3,n/a,match
223,70,1/4,134,21 1/2,0,n/a,match
224,58,1/4,135,21 3/4,1,n/a,match
225,70,1/4,135,21 3/4,0,n/a,match
226,53,1/4,136,22,3,n/a,match
