ornament,voice,bar,pitch
Q 0 S -1 S 1 S 2 S -2 H,3,1 3/4,58
S -2 S,3,3 13/16,58
S -2 S,3,3 15/16,55
E -1 E 1 E 2 E,1,4 1/8,64
S -2 S,3,4 13/16,53
S -2 S,3,4 15/16,50
R 0 E,1,5 5/8,65
S -2 S,3,6 5/16,53
S -2 S,3,6 7/16,50
Q 0 S -2 S 2 S 2 S 1 Q,0,6 3/4,67
S -2 S,0,7 13/16,70
S -2 S,0,7 15/16,67
R 0 S,1,8 1/16,69
R 0 S,0,8 3/16,69
R 0 E,0,8 5/8,70
R 0 S 2 S 2 S 1 Q,0,11 5/16,65
E 2 E,1,12 1/8,67
S -2 S -1 S 1 S 2 E,1,13 13/16,65
R 0 S 2 S 2 S,0,14 1/8,65
S -2 S -2 S 2 S 2 Q,0,14 5/16,67
E 15 E,2,15 7/8,70
E -1 E,0,18 5/8,66
S -1 S -2 S 2 S 1 Q,0,18 13/16,66
R 0 E,0,22 5/8,67
Q 0 E,2,23 1/4,58
S -2 S,0,24 9/16,67
S 1 S,0,24 11/16,70
E -3 E,0,25 1/8,67
S -2 S -2 S 2 S 2 S,0,25 5/16,67
R 0 S -1 S -2 S 3 E,1,25 9/16,67
E -1 E,1,25 7/8,66
R 0 S -1 S -2 S 3 S,1,27 9/16,67
S -1 S -2 S 2 S 1 Q,1,27 13/16,66
Q 0 E,3,28 1/4,55
R 0 E,1,28 7/8,60
R 0 E,0,29 7/8,67
R 0 E,1,30 1/8,67
S 2 S,0,32 11/16,69
S -1 S,0,32 13/16,69
S 2 S,0,32 15/16,69
R 0 E,0,33 7/8,69
E 5 E,2,34 5/8,62
R 0 E,0,34 7/8,61
E -5 E,1,35 1/8,57
R 0 E,2,35 7/8,57
E 9 E,2,36 1/8,64
E 9 E,2,36 3/8,62
R 0 S -1 S -2 S 3 E,1,36 9/16,62
E -1 E,1,36 7/8,61
S -2 S -1 S 1 S -1 Q,3,37 13/16,58
E 4 E,3,38 5/8,62
S -2 S,3,38 13/16,58
S -2 S,3,38 15/16,55
E -1 E 1 E 2 E,1,39 1/8,64
E 12 E,3,39 5/8,65
R 0 E,1,40 1/8,64
R 0 E,1,40 5/8,65
S -2 S,3,41 5/16,53
S -2 S,3,41 7/16,50
S -2 S -2 S -1 S 1 S 2 S 2 S 2 S 1 Q,0,41 9/16,65
S -2 S,3,42 13/16,58
S -2 S,3,42 15/16,55
R 0 E,0,43 5/8,70
R 0 S 2 S 2 S 1 Q,0,46 5/16,65
E 2 E,1,47 1/8,67
S -2 S -2 S 2 S 2 Q,0,49 5/16,67
E -2 E,0,50 7/8,70
R 0 S -1 S -2 S 3 E,0,53 9/16,67
E -1 E,0,53 7/8,66
R 0 E,1,54 1/8,65
S -2 S -1 S -2 S 2 W,1,54 13/16,63
