note,pitch,duration,onset,chord,bar,mapped voice,cost,category
0,67,1/2,0/96,0,1,0 and 1,n/a,match
1,67,1/4,1/2,1,1 1/2,1,0,repetition
2,70,1/4,1/2,1,1 1/2,0,n/a,match
3,72,1/16,3/4,2,1 3/4,1,n/a,ornamentation
4,70,1/16,13/16,3,1 13/16,1,n/a,ornamentation
5,69,1/16,7/8,4,1 7/8,1,n/a,ornamentation
6,67,1/16,15/16,5,1 15/16,1,n/a,ornamentation
7,66,1/8,1/1,6,2,1,n/a,ficta
8,69,1/8,1/1,6,2,0,n/a,match
9,67,1/8,9/8,7,2 1/8,1,n/a,ornamentation
10,64,1/8,5/4,8,2 1/4,1,n/a,ornamentation
11,66,1/8,11/8,9,2 3/8,1,n/a,ornamentation
12,67,1/16,3/2,10,2 1/2,0 and 1,n/a,match
13,66,1/16,25/16,11,2 9/16,0,n/a,ornamentation
14,67,1/16,13/8,12,2 5/8,0,n/a,ornamentation
15,69,1/16,27/16,13,2 11/16,0,n/a,ornamentation
16,70,1/16,7/4,14,2 3/4,0,n/a,ornamentation
17,69,1/16,29/16,15,2 13/16,0,n/a,ornamentation
18,70,1/16,15/8,16,2 7/8,0,n/a,ornamentation
19,72,1/16,31/16,17,2 15/16,0,n/a,ornamentation
20,55,1/4,2/1,18,3,2,n/a,match
21,67,1/4,2/1,18,3,1,0,repetition
22,74,1/4,2/1,18,3,0,n/a,match
23,65,1/4,9/4,19,3 1/4,1,n/a,match
24,58,1/4,5/2,20,3 1/2,2,n/a,match
25,62,1/4,5/2,20,3 1/2,1,n/a,match
26,74,1/4,5/2,20,3 1/2,0,0,repetition
27,72,1/8,11/4,21,3 3/4,0,n/a,match
28,70,1/8,23/8,22,3 7/8,0,n/a,match
29,57,1/4,3/1,23,4,2,n/a,match
30,64,1/4,3/1,23,4,1,n/a,match
31,72,1/4,3/1,23,4,0,n/a,match
32,66,1/4,13/4,24,4 1/4,1,n/a,ficta
33,55,1/4,7/2,25,4 1/2,2,n/a,match
34,67,1/4,7/2,25,4 1/2,1,n/a,match
35,70,1/4,7/2,25,4 1/2,0,n/a,match
36,72,1/16,15/4,26,4 3/4,1,n/a,ornamentation
37,70,1/16,61/16,27,4 13/16,1,n/a,ornamentation
38,69,1/16,31/8,28,4 7/8,1,n/a,ornamentation
39,67,1/16,63/16,29,4 15/16,1,n/a,ornamentation
40,50,1/8,4/1,30,5,3,n/a,match
41,62,1/8,4/1,30,5,2,n/a,match
42,65,1/8,4/1,30,5,1,n/a,match
43,67,1/8,33/8,31,5 1/8,0,n/a,ornamentation
44,69,1/8,17/4,32,5 1/4,0,n/a,match
45,70,1/8,35/8,33,5 3/8,3,n/a,ornamentation
46,53,1/8,9/2,34,5 1/2,3,n/a,match
47,69,1/8,37/8,35,5 5/8,0,n/a,ornamentation
48,67,1/8,19/4,36,5 3/4,0,n/a,match
49,65,1/8,39/8,37,5 7/8,0,n/a,match
50,52,1/4,5/1,38,6,3,n/a,match
51,60,1/4,5/1,38,6,1,n/a,match
52,67,1/4,5/1,38,6,0,n/a,match
53,62,1/16,21/4,39,6 1/4,1,n/a,ornamentation
54,60,1/16,85/16,40,6 5/16,1,n/a,ornamentation
55,59,1/16,43/8,41,6 3/8,1,n/a,ornamentation
56,60,1/16,87/16,42,6 7/16,1,n/a,ornamentation
57,50,1/4,11/2,43,6 1/2,3,n/a,match
58,62,1/4,11/2,43,6 1/2,1,n/a,match
59,65,1/4,11/2,43,6 1/2,0,n/a,match
60,69,1/4,23/4,44,6 3/4,0,4,adaptation
61,57,1/8,6/1,45,7,3,n/a,match
62,64,1/8,6/1,45,7,1,n/a,match
63,69,1/8,6/1,45,7,0,4,adaptation
64,70,1/8,49/8,46,7 1/8,0,n/a,ornamentation
65,72,1/4,25/4,47,7 1/4,0,n/a,match
66,57,1/8,13/2,48,7 1/2,3,0,repetition
67,65,1/8,13/2,48,7 1/2,1,n/a,match
68,72,1/8,53/8,49,7 5/8,0,n/a,ornamentation
69,70,1/8,27/4,50,7 3/4,0,n/a,match
70,69,1/8,55/8,51,7 7/8,0,n/a,match
71,55,1/4,7/1,52,8,3,n/a,match
72,67,1/4,7/1,52,8,1,2,adaptation
73,70,1/4,7/1,52,8,0,n/a,match
74,60,1/8,29/4,53,8 1/4,2,2,adaptation
75,62,1/8,59/8,54,8 3/8,2,0,repetition
76,55,1/4,15/2,55,8 1/2,3,0,repetition
77,63,1/4,15/2,55,8 1/2,1,n/a,match
78,53,1/4,31/4,56,8 3/4,3,n/a,match
79,62,1/4,31/4,56,8 3/4,1,n/a,match
80,69,1/4,31/4,56,8 3/4,0,n/a,match
81,52,1/8,8/1,57,9,3,n/a,match
82,60,1/8,65/8,58,9 1/8,1,n/a,match
83,60,1/8,33/4,59,9 1/4,1,n/a,match
84,67,1/8,33/4,59,9 1/4,0,n/a,match
85,69,1/8,67/8,60,9 3/8,0,n/a,match
86,50,1/8,17/2,61,9 1/2,3,n/a,match
87,70,1/8,17/2,61,9 1/2,0,n/a,match
88,69,1/8,69/8,62,9 5/8,0,n/a,match
89,59,1/8,35/4,63,9 3/4,1,n/a,match
90,67,1/8,35/4,63,9 3/4,0,n/a,match
91,65,1/8,71/8,64,9 7/8,0,n/a,match
92,48,1/8,9/1,65,10,3,n/a,match
93,60,1/8,9/1,65,10,1 and 2,n/a,match
94,64,1/8,9/1,65,10,0,n/a,match
95,59,1/8,73/8,66,10 1/8,1,n/a,ornamentation
96,60,1/8,37/4,67,10 1/4,1,n/a,ornamentation
97,62,1/8,75/8,68,10 3/8,1,n/a,match
98,48,1/8,19/2,69,10 1/2,3,0,repetition
99,60,1/8,19/2,69,10 1/2,2,0,repetition
100,64,1/8,19/2,69,10 1/2,1,n/a,match
101,65,1/8,77/8,70,10 5/8,1,n/a,match
102,58,1/4,39/4,71,10 3/4,2,n/a,match
103,67,1/4,39/4,71,10 3/4,1,n/a,match
104,57,1/8,10/1,72,11,2,n/a,match
105,65,1/8,81/8,73,11 1/8,1,n/a,match
106,67,1/16,41/4,74,11 1/4,1,2,adaptation
107,65,1/16,165/16,75,11 5/16,2,n/a,ornamentation
108,64,1/16,83/8,76,11 3/8,2,n/a,ornamentation
109,65,1/16,167/16,77,11 7/16,2,n/a,ornamentation
110,55,1/4,21/2,78,11 1/2,2,n/a,match
111,64,1/4,43/4,79,11 3/4,1,n/a,match
112,50,1/4,11/1,80,12,3,n/a,match
113,65,1/4,11/1,80,12,1,n/a,match
114,69,1/4,11/1,80,12,0,n/a,match
115,62,1/4,45/4,81,12 1/4,1,n/a,match
116,53,1/16,23/2,82,12 1/2,3,n/a,match
117,69,1/16,23/2,82,12 1/2,0,0,repetition
118,67,1/16,185/16,83,12 9/16,1,n/a,ornamentation
119,65,1/16,93/8,84,12 5/8,1,3,adaptation
120,64,1/16,187/16,85,12 11/16,0,n/a,ornamentation
121,65,1/16,47/4,86,12 3/4,0,4,adaptation
122,67,1/16,189/16,87,12 13/16,0,n/a,ornamentation
123,69,1/16,95/8,88,12 7/8,0,1,adaptation
124,70,1/16,191/16,89,12 15/16,0,n/a,ornamentation
125,52,1/8,12/1,90,13,3,n/a,match
126,55,1/8,12/1,90,13,1,n/a,match
127,72,1/8,12/1,90,13,0,n/a,match
128,69,1/8,97/8,91,13 1/8,0,n/a,ornamentation
129,70,1/8,49/4,92,13 1/4,0,n/a,ornamentation
130,72,1/8,99/8,93,13 3/8,0,n/a,ornamentation
131,50,1/4,25/2,94,13 1/2,3,n/a,match
132,57,1/4,25/2,94,13 1/2,1,n/a,match
133,74,1/4,25/2,94,13 1/2,0,n/a,match
134,57,1/8,51/4,95,13 3/4,1,n/a,ornamentation
135,58,1/8,103/8,96,13 7/8,1,n/a,match
136,57,1/4,13/1,97,14,3,n/a,match
137,60,1/4,13/1,97,14,1,n/a,match
138,60,1/8,53/4,98,14 1/4,1,0,repetition
139,72,1/8,53/4,98,14 1/4,0,n/a,match
140,62,1/8,107/8,99,14 3/8,1,n/a,ornamentation
141,57,1/16,27/2,100,14 1/2,3,0,repetition
142,64,1/16,27/2,100,14 1/2,1,n/a,match
143,72,1/16,27/2,100,14 1/2,0,0,repetition
144,59,1/16,217/16,101,14 9/16,1,n/a,ornamentation
145,60,1/16,109/8,102,14 5/8,1,n/a,ornamentation
146,62,1/16,219/16,103,14 11/16,1,n/a,ornamentation
147,64,1/16,55/4,104,14 3/4,1,0,repetition
148,65,1/16,221/16,105,14 13/16,1,n/a,ornamentation
149,67,1/16,111/8,106,14 7/8,1,2,adaptation
150,69,1/16,223/16,107,14 15/16,0,n/a,ornamentation
151,55,1/16,14/1,108,15,2 and 3,n/a,match
152,70,1/16,14/1,108,15,0,n/a,match
153,69,1/16,225/16,109,15 1/16,0,n/a,ornamentation
154,70,1/16,113/8,110,15 1/8,0,n/a,ornamentation
155,72,1/16,227/16,111,15 3/16,0,n/a,ornamentation
156,58,1/8,57/4,112,15 1/4,1,0,repetition
157,70,1/8,57/4,112,15 1/4,0,0,repetition
158,69,1/8,115/8,113,15 3/8,0,n/a,match
159,55,1/4,29/2,114,15 1/2,3,0,repetition
160,70,1/4,29/2,114,15 1/2,0,n/a,match
161,53,1/8,59/4,115,15 3/4,3,n/a,match
162,65,1/8,59/4,115,15 3/4,1,n/a,match
163,69,1/8,59/4,115,15 3/4,0,n/a,match
164,67,1/8,119/8,116,15 7/8,0,n/a,match
165,50,1/8,15/1,117,16,3,n/a,match
166,57,1/8,15/1,117,16,2,n/a,match
167,65,1/8,15/1,117,16,0,n/a,match
168,64,1/8,121/8,118,16 1/8,1,n/a,match
169,64,1/16,61/4,119,16 1/4,1,0,repetition
170,62,1/16,245/16,120,16 5/16,0,n/a,ornamentation
171,61,1/16,123/8,121,16 3/8,0,n/a,ornamentation
172,62,1/16,247/16,122,16 7/16,0,n/a,ornamentation
173,52,1/8,31/2,123,16 1/2,3,n/a,match
174,67,1/8,31/2,123,16 1/2,0,n/a,match
175,61,1/8,125/8,124,16 5/8,1,n/a,ornamentation
176,62,1/16,63/4,125,16 3/4,1,0,repetition
177,61,1/16,253/16,126,16 13/16,1,n/a,ornamentation
178,59,1/16,127/8,127,16 7/8,1,n/a,ornamentation
179,61,1/16,255/16,128,16 15/16,1,n/a,ornamentation
180,50,1/4,16/1,129,17,3,n/a,match
181,62,1/4,16/1,129,17,1 and 2,n/a,match
182,65,1/4,65/4,130,17 1/4,0,n/a,match
183,62,1/16,33/2,131,17 1/2,2,0,repetition
184,65,1/16,33/2,131,17 1/2,0,0,repetition
185,64,1/16,265/16,132,17 9/16,0,n/a,ornamentation
186,65,1/16,133/8,133,17 5/8,0,0,repetition
187,67,1/16,267/16,134,17 11/16,0,n/a,ornamentation
188,53,1/16,67/4,135,17 3/4,1,n/a,match
189,69,1/16,67/4,135,17 3/4,0,n/a,match
190,67,1/16,269/16,136,17 13/16,0,n/a,ornamentation
191,69,1/16,135/8,137,17 7/8,0,0,repetition
192,70,1/16,271/16,138,17 15/16,0,n/a,ornamentation
193,53,1/8,17/1,139,18,1,0,repetition
