note,pitch,duration,chord,bar,mapped voice,cost,category
0,52,1/2,0,1,2,n/a,match
1,52,1/2,1,1 1/2,1,n/a,match
2,48,1/2,2,2,2,n/a,match
3,52,1/2,2,2,1,0,repetition
4,50,1/2,3,2 1/2,2,n/a,match
5,53,1/2,3,2 1/2,1,n/a,match
6,52,1/2,4,3,2,n/a,match
7,55,1/2,4,3,1,n/a,match
8,57,1/4,5,3 1/2,1,n/a,match
9,64,1/4,5,3 1/2,0,n/a,match
10,45,1/4,6,3 3/4,2,n/a,match
11,48,1/4,7,4,2,n/a,match
12,55,1/4,7,4,1,n/a,match
13,64,1/4,7,4,0,0,repetition
14,57,1/4,8,4 1/4,1,n/a,match
15,50,1/4,9,4 1/2,2,n/a,match
16,57,1/4,9,4 1/2,1,0,repetition
17,65,1/4,9,4 1/2,0,n/a,match
18,55,1/8,10,4 3/4,1,n/a,match
19,53,1/8,11,4 7/8,1,n/a,match
20,52,1/2,12,5,1 and 2,n/a,match
21,67,1/2,12,5,0,n/a,match
22,69,1/4,13,5 1/2,0,n/a,match
23,50,1/4,14,5 3/4,1,0,repetition
24,52,1/4,15,6,2,n/a,match
25,67,1/4,15,6,0,n/a,match
26,53,1/4,16,6 1/4,2,n/a,match
27,69,1/4,16,6 1/4,0,n/a,match
28,57,1/8,17,6 1/2,1,n/a,match
29,69,1/8,18,6 5/8,0,n/a,ornamentation
30,52,1/8,19,6 3/4,2,n/a,match
31,67,1/8,19,6 3/4,0,n/a,match
32,50,1/8,20,6 7/8,2,n/a,match
33,65,1/8,20,6 7/8,0,n/a,match
34,48,1/4,21,7,2,n/a,match
35,57,1/4,21,7,1,0,repetition
36,64,1/4,21,7,0,n/a,match
37,47,1/8,22,7 1/4,2,n/a,match
38,45,1/8,23,7 3/8,2,n/a,match
39,55,1/2,24,7 1/2,2,n/a,match
40,59,1/2,24,7 1/2,1,n/a,match
41,62,1/2,24,7 1/2,0,n/a,match
42,57,1/4,25,8,2,n/a,match
43,60,1/4,25,8,1,n/a,match
44,62,1/16,26,8 1/4,1,n/a,ornamentation
45,60,1/16,27,8 5/16,1,n/a,ornamentation
46,59,1/16,28,8 3/8,1,n/a,ornamentation
47,60,1/16,29,8 7/16,1,n/a,ornamentation
48,50,1/2,30,8 1/2,2,n/a,match
49,62,1/2,30,8 1/2,1,n/a,match
50,69,1/2,30,8 1/2,0,n/a,match
51,53,1/4,31,9,2,n/a,match
52,60,1/4,31,9,1,n/a,match
53,69,1/4,31,9,0,0,repetition
54,62,1/4,32,9 1/4,1,n/a,match
55,55,1/4,33,9 1/2,2,n/a,match
56,62,1/4,33,9 1/2,1,0,repetition
57,71,1/4,33,9 1/2,0,n/a,match
58,60,1/16,34,9 3/4,1,n/a,match
59,59,1/16,35,9 13/16,2,n/a,ornamentation
60,57,1/16,36,9 7/8,2,2,adaptation
61,55,1/16,37,9 15/16,2,n/a,ornamentation
62,57,1/2,38,10,1 and 2,n/a,match
63,72,1/2,38,10,0,n/a,match
64,55,1/2,39,10 1/2,1,n/a,match
65,58,1/2,39,10 1/2,2,n/a,match
66,74,1/2,39,10 1/2,0,n/a,match
67,57,1/4,40,11,2,n/a,match
68,72,1/4,40,11,0,n/a,match
69,58,1/4,41,11 1/4,2,n/a,match
70,74,1/4,41,11 1/4,0,n/a,match
71,62,1/4,42,11 1/2,1,n/a,match
72,57,1/8,43,11 3/4,2,n/a,match
73,72,1/8,43,11 3/4,0,n/a,match
74,55,1/8,44,11 7/8,2,n/a,match
75,71,1/8,44,11 7/8,0,n/a,match
76,53,1/4,45,12,2,n/a,match
77,62,1/4,45,12,1,0,repetition
78,69,1/4,45,12,0,n/a,match
79,64,1/16,46,12 1/4,1,2,adaptation
80,62,1/16,47,12 5/16,1,n/a,ornamentation
81,60,1/16,48,12 3/8,1,0,repetition
82,62,1/16,49,12 7/16,1,n/a,ornamentation
83,60,1/2,50,12 1/2,2,n/a,match
84,64,1/2,50,12 1/2,1,n/a,match
85,67,1/2,50,12 1/2,0,n/a,match
86,60,1/4,51,13,2,0,repetition
87,64,1/4,51,13,1,0,repetition
88,67,1/4,51,13,0,0,repetition
89,62,1/8,52,13 1/4,1,n/a,match
90,69,1/8,52,13 1/4,0,n/a,match
91,71,1/8,53,13 3/8,0,n/a,match
92,57,1/4,54,13 1/2,2,n/a,match
93,60,1/4,54,13 1/2,1,n/a,match
94,72,1/4,54,13 1/2,0,n/a,match
95,55,1/16,55,13 3/4,2,n/a,match
96,62,1/16,55,13 3/4,1,n/a,match
97,71,1/16,55,13 3/4,0,n/a,match
98,69,1/16,56,13 13/16,0,n/a,ornamentation
99,71,1/16,57,13 7/8,0,n/a,ornamentation
100,72,1/16,58,13 15/16,0,n/a,ornamentation
101,62,1/8,59,14,1,0,repetition
102,71,1/8,59,14,0,0,repetition
103,60,1/8,60,14 1/8,1,n/a,match
104,69,1/8,60,14 1/8,0,n/a,match
105,59,1/8,61,14 1/4,1,n/a,match
106,69,1/8,61,14 1/4,0,n/a,match
107,57,1/8,62,14 3/8,1,n/a,match
108,59,1/16,63,14 1/2,1,n/a,match
109,69,1/16,64,14 9/16,0,n/a,ornamentation
110,66,1/16,65,14 5/8,0,n/a,ornamentation
111,68,1/16,66,14 11/16,0,n/a,ornamentation
112,69,1/16,67,14 3/4,0,0,repetition
113,68,1/16,68,14 13/16,0,n/a,ornamentation
114,66,1/16,69,14 7/8,0,n/a,ornamentation
115,68,1/16,70,14 15/16,0,n/a,ornamentation
116,45,1/2,71,15,2,7,adaptation
117,57,1/2,71,15,1,n/a,match
118,69,1/2,71,15,0,n/a,match
119,45,1/4,72,15 1/2,2,n/a,match
120,57,1/4,72,15 1/2,1,0,repetition
