ornament,voice,bar,pitch
R 0 E,0,6 5/8,69
Q 2 S -2 S -1 S 1 S 2 H,1,8 1/4,62
R 0 S,2,9 13/16,59
S -2 S,2,9 15/16,55
S -2 S,1,12 5/16,62
S 2 S,1,12 7/16,62
S -2 S 2 S 1 S -1 E,0,13 13/16,69
R 0 S -3 S 2 S 1 S,0,14 9/16,69
S -1 S -2 S 2 S 1 H,0,14 13/16,68
S -2 S,0,16 5/16,65
S -2 S,0,16 7/16,62
S -2 S,1,18 13/16,60
S -2 S,1,18 15/16,57
Q 2 S -2 S -1 S 1 S -1 E,1,23,67
S -1 S 1 S 2 S -2 E,0,24 13/16,64
E 3 E,1,26 3/8,53
R 0 E,0,26 5/8,61
S -1 S,0,26 13/16,61
S 2 S,0,26 15/16,61
S -2 S,2,28 5/16,55
S -1 S,2,28 7/16,52
S -2 S,0,29 13/16,60
R 0 S,1,29 15/16,57
S -1 S 1 S 2 S -2 E,0,30 1/16,59
E 2 E,0,30 3/8,62
Q 1 S -1 S -2 S 2 S 1 H,0,34 1/4,72
S -2 S,1,38 5/16,60
S -2 S,1,38 7/16,57
R 0 S,1,40 5/16,62
R 0 S,0,40 7/16,62
R 0 E,1,40 5/8,61
S -1 S -2 S 2 S 1 Q,1,40 13/16,61
R 0 S -1 S -2 S 3 S,0,42 9/16,67
S -1 S -2 S 2 S 1 Q,0,42 13/16,66
S -1 S,0,44 5/16,64
S -2 S,0,44 7/16,60
S -1 S,2,47 5/16,52
R 0 S,1,47 7/16,55
Q 0 E,0,50 1/2,65
Q 0 E,0,52 1/4,57
R 0 S -1 S -2 S 3 E,0,56 9/16,69
E -1 E,0,56 7/8,68
