note,pitch,duration,onset,chord,bar,mapped voice,cost,category
0,53,1/2,0/96,0,1,2,n/a,match
1,53,1/4,1/2,1,1 1/2,3,n/a,match
2,55,1/4,3/4,2,1 3/4,2,n/a,match
3,53,1/4,1/1,3,2,3,0,repetition
4,57,1/4,1/1,3,2,2,n/a,match
5,55,1/4,5/4,4,2 1/4,3,n/a,match
6,50,1/2,3/2,5,2 1/2,2,n/a,match
7,57,1/2,3/2,5,2 1/2,3,n/a,match
8,50,1/2,2/1,6,3,3,n/a,match
9,53,1/2,2/1,6,3,2,n/a,match
10,53,1/4,5/2,7,3 1/2,3,n/a,match
11,55,1/4,11/4,8,3 3/4,2,n/a,match
12,53,1/4,3/1,9,4,3,0,repetition
13,57,1/4,3/1,9,4,2,n/a,match
14,55,1/4,13/4,10,4 1/4,3,n/a,match
15,50,1/2,7/2,11,4 1/2,2,n/a,match
16,57,1/2,7/2,11,4 1/2,3,n/a,match
17,50,1/2,4/1,12,5,3,n/a,match
18,57,1/2,4/1,12,5,2,n/a,match
19,57,1/4,9/2,13,5 1/2,3,n/a,match
20,59,1/4,19/4,14,5 3/4,2,n/a,match
21,57,1/4,5/1,15,6,3,0,repetition
22,60,1/4,5/1,15,6,2,n/a,match
23,59,1/4,21/4,16,6 1/4,3,n/a,match
24,53,1/2,11/2,17,6 1/2,2,n/a,match
25,60,1/2,11/2,17,6 1/2,3,n/a,match
26,53,1/2,6/1,18,7,3,n/a,match
27,57,1/2,6/1,18,7,2,n/a,match
28,57,1/4,13/2,19,7 1/2,3,n/a,match
29,59,1/4,27/4,20,7 3/4,2,n/a,match
30,57,1/4,7/1,21,8,3,0,repetition
31,60,1/4,7/1,21,8,2,n/a,match
32,59,1/4,29/4,22,8 1/4,3,n/a,match
33,53,1/2,15/2,23,8 1/2,2,n/a,match
34,60,1/2,15/2,23,8 1/2,3,n/a,match
35,53,1/16,8/1,24,9,3,n/a,match
36,60,1/16,8/1,24,9,2,n/a,match
37,59,1/16,129/16,25,9 1/16,3,n/a,ornamentation
38,60,1/16,65/8,26,9 1/8,3,n/a,ornamentation
39,62,1/16,131/16,27,9 3/16,3,n/a,ornamentation
40,60,1/8,33/4,28,9 1/4,3,n/a,match
41,62,1/8,67/8,29,9 3/8,2,n/a,match
42,60,1/8,17/2,30,9 1/2,3,0,repetition
43,64,1/8,17/2,30,9 1/2,2,n/a,match
44,59,1/8,69/8,31,9 5/8,3,n/a,match
45,57,1/8,35/4,32,9 3/4,3,n/a,match
46,65,1/8,35/4,32,9 3/4,2,n/a,match
47,55,1/8,71/8,33,9 7/8,3,n/a,match
48,53,1/8,9/1,34,10,3,n/a,match
49,65,1/8,9/1,34,10,2,0,repetition
50,64,1/8,73/8,35,10 1/8,2,n/a,match
51,55,1/4,37/4,36,10 1/4,3,n/a,match
52,62,1/4,37/4,36,10 1/4,2,n/a,match
