ornament,voice,bar,pitch
S 6 S 1 S 2 S -2 E,3,9 1/16,59
R 0 S,2,10 9/16,62
S -2 S,2,10 11/16,59
S -1 S 1 S 2 S -2 E,1,11 9/16,64
E 2 E,1,11 7/8,67
Q 5 S -2 S -1 S 1 S 0 Q,1,13 1/4,67
Q 0 E,2,31 1/4,64
Q 0 E,2,32 1/4,57
Q 0 E,3,35 1/4,57
Q 0 E,3,36 1/4,50
Q 2 S -2 S -1 S -2 S 2 H,2,42 3/4,67
E -1 E 1 E 2 E,2,55 5/8,59
E -1 E,3,61 5/8,59
R 0 E,0,61 7/8,55
S -1 S,3,63 13/16,61
S 2 S,3,63 15/16,61
Q 0 E,2,79 1/4,64
Q 0 E,3,80 1/4,57
Q 0 E,3,84 1/2,52
Q 0 E,1,102 1/4,64
S -2 S,2,109 5/16,60
S -2 S,2,109 7/16,57
Q 0 E,1,110 1/4,64
Q 0 E,2,115 1/4,62
E -2 E,2,116 1/8,57
Q 2 S -2 S -1 S -2 S 2 H,1,118 1/4,67
Q 0 E,1,121 1/4,69
S -2 S,0,123 13/16,65
S 1 S,0,123 15/16,65
Q 0 E,1,135,65
Q 0 E,1,142 1/4,64
R 0 S -1 S -2 S 3 E -1 E 1 E,0,153 9/16,69
S -2 S,2,158 13/16,60
R 0 S,3,158 15/16,57
S 2 S 1 S 2 S -2 E,2,160 9/16,59
R 0 S -2 S -2 S 4 E,0,161 9/16,64
R 0 E,2,161 7/8,62
Q 2 S -2 S -1 S -2 S 2 W,1,163 3/4,62
