note,pitch,duration,chord,bar,mapped voice,cost,category
0,62,1/2,0,1,2,n/a,match
1,62,1/4,1,1 1/2,2,n/a,match
2,69,1/4,1,1 1/2,0,n/a,match
3,62,1/4,2,1 3/4,2,n/a,match
4,62,1/4,3,2,2,n/a,match
5,69,1/4,3,2,0,n/a,match
6,60,1/4,4,2 1/4,2,n/a,match
7,69,1/4,4,2 1/4,0,n/a,match
8,62,1/4,5,2 1/2,2,n/a,match
9,69,1/4,5,2 1/2,0,n/a,match
10,64,1/4,6,2 3/4,2,n/a,match
11,67,1/4,6,2 3/4,0,n/a,match
12,65,1/4,7,3,2,n/a,match
13,69,1/4,7,3,0,n/a,match
14,71,1/4,8,3 1/4,0,n/a,match
15,65,1/4,9,3 1/2,2,0,repetition
16,72,1/4,9,3 1/2,0,n/a,match
17,64,1/8,10,3 3/4,2,n/a,match
18,62,1/8,11,3 7/8,2,n/a,match
19,60,1/4,12,4,2,n/a,match
20,72,1/4,12,4,0,0,repetition
21,71,1/8,13,4 1/4,0,n/a,match
22,69,1/8,14,4 3/8,0,n/a,match
23,60,1/4,15,4 1/2,2,n/a,match
24,67,1/4,15,4 1/2,0,n/a,match
25,60,1/4,16,4 3/4,2,n/a,match
26,60,1/4,17,5,2,n/a,match
27,67,1/4,17,5,0,n/a,match
28,60,1/4,18,5 1/4,2,n/a,match
29,67,1/4,18,5 1/4,0,n/a,match
30,60,1/4,19,5 1/2,2,n/a,match
31,67,1/4,19,5 1/2,0,n/a,match
32,67,1/4,20,5 3/4,0,n/a,match
33,55,1/4,21,6,2,n/a,match
34,67,1/4,21,6,0,n/a,match
35,55,1/8,22,6 1/4,2,n/a,ornamentation
36,57,1/8,23,6 3/8,2,n/a,match
37,59,1/8,24,6 1/2,2,n/a,match
38,62,1/8,24,6 1/2,0,n/a,match
39,60,1/8,25,6 5/8,2,n/a,match
40,62,1/8,26,6 3/4,2,n/a,match
41,64,1/8,27,6 7/8,0,n/a,match
42,62,1/8,28,7,2,0,repetition
43,65,1/8,28,7,0,n/a,match
44,67,1/8,29,7 1/8,0,n/a,match
45,57,1/8,30,7 1/4,2,n/a,match
46,69,1/8,30,7 1/4,0,n/a,match
47,59,1/8,31,7 3/8,2,n/a,match
48,60,1/8,32,7 1/2,2,n/a,match
49,62,1/8,33,7 5/8,2,n/a,match
50,64,1/4,34,7 3/4,2,n/a,match
51,67,1/4,34,7 3/4,0,n/a,match
52,67,1/4,35,8,0,0,repetition
53,62,1/4,36,8 1/4,2,n/a,match
54,65,1/4,36,8 1/4,0,n/a,match
55,64,1/4,37,8 1/2,0,n/a,match
56,61,1/4,38,8 3/4,2,n/a,match
57,62,1/2,39,9,0 and 2,n/a,match
58,62,1/2,40,9 1/2,2,0,repetition
59,62,1/2,41,10,0,n/a,match
60,62,1/4,42,10 1/2,1,n/a,match
61,64,1/4,43,10 3/4,0,n/a,match
62,50,1/4,44,11,3,n/a,match
63,62,1/4,44,11,2,0,repetition
64,65,1/4,44,11,0,n/a,match
65,64,1/4,45,11 1/4,1,n/a,match
66,67,1/4,45,11 1/4,0,n/a,match
67,50,1/4,46,11 1/2,3,0,repetition
68,65,1/4,46,11 1/2,1,n/a,match
69,69,1/4,46,11 1/2,0,n/a,match
70,52,1/4,47,11 3/4,3,n/a,match
71,67,1/4,47,11 3/4,1,n/a,match
72,53,1/4,48,12,3,n/a,match
73,57,1/4,48,12,2,n/a,match
74,69,1/4,48,12,1,n/a,match
75,55,1/4,49,12 1/4,3,n/a,match
76,57,1/4,50,12 1/2,3,n/a,match
77,72,1/4,50,12 1/2,0,n/a,match
78,59,1/4,51,12 3/4,2,n/a,match
79,60,1/4,52,13,2,n/a,match
80,72,1/4,52,13,0,n/a,match
81,62,1/4,53,13 1/4,2,n/a,match
82,57,1/4,54,13 1/2,3,n/a,match
83,64,1/4,54,13 1/2,2,n/a,match
84,72,1/4,54,13 1/2,0,n/a,match
85,69,1/4,55,13 3/4,1,n/a,match
86,57,1/4,56,14,3,n/a,match
87,72,1/4,56,14,0,n/a,match
88,64,1/4,57,14 1/4,2,n/a,match
89,64,1/4,58,14 1/2,1 and 2,n/a,match
90,72,1/4,58,14 1/2,0,0,repetition
91,64,1/4,59,14 3/4,2,n/a,match
92,52,1/4,60,15,3,n/a,match
93,64,1/4,60,15,2,n/a,match
94,71,1/4,60,15,0,n/a,match
95,67,1/4,61,15 1/4,1,n/a,match
96,59,1/4,62,15 1/2,2,n/a,match
97,67,1/4,62,15 1/2,1,n/a,match
98,71,1/4,62,15 1/2,0,n/a,match
99,55,1/4,63,15 3/4,3,n/a,match
100,67,1/4,63,15 3/4,1,n/a,match
101,55,1/4,64,16,3,n/a,match
102,67,1/4,64,16,1,n/a,match
103,71,1/4,64,16,0,n/a,match
104,55,1/4,65,16 1/4,3,n/a,match
105,62,1/4,65,16 1/4,2,n/a,match
106,71,1/4,65,16 1/4,0,n/a,match
107,55,1/4,66,16 1/2,3,n/a,match
108,67,1/4,66,16 1/2,1,0,repetition
109,71,1/4,66,16 1/2,0,n/a,match
110,62,1/8,67,16 3/4,2,n/a,match
111,65,1/8,67,16 3/4,1,3,adaptation
112,64,1/8,68,16 7/8,1,n/a,match
113,50,1/8,69,17,3,n/a,match
114,65,1/8,69,17,1,n/a,match
115,69,1/8,69,17,0,n/a,match
116,67,1/8,70,17 1/8,1,n/a,match
117,50,1/8,71,17 1/4,3,0,repetition
118,65,1/8,71,17 1/4,1,n/a,match
119,69,1/8,71,17 1/4,0,0,repetition
120,52,1/8,72,17 3/8,3,n/a,match
121,67,1/8,72,17 3/8,0,n/a,match
122,53,1/8,73,17 1/2,3,n/a,match
123,60,1/8,73,17 1/2,2,n/a,match
124,69,1/8,73,17 1/2,0,n/a,match
125,55,1/8,74,17 5/8,3,n/a,match
126,71,1/8,74,17 5/8,0,n/a,match
127,57,1/8,75,17 3/4,3,n/a,match
128,60,1/8,75,17 3/4,2,0,repetition
129,72,1/8,75,17 3/4,0,n/a,match
130,59,1/8,76,17 7/8,2,n/a,match
131,62,1/8,76,17 7/8,1,n/a,match
132,57,1/8,77,18,2,n/a,match
133,60,1/8,77,18,1,n/a,match
134,55,1/8,78,18 1/8,3,n/a,match
135,52,1/4,79,18 1/4,3,n/a,match
136,55,1/4,79,18 1/4,2,n/a,match
137,71,1/4,79,18 1/4,0,n/a,match
138,53,1/4,80,18 1/2,3,n/a,match
139,57,1/4,80,18 1/2,2,n/a,match
140,69,1/4,80,18 1/2,0,n/a,match
141,62,1/4,81,18 3/4,1,n/a,match
142,52,1/2,82,19,3,n/a,match
143,64,1/2,82,19,1,n/a,match
144,67,1/2,82,19,0,n/a,match
145,48,1/2,83,20,3,n/a,match
146,64,1/2,83,20,1,n/a,match
147,67,1/2,83,20,0,n/a,match
148,48,1/4,84,20 1/2,3,0,repetition
149,64,1/4,84,20 1/2,1,0,repetition
150,67,1/4,84,20 1/2,0,0,repetition
151,48,1/4,85,20 3/4,3,n/a,match
152,64,1/4,85,20 3/4,1,n/a,match
153,67,1/4,85,20 3/4,0,n/a,match
154,48,1/4,86,21,3,n/a,match
155,64,1/4,86,21,1,n/a,match
156,67,1/4,86,21,0,n/a,match
157,48,1/4,87,21 1/4,3,n/a,match
158,64,1/4,87,21 1/4,1,n/a,match
159,67,1/4,87,21 1/4,0,n/a,match
160,50,1/4,88,21 1/2,3,n/a,match
161,62,1/4,88,21 1/2,1,n/a,match
162,65,1/4,88,21 1/2,0,n/a,match
163,53,1/8,89,21 3/4,2,n/a,ornamentation
164,55,1/8,90,21 7/8,2,n/a,match
165,45,1/4,91,22,3,n/a,match
166,57,1/4,91,22,2,n/a,match
167,60,1/4,91,22,1,n/a,match
168,57,1/4,92,22 1/4,0,n/a,match
169,45,1/4,93,22 1/2,3,0,repetition
170,57,1/4,93,22 1/2,2,0,repetition
171,60,1/4,93,22 1/2,0,n/a,match
172,57,1/8,94,22 3/4,1,n/a,match
173,60,1/8,94,22 3/4,0,0,repetition
174,62,1/8,95,22 7/8,0,n/a,match
175,45,1/4,96,23,3,0,repetition
176,60,1/4,96,23,1,n/a,match
177,64,1/4,96,23,0,n/a,match
178,57,1/8,97,23 1/4,0,n/a,match
179,60,1/8,97,23 1/4,1,0,repetition
180,62,1/8,98,23 3/8,1,n/a,match
181,45,1/4,99,23 1/2,3,0,repetition
182,57,1/4,99,23 1/2,2,0,repetition
183,64,1/4,99,23 1/2,1,n/a,match
184,57,1/4,100,23 3/4,1,n/a,match
185,65,1/4,101,24,0,n/a,match
186,64,1/4,102,24 1/4,1,n/a,match
187,67,1/4,102,24 1/4,0,n/a,match
188,65,1/4,103,24 1/2,1,n/a,match
189,69,1/4,103,24 1/2,0,n/a,match
190,62,1/8,104,24 3/4,0,n/a,match
191,65,1/8,104,24 3/4,1,0,repetition
192,64,1/8,105,24 7/8,0,n/a,match
193,67,1/8,105,24 7/8,1,n/a,match
194,65,1/8,106,25,0,n/a,match
195,69,1/8,106,25,1,n/a,match
196,67,1/8,107,25 1/8,0,n/a,match
197,62,1/8,108,25 1/4,1,n/a,match
198,69,1/8,108,25 1/4,0,n/a,match
199,65,1/8,109,25 3/8,0,n/a,match
200,64,1/4,110,25 1/2,1,n/a,match
201,67,1/4,110,25 1/2,0,n/a,match
202,65,1/4,111,25 3/4,1,n/a,match
203,69,1/4,111,25 3/4,0,n/a,match
204,65,1/8,112,26,1,n/a,ornamentation
205,64,1/8,113,26 1/8,1,n/a,match
206,62,1/4,114,26 1/4,1,n/a,match
207,65,1/4,114,26 1/4,0,n/a,match
208,64,1/4,115,26 1/2,0,n/a,match
209,61,1/4,116,26 3/4,1,n/a,match
210,50,1/2,117,27,3,n/a,match
211,62,1/2,117,27,0 and 1,n/a,match
212,55,1/2,118,27 1/2,3,n/a,match
213,62,1/2,118,27 1/2,1,0,repetition
214,53,1/2,119,28,3,n/a,match
215,57,1/2,119,28,2,n/a,match
216,50,1/2,120,28 1/2,3,n/a,match
217,62,1/2,120,28 1/2,2,n/a,match
218,57,1/4,121,29,3,n/a,match
219,60,1/4,121,29,2,n/a,match
220,57,1/8,122,29 1/4,3,n/a,ornamentation
221,59,1/8,123,29 3/8,3,n/a,match
222,57,1/4,124,29 1/2,2,n/a,match
223,60,1/4,124,29 1/2,3,n/a,match
