note,pitch,duration,chord,bar,mapped voice,cost,category
0,67,1/16,0,1,0 and 1,n/a,match
1,66,1/16,1,1 1/16,0,n/a,ornamentation
2,64,1/16,2,1 1/8,0,n/a,ornamentation
3,62,1/16,3,1 3/16,0,n/a,ornamentation
4,60,1/32,4,1 1/4,0,n/a,ornamentation
5,59,1/32,5,1 9/32,0,n/a,ornamentation
6,60,1/32,6,1 5/16,0,n/a,ornamentation
7,62,1/32,7,1 11/32,0,n/a,ornamentation
8,64,1/32,8,1 3/8,0,n/a,ornamentation
9,66,1/32,9,1 13/32,0,n/a,ornamentation
10,67,1/32,10,1 7/16,0,n/a,ornamentation
11,69,1/32,11,1 15/32,0,n/a,ornamentation
12,67,1/8,12,1 1/2,1,0,repetition
13,70,1/8,12,1 1/2,0,n/a,match
14,69,1/16,13,1 5/8,1,n/a,ornamentation
15,70,1/16,14,1 11/16,1,n/a,ornamentation
16,72,1/16,15,1 3/4,1,n/a,ornamentation
17,70,1/16,16,1 13/16,1,n/a,ornamentation
18,72,1/32,17,1 7/8,1,n/a,ornamentation
19,70,1/32,18,1 29/32,1,n/a,ornamentation
20,69,1/32,19,1 15/16,1,n/a,ornamentation
21,67,1/32,20,1 31/32,1,n/a,ornamentation
22,66,1/16,21,2,1,n/a,ficta
23,69,1/16,21,2,0,n/a,match
24,67,1/16,22,2 1/16,1,n/a,ornamentation
25,66,1/16,23,2 1/8,1,n/a,ornamentation
26,64,1/16,24,2 3/16,1,n/a,ornamentation
27,67,1/16,25,2 1/4,1,n/a,ornamentation
28,66,1/16,26,2 5/16,1,n/a,ornamentation
29,67,1/32,27,2 3/8,1,n/a,ornamentation
30,66,1/32,28,2 13/32,1,n/a,ornamentation
31,64,1/32,29,2 7/16,1,n/a,ornamentation
32,66,1/32,30,2 15/32,1,n/a,ornamentation
33,67,1/16,31,2 1/2,0 and 1,n/a,match
34,66,1/16,32,2 9/16,0,n/a,ornamentation
35,67,1/16,33,2 5/8,0,n/a,ornamentation
36,69,1/16,34,2 11/16,0,n/a,ornamentation
37,70,1/16,35,2 3/4,0,n/a,ornamentation
38,69,1/16,36,2 13/16,0,n/a,ornamentation
39,70,1/16,37,2 7/8,0,n/a,ornamentation
40,72,1/16,38,2 15/16,0,n/a,ornamentation
41,55,1/4,39,3,2,n/a,match
42,67,1/4,39,3,1,0,repetition
43,74,1/4,39,3,0,n/a,match
44,65,1/4,40,3 1/4,1,n/a,match
45,58,1/4,41,3 1/2,2,n/a,match
46,62,1/4,41,3 1/2,1,n/a,match
47,74,1/4,41,3 1/2,0,0,repetition
48,72,1/8,42,3 3/4,0,n/a,match
49,70,1/8,43,3 7/8,0,n/a,match
50,57,1/8,44,4,2,n/a,match
51,67,1/8,44,4,1,5,adaptation
52,72,1/8,44,4,0,n/a,match
53,66,1/16,45,4 1/8,1,n/a,ornamentation
54,64,1/16,46,4 3/16,1,n/a,ornamentation
55,67,1/16,47,4 1/4,1,3,adaptation
56,66,1/16,48,4 5/16,1,n/a,ornamentation
57,67,1/32,49,4 3/8,1,n/a,ornamentation
58,66,1/32,50,4 13/32,1,n/a,ornamentation
59,64,1/32,51,4 7/16,1,n/a,ornamentation
60,66,1/32,52,4 15/32,1,n/a,ornamentation
61,55,1/8,53,4 1/2,2,n/a,match
62,67,1/8,53,4 1/2,1,n/a,match
63,70,1/8,53,4 1/2,0,n/a,match
64,69,1/16,54,4 5/8,0,n/a,ornamentation
65,70,1/16,55,4 11/16,0,n/a,ornamentation
66,72,1/16,56,4 3/4,0,n/a,ornamentation
67,70,1/16,57,4 13/16,0,n/a,ornamentation
68,72,1/32,58,4 7/8,0,n/a,ornamentation
69,70,1/32,59,4 29/32,0,n/a,ornamentation
70,69,1/32,60,4 15/16,0,n/a,ornamentation
71,67,1/32,61,4 31/32,0,n/a,ornamentation
72,50,1/16,62,5,3,n/a,match
73,65,1/16,62,5,1,n/a,match
74,69,1/16,62,5,0,1,adaptation
75,64,1/16,63,5 1/16,0,n/a,ornamentation
76,65,1/16,64,5 1/8,0,n/a,ornamentation
77,67,1/16,65,5 3/16,0,n/a,ornamentation
78,69,1/16,66,5 1/4,0,n/a,match
79,67,1/16,67,5 5/16,0,n/a,ornamentation
80,69,1/16,68,5 3/8,0,n/a,ornamentation
81,70,1/16,69,5 7/16,0,n/a,ornamentation
82,53,1/8,70,5 1/2,3,n/a,match
83,65,1/8,70,5 1/2,1,0,repetition
84,69,1/8,70,5 1/2,0,0,repetition
85,64,1/16,71,5 5/8,0,n/a,ornamentation
86,65,1/16,72,5 11/16,0,n/a,ornamentation
87,67,1/16,73,5 3/4,0,n/a,match
88,65,1/16,74,5 13/16,0,n/a,ornamentation
89,67,1/32,75,5 7/8,0,0,repetition
90,65,1/32,76,5 29/32,1,n/a,ornamentation
91,64,1/32,77,5 15/16,1,n/a,ornamentation
92,62,1/32,78,5 31/32,1,n/a,ornamentation
93,52,1/8,79,6,3,n/a,match
94,60,1/8,79,6,1,n/a,match
95,67,1/8,79,6,0,n/a,match
96,59,1/16,80,6 1/8,1,n/a,ornamentation
97,60,1/16,81,6 3/16,1,n/a,ornamentation
98,62,1/16,82,6 1/4,1,n/a,ornamentation
99,60,1/16,83,6 5/16,1,n/a,ornamentation
100,62,1/32,84,6 3/8,1,n/a,ornamentation
101,60,1/32,85,6 13/32,1,n/a,ornamentation
102,59,1/32,86,6 7/16,1,n/a,ornamentation
103,60,1/32,87,6 15/32,1,n/a,ornamentation
104,50,1/16,88,6 1/2,3,n/a,match
105,62,1/16,88,6 1/2,1,n/a,match
106,65,1/16,88,6 1/2,0,n/a,match
107,64,1/16,89,6 9/16,0,n/a,ornamentation
108,65,1/16,90,6 5/8,0,n/a,ornamentation
109,67,1/16,91,6 11/16,0,n/a,ornamentation
110,69,1/16,92,6 3/4,0,n/a,ornamentation
111,67,1/16,93,6 13/16,0,n/a,ornamentation
112,69,1/16,94,6 7/8,0,n/a,ornamentation
113,70,1/16,95,6 15/16,0,n/a,ornamentation
114,57,1/16,96,7,3,n/a,match
115,64,1/16,96,7,1,n/a,match
116,72,1/16,96,7,0,7,adaptation
117,55,1/16,97,7 1/16,3,n/a,ornamentation
118,53,1/16,98,7 1/8,3,n/a,ornamentation
119,52,1/16,99,7 3/16,3,n/a,ornamentation
120,53,1/32,100,7 1/4,3,4,adaptation
121,52,1/32,101,7 9/32,2,n/a,ornamentation
122,53,1/32,102,7 5/16,2,n/a,ornamentation
123,55,1/32,103,7 11/32,2,n/a,ornamentation
124,57,1/32,104,7 3/8,2,n/a,ornamentation
125,55,1/32,105,7 13/32,2,n/a,ornamentation
126,57,1/32,106,7 7/16,2,n/a,ornamentation
127,59,1/32,107,7 15/32,2,n/a,ornamentation
128,60,1/16,108,7 1/2,2,2,adaptation
129,72,1/16,108,7 1/2,0,0,repetition
130,59,1/16,109,7 9/16,1,n/a,ornamentation
131,60,1/16,110,7 5/8,1,n/a,ornamentation
132,62,1/16,111,7 11/16,1,n/a,ornamentation
133,64,1/16,112,7 3/4,1,1,adaptation
134,66,1/16,113,7 13/16,1,n/a,ornamentation
135,67,1/16,114,7 7/8,1,2,adaptation
136,69,1/16,115,7 15/16,0,n/a,ornamentation
137,55,1/16,116,8,3,n/a,match
138,62,1/16,116,8,2,0,repetition
139,70,1/16,116,8,0,n/a,match
140,69,1/16,117,8 1/16,0,n/a,ornamentation
141,70,1/16,118,8 1/8,0,n/a,ornamentation
142,72,1/16,119,8 3/16,0,n/a,ornamentation
143,62,1/8,120,8 1/4,2,0,repetition
144,70,1/8,120,8 1/4,0,0,repetition
145,60,1/8,121,8 3/8,1,n/a,match
146,69,1/8,121,8 3/8,0,2,adaptation
147,55,1/16,122,8 1/2,3,0,repetition
148,62,1/16,122,8 1/2,2,0,repetition
149,72,1/16,122,8 1/2,0,5,adaptation
150,70,1/16,123,8 9/16,0,n/a,ornamentation
151,69,1/16,124,8 5/8,0,n/a,ornamentation
152,70,1/16,125,8 11/16,0,n/a,ornamentation
153,53,1/16,126,8 3/4,3,n/a,match
154,70,1/16,126,8 3/4,0,3,adaptation
155,69,1/16,127,8 13/16,0,n/a,ornamentation
156,67,1/16,128,8 7/8,0,n/a,ornamentation
157,69,1/16,129,8 15/16,0,n/a,ornamentation
158,52,1/16,130,9,3,n/a,match
159,60,1/16,130,9,2,2,adaptation
160,67,1/16,130,9,0,2,adaptation
161,65,1/16,131,9 1/16,2,n/a,ornamentation
162,64,1/16,132,9 1/8,2,2,adaptation
163,62,1/16,133,9 3/16,2,n/a,ornamentation
164,64,1/16,134,9 1/4,2,2,adaptation
165,65,1/16,135,9 5/16,0,n/a,ornamentation
166,67,1/16,136,9 3/8,0,0,repetition
167,69,1/16,137,9 7/16,0,n/a,ornamentation
168,50,1/16,138,9 1/2,3,n/a,match
169,62,1/16,138,9 1/2,2,0,repetition
170,70,1/16,138,9 1/2,0,n/a,match
171,69,1/16,139,9 9/16,0,n/a,ornamentation
172,70,1/32,140,9 5/8,0,0,repetition
173,69,1/32,141,9 21/32,0,n/a,ornamentation
174,67,1/32,142,9 11/16,0,n/a,ornamentation
175,65,1/32,143,9 23/32,0,n/a,ornamentation
176,67,1/16,144,9 3/4,0,n/a,match
177,65,1/16,145,9 13/16,0,n/a,ornamentation
178,67,1/32,146,9 7/8,0,0,repetition
179,65,1/32,147,9 29/32,0,n/a,ornamentation
180,64,1/32,148,9 15/16,0,n/a,ornamentation
181,62,1/32,149,9 31/32,0,n/a,ornamentation
182,48,1/16,150,10,3,n/a,match
183,60,1/16,150,10,1 and 2,n/a,match
184,64,1/16,150,10,0,n/a,match
185,59,1/16,151,10 1/16,0,n/a,ornamentation
186,60,1/16,152,10 1/8,0,n/a,ornamentation
187,62,1/16,153,10 3/16,0,n/a,ornamentation
188,64,1/16,154,10 1/4,0,n/a,ornamentation
189,62,1/16,155,10 5/16,0,n/a,ornamentation
190,64,1/16,156,10 3/8,0,0,repetition
191,65,1/16,157,10 7/16,1,n/a,ornamentation
192,48,1/8,158,10 1/2,3,0,repetition
193,60,1/8,158,10 1/2,2,0,repetition
194,64,1/8,158,10 1/2,1,n/a,match
195,65,1/8,159,10 5/8,1,n/a,match
196,58,1/16,160,10 3/4,2,n/a,match
197,67,1/16,160,10 3/4,1,n/a,match
198,65,1/16,161,10 13/16,1,n/a,ornamentation
199,67,1/16,162,10 7/8,1,n/a,ornamentation
200,69,1/16,163,10 15/16,1,n/a,ornamentation
201,57,1/8,164,11,2,n/a,match
202,67,1/8,164,11,1,0,repetition
203,65,1/8,165,11 1/8,1,n/a,match
204,67,1/16,166,11 1/4,1,2,adaptation
205,65,1/16,167,11 5/16,0,n/a,ornamentation
206,67,1/32,168,11 3/8,0,n/a,ornamentation
207,65,1/32,169,11 13/32,0,n/a,ornamentation
208,64,1/32,170,11 7/16,0,n/a,ornamentation
209,65,1/32,171,11 15/32,0,n/a,ornamentation
210,55,1/16,172,11 1/2,2,n/a,match
211,67,1/16,172,11 1/2,0,n/a,match
212,65,1/16,173,11 9/16,1,n/a,ornamentation
213,67,1/32,174,11 5/8,1,n/a,ornamentation
214,65,1/32,175,11 21/32,1,n/a,ornamentation
215,64,1/32,176,11 11/16,1,n/a,ornamentation
216,62,1/32,177,11 23/32,1,n/a,ornamentation
217,65,1/16,178,11 3/4,1,0,repetition
218,64,1/16,179,11 13/16,1,n/a,ornamentation
219,62,1/16,180,11 7/8,1,n/a,ornamentation
220,64,1/16,181,11 15/16,1,n/a,ornamentation
221,50,1/16,182,12,3,n/a,match
222,65,1/16,182,12,1,n/a,match
223,69,1/16,182,12,0,n/a,match
224,64,1/16,183,12 1/16,1,n/a,ornamentation
225,62,1/16,184,12 1/8,1,n/a,ornamentation
226,60,1/16,185,12 3/16,1,n/a,ornamentation
227,62,1/32,186,12 1/4,1,n/a,match
228,60,1/32,187,12 9/32,0,n/a,ornamentation
229,62,1/32,188,12 5/16,0,n/a,ornamentation
230,64,1/32,189,12 11/32,0,n/a,ornamentation
231,65,1/32,190,12 3/8,0,n/a,ornamentation
232,64,1/32,191,12 13/32,0,n/a,ornamentation
233,65,1/32,192,12 7/16,0,n/a,ornamentation
234,67,1/32,193,12 15/32,0,n/a,ornamentation
235,53,1/16,194,12 1/2,3,n/a,match
236,62,1/16,194,12 1/2,1,0,repetition
237,69,1/16,194,12 1/2,0,0,repetition
238,67,1/16,195,12 9/16,1,n/a,ornamentation
239,65,1/16,196,12 5/8,1,3,adaptation
240,64,1/16,197,12 11/16,0,n/a,ornamentation
241,65,1/16,198,12 3/4,0,4,adaptation
242,67,1/16,199,12 13/16,0,n/a,ornamentation
243,69,1/16,200,12 7/8,0,1,adaptation
244,70,1/16,201,12 15/16,0,n/a,ornamentation
245,52,1/8,202,13,3,n/a,match
246,55,1/8,202,13,1,n/a,match
247,72,1/8,202,13,0,n/a,match
248,70,1/16,203,13 1/8,0,n/a,ornamentation
249,69,1/16,204,13 3/16,0,n/a,ornamentation
250,67,1/32,205,13 1/4,0,n/a,ornamentation
251,65,1/32,206,13 9/32,0,n/a,ornamentation
252,64,1/32,207,13 5/16,0,n/a,ornamentation
253,65,1/32,208,13 11/32,0,n/a,ornamentation
254,67,1/32,209,13 3/8,0,n/a,ornamentation
255,69,1/32,210,13 13/32,0,n/a,ornamentation
256,70,1/32,211,13 7/16,0,n/a,ornamentation
257,72,1/32,212,13 15/32,0,n/a,ornamentation
258,50,1/4,213,13 1/2,3,n/a,match
259,62,1/4,213,13 1/2,1,7,adaptation
260,74,1/4,213,13 1/2,0,n/a,match
261,50,1/16,214,13 3/4,2,n/a,ornamentation
262,52,1/16,215,13 13/16,2,n/a,ornamentation
263,53,1/32,216,13 7/8,2,0,repetition
264,52,1/32,217,13 29/32,3,n/a,ornamentation
265,53,1/32,218,13 15/16,3,n/a,ornamentation
266,55,1/32,219,13 31/32,3,n/a,ornamentation
267,57,1/16,220,14,3,n/a,match
268,60,1/16,220,14,1,n/a,match
269,72,1/16,220,14,0,2,adaptation
270,55,1/16,221,14 1/16,1,n/a,ornamentation
271,57,1/16,222,14 1/8,1,n/a,ornamentation
272,59,1/16,223,14 3/16,1,n/a,ornamentation
273,60,1/16,224,14 1/4,1,0,repetition
274,59,1/16,225,14 5/16,1,n/a,ornamentation
275,60,1/16,226,14 3/8,1,n/a,ornamentation
276,62,1/16,227,14 7/16,1,n/a,ornamentation
277,57,1/8,228,14 1/2,3,0,repetition
278,64,1/8,228,14 1/2,1,n/a,match
279,72,1/8,228,14 1/2,0,0,repetition
280,70,1/16,229,14 5/8,1,n/a,ornamentation
281,69,1/16,230,14 11/16,1,n/a,ornamentation
282,67,1/32,231,14 3/4,1,3,adaptation
283,65,1/32,232,14 25/32,1,n/a,ornamentation
284,64,1/32,233,14 13/16,1,n/a,ornamentation
285,65,1/32,234,14 27/32,1,n/a,ornamentation
286,67,1/32,235,14 7/8,1,2,adaptation
287,69,1/32,236,14 29/32,0,n/a,ornamentation
288,70,1/32,237,14 15/16,0,n/a,ornamentation
289,72,1/32,238,14 31/32,0,n/a,ornamentation
290,55,1/16,239,15,2 and 3,n/a,match
291,62,1/16,239,15,1,3,adaptation
292,70,1/16,239,15,0,n/a,match
293,69,1/16,240,15 1/16,0,n/a,ornamentation
294,70,1/16,241,15 1/8,0,n/a,ornamentation
295,72,1/16,242,15 3/16,0,n/a,ornamentation
296,70,1/8,243,15 1/4,0,n/a,ornamentation
297,69,1/8,244,15 3/8,0,n/a,match
298,55,1/16,245,15 1/2,3,0,repetition
