note,pitch,duration,onset,chord,bar,mapped voice,cost,category
0,57,1/2,0/96,0,1,3,n/a,match
1,57,1/2,1/2,1,1 1/2,1 and 3,n/a,match
2,57,1/4,1/1,2,2,3,0,repetition
3,60,1/4,1/1,2,2,1,n/a,match
4,55,1/8,5/4,3,2 1/4,3,n/a,match
5,62,1/8,5/4,3,2 1/4,1,n/a,match
6,53,1/8,11/8,4,2 3/8,3,n/a,match
7,55,1/4,3/2,5,2 1/2,3,n/a,match
8,64,1/4,3/2,5,2 1/2,1,n/a,match
9,57,1/4,7/4,6,2 3/4,3,n/a,match
10,50,1/16,2/1,7,3,3,n/a,match
11,62,1/16,2/1,7,3,2,n/a,match
12,65,1/16,2/1,7,3,1,n/a,match
13,64,1/16,33/16,8,3 1/16,1,n/a,ornamentation
14,65,1/16,17/8,9,3 1/8,1,n/a,ornamentation
15,67,1/16,35/16,10,3 3/16,1,n/a,ornamentation
16,65,1/8,9/4,11,3 1/4,1,n/a,ornamentation
17,67,1/8,19/8,12,3 3/8,1,n/a,ornamentation
18,50,1/8,5/2,13,3 1/2,3,0,repetition
19,62,1/8,5/2,13,3 1/2,0 and 2,n/a,match
20,65,1/8,5/2,13,3 1/2,1,0,repetition
21,64,1/8,21/8,14,3 5/8,1,n/a,ornamentation
22,65,1/16,11/4,15,3 3/4,1,0,repetition
23,64,1/16,45/16,16,3 13/16,1,n/a,ornamentation
24,62,1/16,23/8,17,3 7/8,1,n/a,match
25,60,1/16,47/16,18,3 15/16,1,n/a,ornamentation
26,62,1/4,3/1,19,4,1,n/a,match
27,65,1/4,3/1,19,4,0,n/a,match
28,60,1/8,13/4,20,4 1/4,2,n/a,match
29,67,1/8,13/4,20,4 1/4,0,n/a,match
30,59,1/8,27/8,21,4 3/8,2,n/a,match
31,60,1/4,7/2,22,4 1/2,2,n/a,match
32,69,1/4,7/2,22,4 1/2,0,n/a,match
33,62,1/4,15/4,23,4 3/4,2,n/a,match
34,55,3/16,4/1,24,5,2 and 3,n/a,match
35,62,3/16,4/1,24,5,1,n/a,match
36,70,3/16,4/1,24,5,0,n/a,match
37,69,1/16,67/16,25,5 3/16,0,n/a,ornamentation
38,67,1/16,17/4,26,5 1/4,0,n/a,ornamentation
39,65,1/16,69/16,27,5 5/16,0,n/a,ornamentation
40,64,1/32,35/8,28,5 3/8,0,n/a,ornamentation
41,65,1/32,141/32,29,5 13/32,0,n/a,ornamentation
42,67,1/32,71/16,30,5 7/16,0,n/a,ornamentation
43,69,1/32,143/32,31,5 15/32,0,n/a,ornamentation
44,55,1/8,9/2,32,5 1/2,3,n/a,match
45,62,1/8,9/2,32,5 1/2,1,n/a,match
46,70,1/8,9/2,32,5 1/2,0,0,repetition
47,69,1/8,37/8,33,5 5/8,0,n/a,ornamentation
48,70,1/16,19/4,34,5 3/4,0,0,repetition
49,69,1/16,77/16,35,5 13/16,0,n/a,ornamentation
50,67,1/16,39/8,36,5 7/8,0,n/a,match
51,65,1/16,79/16,37,5 15/16,0,n/a,ornamentation
52,55,1/8,5/1,38,6,3,n/a,match
53,59,1/8,5/1,38,6,1,n/a,match
54,67,1/8,5/1,38,6,0,n/a,match
55,65,1/8,41/8,39,6 1/8,1,n/a,ornamentation
56,55,1/8,21/4,40,6 1/4,3,0,repetition
57,64,1/8,21/4,40,6 1/4,1,n/a,match
58,67,1/8,43/8,41,6 3/8,3,n/a,ornamentation
59,53,1/16,11/2,42,6 1/2,3,n/a,match
60,64,1/16,89/16,43,6 9/16,1,n/a,ornamentation
61,62,1/16,45/8,44,6 5/8,1,n/a,ornamentation
62,60,1/16,91/16,45,6 11/16,1,n/a,ornamentation
63,64,1/16,23/4,46,6 3/4,1,0,repetition
64,62,1/16,93/16,47,6 13/16,2,n/a,ornamentation
65,60,1/16,47/8,48,6 7/8,2,n/a,ornamentation
66,62,1/16,95/16,49,6 15/16,2,n/a,ornamentation
67,52,1/2,6/1,50,7,3,n/a,match
68,60,1/2,6/1,50,7,2,n/a,match
69,67,1/2,6/1,50,7,0,n/a,match
70,52,1/4,13/2,51,7 1/2,3,0,repetition
71,60,1/4,13/2,51,7 1/2,2,n/a,match
72,67,1/4,13/2,51,7 1/2,0,n/a,match
73,60,1/4,27/4,52,7 3/4,2,n/a,match
74,67,1/4,27/4,52,7 3/4,0,n/a,match
75,60,1/4,7/1,53,8,2,n/a,match
76,64,1/4,7/1,53,8,0,n/a,match
77,69,1/4,29/4,54,8 1/4,0,n/a,match
78,52,1/8,15/2,55,8 1/2,3,n/a,match
79,59,1/8,15/2,55,8 1/2,2,n/a,match
80,69,1/8,15/2,55,8 1/2,0,0,repetition
81,68,1/8,61/8,56,8 5/8,0,n/a,ornamentation
82,69,1/16,31/4,57,8 3/4,0,0,repetition
83,68,1/16,125/16,58,8 13/16,0,n/a,ornamentation
84,66,1/16,63/8,59,8 7/8,0,n/a,ornamentation
85,68,1/16,127/16,60,8 15/16,0,n/a,ornamentation
86,53,1/2,8/1,61,9,3,n/a,match
87,57,1/2,8/1,61,9,2,n/a,match
88,69,1/2,8/1,61,9,0,n/a,match
89,53,1/4,17/2,62,9 1/2,3,n/a,match
90,62,1/4,17/2,62,9 1/2,1,n/a,match
91,57,1/4,35/4,63,9 3/4,2,n/a,match
92,69,1/4,35/4,63,9 3/4,0,n/a,match
93,52,1/2,9/1,64,10,3,n/a,match
94,60,1/2,9/1,64,10,2,n/a,match
95,67,1/2,9/1,64,10,0,n/a,match
96,59,1/4,19/2,65,10 1/2,2,n/a,match
97,62,1/4,19/2,65,10 1/2,1,n/a,match
98,67,1/4,19/2,65,10 1/2,0,n/a,match
99,52,1/4,39/4,66,10 3/4,3,n/a,match
100,64,1/4,39/4,66,10 3/4,1,n/a,match
101,53,3/16,10/1,67,11,3,n/a,match
102,57,3/16,10/1,67,11,2,n/a,match
103,69,3/16,10/1,67,11,0,n/a,match
104,67,1/16,163/16,68,11 3/16,0,n/a,ornamentation
105,65,1/16,41/4,69,11 1/4,0,n/a,ornamentation
106,64,1/16,165/16,70,11 5/16,0,n/a,ornamentation
107,62,1/32,83/8,71,11 3/8,0,n/a,ornamentation
108,64,1/32,333/32,72,11 13/32,0,n/a,ornamentation
109,65,1/32,167/16,73,11 7/16,0,n/a,ornamentation
110,67,1/32,335/32,74,11 15/32,0,n/a,ornamentation
111,53,1/4,21/2,75,11 1/2,3,0,repetition
112,57,1/4,21/2,75,11 1/2,2,0,repetition
113,69,1/4,21/2,75,11 1/2,0,0,repetition
114,52,1/4,43/4,76,11 3/4,3,n/a,match
115,60,1/4,43/4,76,11 3/4,1,n/a,match
116,67,1/4,43/4,76,11 3/4,0,n/a,match
117,50,1/4,11/1,77,12,3,n/a,match
118,62,1/4,11/1,77,12,1,n/a,match
119,65,1/4,11/1,77,12,0,n/a,match
120,48,1/4,45/4,78,12 1/4,3,n/a,match
121,64,1/4,45/4,78,12 1/4,0,n/a,match
122,47,1/4,23/2,79,12 1/2,3,n/a,match
123,62,1/4,23/2,79,12 1/2,0 and 1,n/a,match
124,64,1/16,47/4,80,12 3/4,0,n/a,ornamentation
125,62,1/16,189/16,81,12 13/16,0,n/a,ornamentation
126,60,1/16,95/8,82,12 7/8,0,n/a,ornamentation
127,62,1/16,191/16,83,12 15/16,0,n/a,ornamentation
128,45,1/16,12/1,84,13,3,n/a,match
129,60,1/16,12/1,84,13,0,n/a,match
130,64,1/16,12/1,84,13,1,n/a,match
131,59,1/16,193/16,85,13 1/16,0,n/a,ornamentation
132,60,1/16,97/8,86,13 1/8,0,n/a,ornamentation
133,62,1/16,195/16,87,13 3/16,0,n/a,ornamentation
134,60,1/8,49/4,88,13 1/4,0,n/a,ornamentation
135,62,1/8,99/8,89,13 3/8,0,n/a,match
136,45,1/4,25/2,90,13 1/2,3,0,repetition
137,60,1/4,25/2,90,13 1/2,1,n/a,match
138,64,1/4,25/2,90,13 1/2,0,n/a,match
139,65,1/16,51/4,91,13 3/4,0,n/a,match
140,62,1/16,205/16,92,13 13/16,1,n/a,ornamentation
141,64,1/16,103/8,93,13 7/8,1,n/a,ornamentation
142,65,1/16,207/16,94,13 15/16,1,n/a,ornamentation
143,55,1/4,13/1,95,14,3,10,adaptation
144,59,1/4,13/1,95,14,2,n/a,ficta
145,62,1/4,13/1,95,14,1,n/a,match
146,64,1/8,53/4,96,14 1/4,0,n/a,match
147,62,1/8,107/8,97,14 3/8,0,n/a,match
148,59,1/4,27/2,98,14 1/2,2,1,adaptation
149,62,1/4,27/2,98,14 1/2,1,0,repetition
150,67,1/4,27/2,98,14 1/2,0,n/a,match
151,57,1/4,55/4,99,14 3/4,2,n/a,match
152,60,1/4,55/4,99,14 3/4,1,n/a,match
153,65,1/4,55/4,99,14 3/4,0,2,adaptation
154,55,1/8,14/1,100,15,2,n/a,match
155,59,1/8,14/1,100,15,1,n/a,match
156,64,1/8,14/1,100,15,0,n/a,match
157,62,1/8,113/8,101,15 1/8,0,n/a,match
158,53,1/16,57/4,102,15 1/4,2,n/a,match
159,64,1/16,57/4,102,15 1/4,0,2,adaptation
