ornament,voice,bar,pitch
S -1 S 1 S 2 S -2 E 2 E -2 E,1,3 1/16,64
E -1 E,1,3 5/8,64
S -1 S,1,3 13/16,64
S -2 S,1,3 15/16,60
E. -1 S -2 S -2 S -1 T 1 T 2 T 2 T 1 E,0,5 3/16,69
E -1 E,0,5 5/8,69
S -1 S,0,5 13/16,69
S -2 S,0,5 15/16,65
E 6 E,1,6 1/8,65
E 12 E,3,6 3/8,67
R 0 S -2 S -2 S 4 S,1,6 9/16,64
R 0 S -2 S 2 S -2 H,2,6 13/16,62
E -1 E,0,8 5/8,68
S -1 S -2 S 2 S 1 H,0,8 13/16,68
E. -2 S -2 S -1 S -2 T 2 T 1 T 2 T 2 Q,0,11 3/16,67
Q 2 S -2 S -2 S 2 S -2 S,0,12 3/4,64
S -1 S 1 S 2 S -2 E 2 E,0,13 1/16,59
R 0 S 2 S 1 S -3 Q,1,13 13/16,62
S 9 S -2 S 2 S -10 S,2,15 5/16,62
R 0 S -1 S -2 S 3 S,0,15 9/16,62
S -1 S -2 S 2 S 1 Q,0,15 13/16,61
Q 0 E,0,16 1/4,62
S -1 S,0,16 9/16,64
S 2 S,0,16 11/16,67
S -2 S 2 S 1 S -1 E,0,16 13/16,67
E -2 S -1 S 1 S,0,17 5/8,70
S -1 S,0,17 13/16,69
T -1 T -2 T -2 T 2 H,0,17 29/32,69
S -2 S,3,20 9/16,55
R 0 S,2,20 11/16,59
R 0 S,1,20 13/16,62
R 0 T 2 T 2 T 2 Q,0,20 29/32,65
Q 1 S -1 S 1 T -1 T -2 T -2 T 2 Q,2,24 1/4,65
S -2 S,3,24 13/16,55
S -1 S,3,24 15/16,52
R 0 S,0,28 9/16,69
S -2 S,0,28 11/16,66
S 1 S,0,28 13/16,69
S 2 S,0,28 15/16,68
E -2 E,0,31 1/8,62
S -2 S,0,31 5/16,62
R 0 S,2,31 7/16,62
R 0 S,0,31 9/16,62
S -2 S,0,31 11/16,59
S -1 S,0,31 13/16,61
T -1 T -2 T 2 T 1 H,0,31 29/32,61
Q 2 S -2 S -1 S 1 S -1 H,1,33 1/4,62
E. -2 S -2 S -1 S 1 T 2 T 2 T 2 T 1 E,0,34 3/16,67
E -1 E -2 E 3 E -1 Q,0,34 5/8,71
E -1 E -2 E 3 E -1 Q,1,36 5/8,59
R 0 S 2 T -2 T -1 T -2 T 2 Q,1,38 13/16,60
E 2 E 1 S -1 S 1 S 2 S -2 E,3,39 5/8,52
E 4 E,3,40 1/8,57
S -2 S -1 S -2 S 2 Q,3,40 5/16,53
Q 2 S -2 S -1 S 1 S -1 H,1,40 3/4,62
E. -2 S -2 S -1 S 1 T 2 T 2 T 2 T 1 E,0,41 11/16,67
E -1 E -2 E 3 E -1 Q,0,42 1/8,71
Q 1 S -1 S -2 S 2 S -2 E,0,42 3/4,72
R 0 E,1,43 1/8,60
R 0 S -1 S -2 S 2 S,2,45 13/16,60
S -1 S 1 S 2 S -2 E,0,46 1/16,66
R 0 S -1 S -2 S 3 E,0,47 9/16,69
E -1 E,0,47 7/8,68
R 0 E,1,48 1/4,60
S -1 S,1,49 9/16,52
S 2 S,1,49 11/16,55
R 0 S,2,49 13/16,55
R 0 S,1,49 15/16,59
S -1 S 1 S 2 S 2 S,0,51 1/16,59
R 0 S,1,51 5/16,62
R 0 S,0,51 7/16,65
S -2 S,2,52 5/16,53
S -2 S,2,52 7/16,50
E -1 S -2 S 2 E,0,52 5/8,61
E 1 T -1 T -2 T 2 T 1 Q,0,52 7/8,62
R 0 S 2 S 2 S 3 S,0,53 9/16,60
S -2 S 2 T -2 T -1 T 1 T 2 Q,0,53 13/16,65
E 2 E 1 E -3 E -2 Q,1,54 5/8,59
Q 0 E 1 E 0 Q,2,56 3/4,59
S -2 S,1,57 5/16,55
S 2 S,1,57 7/16,59
R 0 S,2,57 9/16,59
R 0 S,1,57 11/16,62
E -2 E,1,58 1/8,62
S -2 S 2 S -2 S 0 E,1,58 5/16,62
E -1 S -2 S 3 S,1,58 5/8,61
S -1 S 1 T -1 T -2 T 2 T 1 Q,1,58 13/16,61
R 0 S,1,59 5/16,60
R 0 S,0,59 7/16,64
S -1 S,0,59 9/16,64
S 2 S,0,59 11/16,67
E -2 E,0,60 1/8,67
R 0 S -1 S 1 S -10 S,2,60 5/16,67
R 0 S -1 S -2 S 3 S,0,60 9/16,67
S -1 S 1 T -1 T -2 T 2 T 1 H,0,60 13/16,66
Q 0 E,1,63 1/4,62
E -2 E,1,65 1/8,57
E -1 E,2,67 1/8,52
E 3 E,2,67 3/8,53
R 0 S -1 S -2 S 3 S,0,67 9/16,62
S -1 S -2 S 2 S 1 H,0,67 13/16,61
S -1 S -2 S 2 S -2 Q,3,68 13/16,57
E -2 E,1,70 1/8,57
R 0 E,1,70 5/8,56
S -1 S -1 S 1 S 1 Q,1,70 13/16,56
E -2 E,0,72 1/8,62
S 12 S -1 S 1 S -10 S,2,72 5/16,62
R 0 S -1 S -2 S 3 S,0,72 9/16,62
S -1 S 1 T -1 T -2 T 2 T 1 H,0,72 13/16,61
H -3 S -1 S 1 S 2 S 1 S -1 S -2 T 2 T 1 T 2 T -2 W,2,73 1/2,62
