note,pitch,duration,onset,chord,bar,mapped voice,cost,category
0,67,1/2,0/96,0,1,1,n/a,match
1,67,3/16,1/2,1,1 1/2,1,0,repetition
2,66,1/16,11/16,2,1 11/16,1,n/a,ornamentation
3,67,1/16,3/4,3,1 3/4,1,0,repetition
4,66,1/16,13/16,4,1 13/16,1,n/a,ornamentation
5,67,1/32,7/8,5,1 7/8,1,n/a,ornamentation
6,66,1/32,29/32,6,1 29/32,1,n/a,ornamentation
7,64,1/32,15/16,7,1 15/16,1,n/a,ornamentation
8,66,1/32,31/32,8,1 31/32,1,n/a,ornamentation
9,67,1/4,1/1,9,1 1/1,1,n/a,match
10,69,1/4,5/4,10,1 5/4,1,n/a,match
11,65,1/4,3/2,11,2,1,n/a,match
12,74,1/4,3/2,11,2,0,n/a,match
13,67,1/4,7/4,12,2 1/4,1,n/a,match
14,67,1/8,2/1,13,2 1/2,1,0,repetition
15,74,1/8,2/1,13,2 1/2,0,0,repetition
16,65,1/8,17/8,14,2 5/8,1,n/a,match
17,64,1/16,9/4,15,2 3/4,1,n/a,match
18,74,1/16,9/4,15,2 3/4,0,0,repetition
19,72,1/16,37/16,16,2 13/16,0,n/a,ornamentation
20,74,1/32,19/8,17,2 7/8,0,n/a,ornamentation
21,72,1/32,77/32,18,2 29/32,0,n/a,ornamentation
22,71,1/32,39/16,19,2 15/16,0,n/a,ornamentation
23,72,1/32,79/32,20,2 31/32,0,n/a,ornamentation
24,62,1/4,5/2,21,2 1/1,1,n/a,match
25,74,1/4,5/2,21,2 1/1,0,n/a,match
26,60,1/4,11/4,22,2 5/4,1,n/a,match
27,76,1/4,11/4,22,2 5/4,0,n/a,match
28,60,1/8,3/1,23,3,1,0,repetition
29,72,1/8,3/1,23,3,0,n/a,match
30,62,1/8,25/8,24,3 1/8,1,n/a,match
31,64,1/16,13/4,25,3 1/4,1,n/a,match
32,72,1/16,13/4,25,3 1/4,0,0,repetition
33,71,1/16,53/16,26,3 5/16,0,n/a,ornamentation
34,72,1/32,27/8,27,3 3/8,0,0,repetition
35,71,1/32,109/32,28,3 13/32,0,n/a,ornamentation
36,69,1/32,55/16,29,3 7/16,0,n/a,ornamentation
37,67,1/32,111/32,30,3 15/32,0,n/a,ornamentation
38,65,1/8,7/2,31,3 1/2,1,n/a,match
39,69,1/8,7/2,31,3 1/2,0,n/a,match
40,67,1/8,29/8,32,3 5/8,0,n/a,ornamentation
41,69,1/16,15/4,33,3 3/4,0,0,repetition
42,67,1/16,61/16,34,3 13/16,1,n/a,ornamentation
43,66,1/16,31/8,35,3 7/8,1,n/a,ornamentation
44,67,1/16,63/16,36,3 15/16,1,n/a,ornamentation
45,67,1/8,4/1,37,3 1/1,1,0,repetition
46,69,1/8,4/1,37,3 1/1,0,n/a,match
47,66,1/16,33/8,38,3 9/8,1,n/a,match
48,64,1/16,67/16,39,3 19/16,1,n/a,ornamentation
49,67,1/16,17/4,40,3 5/4,1,1,adaptation
50,66,1/16,69/16,41,3 21/16,1,n/a,ornamentation
51,67,1/32,35/8,42,3 11/8,1,1,adaptation
52,66,1/32,141/32,43,3 45/32,1,n/a,ornamentation
53,64,1/32,71/16,44,3 23/16,1,n/a,ornamentation
54,66,1/32,143/32,45,3 47/32,1,n/a,ornamentation
55,55,1/4,9/2,46,4,3,n/a,match
56,67,1/4,9/2,46,4,0 and 1,n/a,match
57,67,1/8,19/4,47,4 1/4,1,0,repetition
58,71,1/8,19/4,47,4 1/4,0,n/a,match
59,65,1/8,39/8,48,4 3/8,1,n/a,match
60,55,1/16,5/1,49,4 1/2,3,0,repetition
61,62,1/16,5/1,49,4 1/2,1,n/a,match
62,71,1/16,5/1,49,4 1/2,0,0,repetition
63,69,1/16,81/16,50,4 9/16,0,n/a,ornamentation
64,71,1/16,41/8,51,4 5/8,0,0,repetition
65,72,1/16,83/16,52,4 11/16,0,n/a,ornamentation
66,53,1/4,21/4,53,4 3/4,3,n/a,match
67,65,1/4,21/4,53,4 3/4,1,n/a,match
68,74,1/4,21/4,53,4 3/4,0,n/a,match
69,55,1/4,11/2,54,4 1/1,3,n/a,match
70,64,1/4,11/2,54,4 1/1,1,n/a,match
71,57,1/4,23/4,55,4 5/4,3,n/a,match
72,73,1/4,23/4,55,4 5/4,0,n/a,match
73,53,1/4,6/1,56,5,3,n/a,match
74,62,1/4,6/1,56,5,1 and 2,n/a,match
75,74,1/4,6/1,56,5,0,n/a,match
76,55,1/4,25/4,57,5 1/4,3,n/a,match
77,55,1/8,13/2,58,5 1/2,3,0,repetition
78,62,1/8,13/2,58,5 1/2,2,0,repetition
79,53,1/8,53/8,59,5 5/8,3,n/a,match
80,52,1/4,27/4,60,5 3/4,3,n/a,match
81,60,1/4,27/4,60,5 3/4,2,n/a,match
82,50,1/4,7/1,61,5 1/1,3,n/a,match
83,62,1/4,7/1,61,5 1/1,2,n/a,match
84,48,1/4,29/4,62,5 5/4,3,n/a,match
85,64,1/4,29/4,62,5 5/4,2,n/a,match
86,48,1/8,15/2,63,6,3,0,repetition
87,60,1/8,15/2,63,6,2,n/a,match
88,50,1/8,61/8,64,6 1/8,3,n/a,match
89,52,1/8,31/4,65,6 1/4,3,n/a,match
90,60,1/8,31/4,65,6 1/4,2,0,repetition
91,59,1/8,63/8,66,6 3/8,2,n/a,match
92,53,1/8,8/1,67,6 1/2,3,n/a,match
