ornament,voice,bar,pitch
E. -1 S,1,1 11/16,66
S -1 S 1 T -1 T -2 T 2 T 1 Q,1,1 13/16,66
S -2 S 2 T -2 T -1 T 1 T 2 Q,0,2 13/16,72
S -1 S,0,3 5/16,71
T -1 T -2 T -2 T 2 E,0,3 13/32,71
E -2 E,0,3 5/8,67
R 0 S -1 S 1 S 0 E,1,3 13/16,67
S -2 S,1,3 19/16,64
S -1 S,1,3 21/16,66
T -1 T -2 T 2 T 1 Q,1,3 45/32,66
S -2 S,0,4 9/16,69
S 1 S,0,4 11/16,72
E -2 E,2,6 5/8,55
S -2 S -1 S 1 S 2 S,2,6 13/16,55
S -2 S,2,6 17/16,55
R 0 T -1 T -2 T 3 S,3,6 37/32,55
S -1 S,3,6 21/16,54
S 2 S,3,6 23/16,54
T -2 T -2 T -1 T 1 T 2 T 2 T 2 T 1 E,1,7 9/32,62
E 2 T -1 T -2 T 2 T 1 H,1,7 11/8,67
S -2 S 2 S 1 S -1 E,0,10 5/16,74
R 0 S -1 S 1 S -10 S,1,10 13/16,74
R 0 S -1 S -2 S 3 S,0,10 17/16,74
S -1 S -2 S 2 S 1 H,0,10 21/16,73
E 11 S 1 S 2 S -2 S -1 S 1 S -10 S,3,12 5/8,66
R 0 S -1 S -2 S 3 S,2,12 17/16,67
S -1 S 1 T -1 T -2 T 2 T 1 Q,2,12 21/16,66
S -1 S -2 S 2 S 1 S,2,13 9/16,64
S -1 S 1 S 2 S -2 E,2,13 13/16,64
R 0 S -1 S 1 S 2 S,2,14 1/16,62
S -2 S 2 S 2 S -2 E,2,14 5/16,62
R 0 S -1 S 1 S -10 S,3,14 13/16,62
R 0 S -1 S -2 S 3 S,2,14 17/16,62
S -1 S 1 T -1 T -2 T 2 T 1 Q,2,14 21/16,61
S -1 S -2 S 2 S 1 Q,0,15 9/16,71
R 0 S 2 S 2 S -2 E,2,16 1/16,53
R 0 E,3,16 3/8,53
E 3 E,3,16 5/8,55
S -2 S -1 S 1 S -1 E,3,16 17/16,53
S -2 S -1 S 1 S -3 S,1,17 5/16,67
S 1 S 2 T -2 T 2 T -3 T 1 Q,1,17 9/16,65
E -1 S 1 S 2 S,1,17 9/8,64
S -2 S,1,17 21/16,65
T -2 T -1 T -2 T -2 S,1,17 45/32,65
R 0 S 2 S 1 S -1 E,2,18 1/16,55
R 0 E,3,18 3/8,55
S -2 S -1 S 1 S 2 Q,3,18 9/16,53
E. 5 S,2,19 3/16,67
S -1 S -2 S -2 S -1 T,2,19 5/16,64
R 0 T 2 T 2 T 3 T -1 T -2 T 2 T 1 Q,0,19 17/32,60
S -1 S,1,19 21/16,64
T -3 T -2 T -2 T 2 Q,1,19 45/32,64
S -1 S,2,25 17/16,61
R 0 S,0,25 19/16,64
S -1 S,0,25 21/16,64
S 1 S,0,25 23/16,67
S -2 S,0,26 1/16,67
S 2 S,0,26 3/16,71
S 12 S -1 S 1 S -10 S,2,26 13/16,67
R 0 S,0,26 17/16,67
S -2 S,0,26 19/16,64
S -1 S,0,26 21/16,66
T -1 T -2 T 2 T 1 H.,0,26 45/32,66
H. 12 S -1 S -2 S -2 S -2 S -1 S 1 S 2 S 2 S -2 S -2 T -1 T -2 T -2 T 0 H,3,27 3/4,67
