note,pitch,duration,onset,chord,bar,mapped voice,cost,category
0,55,1/2,0/96,0,1,3,n/a,match
1,58,1/4,1/2,1,1 1/2,3,n/a,match
2,58,1/16,3/4,2,1 3/4,3,n/a,ornamentation
3,57,1/16,13/16,3,1 13/16,3,n/a,ornamentation
4,58,1/16,7/8,4,1 7/8,3,n/a,ornamentation
5,60,1/16,15/16,5,1 15/16,3,n/a,ornamentation
6,58,1/2,1/1,6,2,3,0,repetition
7,58,1/2,3/2,7,2 1/2,3,n/a,match
8,57,1/4,2/1,8,3,3,n/a,match
9,58,1/4,9/4,9,3 1/4,3,n/a,match
10,58,1/4,5/2,10,3 1/2,3,0,repetition
11,62,1/4,5/2,10,3 1/2,1,n/a,match
12,60,1/16,11/4,11,3 3/4,3,2,adaptation
13,58,1/16,45/16,12,3 13/16,1,n/a,ornamentation
14,60,1/32,23/8,13,3 7/8,1,2,adaptation
15,58,1/32,93/32,14,3 29/32,3,n/a,ornamentation
16,57,1/32,47/16,15,3 15/16,3,n/a,ornamentation
17,55,1/32,95/32,16,3 31/32,3,n/a,ornamentation
18,53,3/16,3/1,17,4,3,n/a,match
19,65,3/16,3/1,17,4,1,n/a,match
20,64,1/16,51/16,18,4 3/16,3,n/a,ornamentation
21,62,1/16,13/4,19,4 1/4,3,n/a,ornamentation
22,60,1/16,53/16,20,4 5/16,3,n/a,ornamentation
23,58,1/32,27/8,21,4 3/8,3,5,adaptation
24,60,1/32,109/32,22,4 13/32,1,n/a,ornamentation
25,62,1/32,55/16,23,4 7/16,1,n/a,ornamentation
26,64,1/32,111/32,24,4 15/32,1,n/a,ornamentation
27,53,1/4,7/2,25,4 1/2,3,0,repetition
28,65,1/4,7/2,25,4 1/2,1,n/a,match
29,55,1/16,15/4,26,4 3/4,3,2,adaptation
30,53,1/16,61/16,27,4 13/16,3,n/a,ornamentation
31,55,1/32,31/8,28,4 7/8,3,3,adaptation
32,53,1/32,125/32,29,4 29/32,3,n/a,ornamentation
33,51,1/32,63/16,30,4 15/16,3,n/a,ornamentation
34,50,1/32,127/32,31,4 31/32,3,n/a,ornamentation
35,48,1/16,4/1,32,5,3,n/a,match
36,65,1/16,4/1,32,5,1,0,repetition
37,64,1/16,65/16,33,5 1/16,1,n/a,ornamentation
38,62,1/16,33/8,34,5 1/8,1,n/a,ornamentation
39,64,1/16,67/16,35,5 3/16,1,n/a,ornamentation
40,46,1/4,17/4,36,5 1/4,3,n/a,match
41,65,1/4,17/4,36,5 1/4,1,n/a,match
42,53,1/8,9/2,37,5 1/2,3,n/a,match
43,65,1/8,37/8,38,5 5/8,1,n/a,ornamentation
44,64,1/8,19/4,39,5 3/4,1,n/a,match
45,62,1/8,39/8,40,5 7/8,1,n/a,match
46,53,1/4,5/1,41,6,3,0,repetition
47,60,1/4,5/1,41,6,1,n/a,match
48,55,1/16,21/4,42,6 1/4,3,2,adaptation
49,53,1/16,85/16,43,6 5/16,3,n/a,ornamentation
50,51,1/16,43/8,44,6 3/8,3,1,adaptation
51,50,1/16,87/16,45,6 7/16,3,n/a,ornamentation
52,48,3/16,11/2,46,6 1/2,3,n/a,match
53,60,3/16,11/2,46,6 1/2,1,0,repetition
54,67,3/16,11/2,46,6 1/2,0,n/a,match
55,65,1/16,91/16,47,6 11/16,0,n/a,ornamentation
56,64,1/16,23/4,48,6 3/4,0,n/a,ornamentation
57,62,1/16,93/16,49,6 13/16,0,n/a,ornamentation
58,64,1/32,47/8,50,6 7/8,0,n/a,ornamentation
59,65,1/32,189/32,51,6 29/32,0,n/a,ornamentation
60,67,1/32,95/16,52,6 15/16,0,n/a,ornamentation
61,69,1/32,191/32,53,6 31/32,0,n/a,ornamentation
62,46,1/4,6/1,54,7,3,n/a,match
63,58,1/4,6/1,54,7,1,2,adaptation
64,70,1/4,6/1,54,7,0,n/a,match
65,58,1/8,25/4,55,7 1/4,3,n/a,match
66,70,1/8,51/8,56,7 3/8,0,n/a,match
67,58,1/4,13/2,57,7 1/2,3,0,repetition
68,62,1/4,13/2,57,7 1/2,1,n/a,match
69,70,1/4,13/2,57,7 1/2,0,n/a,match
70,72,1/16,27/4,58,7 3/4,0,2,adaptation
71,70,1/16,109/16,59,7 13/16,0,n/a,ornamentation
72,72,1/32,55/8,60,7 7/8,0,2,adaptation
73,70,1/32,221/32,61,7 29/32,0,n/a,ornamentation
74,69,1/32,111/16,62,7 15/16,0,n/a,ornamentation
75,67,1/32,223/32,63,7 31/32,0,n/a,ornamentation
76,53,1/16,7/1,64,8,3,n/a,match
77,60,1/16,7/1,64,8,1,2,adaptation
78,70,1/16,7/1,64,8,0,0,repetition
79,69,1/16,113/16,65,8 1/16,1,n/a,ornamentation
80,67,1/16,57/8,66,8 1/8,1,2,adaptation
81,69,1/16,115/16,67,8 3/16,0,n/a,ornamentation
82,55,1/4,29/4,68,8 1/4,3,n/a,match
83,62,1/4,29/4,68,8 1/4,1,n/a,match
84,70,1/4,29/4,68,8 1/4,0,n/a,match
85,55,1/8,15/2,69,8 1/2,2,n/a,match
86,58,1/8,15/2,69,8 1/2,1,n/a,match
87,70,1/8,61/8,70,8 5/8,0,n/a,ornamentation
88,53,1/8,31/4,71,8 3/4,3,n/a,match
89,60,1/8,31/4,71,8 3/4,1,n/a,match
90,69,1/8,31/4,71,8 3/4,0,n/a,match
91,51,1/8,63/8,72,8 7/8,3,n/a,ficta
92,67,1/8,63/8,72,8 7/8,0,n/a,match
93,50,1/4,8/1,73,9,3,n/a,match
94,58,1/4,8/1,73,9,2,n/a,match
95,65,1/4,8/1,73,9,0,n/a,match
96,46,1/8,33/4,74,9 1/4,3,n/a,match
97,58,1/8,33/4,74,9 1/4,2,0,repetition
98,58,1/8,67/8,75,9 3/8,2,n/a,match
99,46,1/4,17/2,76,9 1/2,3,0,repetition
100,58,1/4,17/2,76,9 1/2,2,n/a,match
101,65,1/4,17/2,76,9 1/2,0,0,repetition
102,45,1/8,35/4,77,9 3/4,3,n/a,match
103,62,1/8,35/4,77,9 3/4,1,n/a,match
104,67,1/8,35/4,77,9 3/4,0,n/a,match
105,43,1/8,71/8,78,9 7/8,3,n/a,match
106,50,1/16,9/1,79,10,3,n/a,match
107,57,1/16,9/1,79,10,2,n/a,match
108,69,1/16,9/1,79,10,0,n/a,match
109,67,1/16,145/16,80,10 1/16,1,n/a,ornamentation
110,65,1/16,73/8,81,10 1/8,1,n/a,ornamentation
111,64,1/16,147/16,82,10 3/16,1,n/a,ornamentation
112,62,1/16,37/4,83,10 1/4,1,3,adaptation
113,64,1/16,149/16,84,10 5/16,0,n/a,ornamentation
114,65,1/32,75/8,85,10 3/8,0,n/a,ornamentation
115,67,1/32,301/32,86,10 13/32,0,n/a,ornamentation
116,69,1/32,151/16,87,10 7/16,0,n/a,ornamentation
117,70,1/32,303/32,88,10 15/32,0,n/a,ornamentation
118,58,1/4,19/2,89,10 1/2,2,0,repetition
119,70,1/4,19/2,89,10 1/2,0,n/a,match
120,43,1/16,39/4,90,10 3/4,3,n/a,match
121,60,1/16,39/4,90,10 3/4,2,2,adaptation
122,58,1/16,157/16,91,10 13/16,1,n/a,ornamentation
123,60,1/32,79/8,92,10 7/8,1,2,adaptation
124,58,1/32,317/32,93,10 29/32,2,n/a,ornamentation
125,57,1/32,159/16,94,10 15/16,2,n/a,ornamentation
126,55,1/32,319/32,95,10 31/32,2,n/a,ornamentation
127,50,1/4,10/1,96,11,3,n/a,match
128,57,1/4,10/1,96,11,2,2,adaptation
129,65,1/4,10/1,96,11,1,n/a,match
130,67,1/16,41/4,97,11 1/4,1,2,adaptation
131,65,1/16,165/16,98,11 5/16,0,n/a,ornamentation
132,67,1/16,83/8,99,11 3/8,0,n/a,ornamentation
133,69,1/16,167/16,100,11 7/16,0,n/a,ornamentation
134,70,1/4,21/2,101,11 1/2,0,n/a,match
135,55,1/16,43/4,102,11 3/4,2,n/a,match
136,62,1/16,43/4,102,11 3/4,1,n/a,match
137,60,1/16,173/16,103,11 13/16,1,n/a,ornamentation
138,62,1/16,87/8,104,11 7/8,1,n/a,ornamentation
139,64,1/16,175/16,105,11 15/16,1,n/a,ornamentation
140,50,1/16,11/1,106,12,3,n/a,match
141,57,1/16,11/1,106,12,2,n/a,match
142,65,1/16,11/1,106,12,1,n/a,match
143,64,1/16,177/16,107,12 1/16,1,n/a,ornamentation
144,65,1/16,89/8,108,12 1/8,1,n/a,ornamentation
145,67,1/16,179/16,109,12 3/16,1,n/a,ornamentation
146,53,1/8,45/4,110,12 1/4,2,n/a,match
147,65,1/8,45/4,110,12 1/4,1,0,repetition
148,64,1/8,91/8,111,12 3/8,1,n/a,match
149,55,1/16,23/2,112,12 1/2,3,n/a,match
150,58,1/16,23/2,112,12 1/2,2,n/a,match
151,62,1/16,23/2,112,12 1/2,1,n/a,match
152,60,1/16,185/16,113,12 9/16,2,n/a,ornamentation
153,58,1/16,93/8,114,12 5/8,2,0,repetition
154,57,1/16,187/16,115,12 11/16,2,n/a,ornamentation
155,58,1/16,47/4,116,12 3/4,2,0,repetition
156,62,1/16,47/4,116,12 3/4,1,n/a,match
157,67,1/16,47/4,116,12 3/4,0,n/a,match
158,65,1/16,189/16,117,12 13/16,0,n/a,ornamentation
159,67,1/16,95/8,118,12 7/8,0,n/a,ornamentation
160,69,1/16,191/16,119,12 15/16,0,n/a,ornamentation
161,58,1/16,12/1,120,13,1,n/a,match
162,70,1/16,12/1,120,13,0,n/a,match
163,57,1/16,193/16,121,13 1/16,2,n/a,ornamentation
164,58,1/16,97/8,122,13 1/8,2,0,repetition
165,60,1/16,195/16,123,13 3/16,1,n/a,ornamentation
166,62,1/32,49/4,124,13 1/4,1,n/a,match
167,60,1/32,393/32,125,13 9/32,1,n/a,ornamentation
168,62,1/32,197/16,126,13 5/16,1,n/a,ornamentation
169,64,1/32,395/32,127,13 11/32,1,n/a,ornamentation
170,65,1/32,99/8,128,13 3/8,1,3,adaptation
171,64,1/32,397/32,129,13 13/32,1,n/a,ornamentation
172,65,1/32,199/16,130,13 7/16,1,n/a,ornamentation
173,67,1/32,399/32,131,13 15/32,1,n/a,ornamentation
174,50,1/4,25/2,132,13 1/2,3,n/a,match
175,57,1/4,25/2,132,13 1/2,2,n/a,match
176,65,1/4,25/2,132,13 1/2,1,n/a,match
177,53,1/4,51/4,133,13 3/4,2,n/a,match
178,55,1/8,13/1,134,14,3,n/a,match
179,58,1/8,13/1,134,14,2,n/a,match
180,67,1/8,13/1,134,14,1,2,adaptation
181,65,1/16,105/8,135,14 1/8,0,n/a,ornamentation
182,67,1/16,211/16,136,14 3/16,0,n/a,ornamentation
183,69,1/16,53/4,137,14 1/4,0,1,adaptation
184,67,1/16,213/16,138,14 5/16,0,n/a,ornamentation
185,65,1/16,107/8,139,14 3/8,0,n/a,ornamentation
186,67,1/16,215/16,140,14 7/16,0,n/a,ornamentation
187,50,1/4,27/2,141,14 1/2,3,n/a,match
188,57,1/4,27/2,141,14 1/2,2,1,adaptation
189,69,1/4,27/2,141,14 1/2,0,n/a,match
190,55,1/4,55/4,142,14 3/4,2 and 3,n/a,match
191,62,1/4,55/4,142,14 3/4,1,n/a,match
192,70,1/4,55/4,142,14 3/4,0,n/a,match
193,53,1/4,14/1,143,15,3,n/a,match
194,57,1/4,14/1,143,15,2,n/a,match
195,69,1/4,14/1,143,15,0,n/a,match
196,55,1/4,57/4,144,15 1/4,3,n/a,match
197,58,1/4,57/4,144,15 1/4,2,n/a,match
198,67,1/4,57/4,144,15 1/4,0,n/a,match
199,53,1/4,29/2,145,15 1/2,3,n/a,match
200,57,1/4,29/2,145,15 1/2,2,n/a,match
201,72,1/4,29/2,145,15 1/2,0,n/a,match
202,55,1/8,59/4,146,15 3/4,2 and 3,n/a,match
203,64,1/8,59/4,146,15 3/4,1,n/a,match
204,72,1/8,59/4,146,15 3/4,0,0,repetition
205,70,1/8,119/8,147,15 7/8,0,n/a,ornamentation
206,57,1/8,15/1,148,16,2,n/a,match
207,65,1/8,15/1,148,16,1,n/a,match
208,72,1/8,15/1,148,16,0,0,repetition
209,64,1/8,121/8,149,16 1/8,1,n/a,match
210,53,1/8,61/4,150,16 1/4,3,n/a,match
211,62,1/8,61/4,150,16 1/4,1,n/a,match
212,70,1/8,61/4,150,16 1/4,0,n/a,match
213,60,1/8,123/8,151,16 3/8,1,n/a,match
214,69,1/8,123/8,151,16 3/8,0,n/a,match
215,55,1/4,31/2,152,16 1/2,2 and 3,n/a,match
216,62,1/4,31/2,152,16 1/2,1,2,adaptation
217,70,1/4,31/2,152,16 1/2,0,n/a,match
218,52,1/16,63/4,153,16 3/4,3,n/a,match
219,69,1/16,63/4,153,16 3/4,0,1,adaptation
220,67,1/16,253/16,154,16 13/16,0,n/a,ornamentation
221,65,1/16,127/8,155,16 7/8,0,n/a,ornamentation
222,67,1/16,255/16,156,16 15/16,0,n/a,ornamentation
223,53,1/16,16/1,157,17,3,n/a,match
224,70,1/16,16/1,157,17,0,3,adaptation
225,69,1/16,257/16,158,17 1/16,0,n/a,ornamentation
226,67,1/16,129/8,159,17 1/8,0,n/a,ornamentation
227,69,1/16,259/16,160,17 3/16,0,n/a,ornamentation
228,55,1/4,65/4,161,17 1/4,2 and 3,n/a,match
229,62,1/4,65/4,161,17 1/4,1,n/a,match
230,70,1/4,65/4,161,17 1/4,0,n/a,match
231,53,3/16,33/2,162,17 1/2,3,n/a,match
232,57,3/16,33/2,162,17 1/2,2,n/a,match
233,69,3/16,33/2,162,17 1/2,0,n/a,match
234,67,1/16,267/16,163,17 11/16,1,n/a,ornamentation
235,65,1/16,67/4,164,17 3/4,1,0,repetition
236,64,1/16,269/16,165,17 13/16,0,n/a,ornamentation
237,62,1/32,135/8,166,17 7/8,0,n/a,ornamentation
238,64,1/32,541/32,167,17 29/32,0,n/a,ornamentation
239,66,1/32,271/16,168,17 15/16,0,n/a,ornamentation
240,67,1/32,543/32,169,17 31/32,0,n/a,ornamentation
241,50,1/16,17/1,170,18,3,n/a,match
242,57,1/16,17/1,170,18,2,n/a,match
243,67,1/16,17/1,170,18,0,0,repetition
244,66,1/16,273/16,171,18 1/16,0,n/a,ornamentation
245,64,1/16,137/8,172,18 1/8,0,n/a,ornamentation
246,66,1/16,275/16,173,18 3/16,0,n/a,ornamentation
247,51,1/16,69/4,174,18 1/4,3,n/a,match
248,55,1/16,69/4,174,18 1/4,2,n/a,match
249,69,1/16,69/4,174,18 1/4,0,4,adaptation
250,67,1/16,277/16,175,18 5/16,2,n/a,ornamentation
251,66,1/16,139/8,176,18 3/8,2,n/a,ornamentation
252,67,1/16,279/16,177,18 7/16,2,n/a,ornamentation
253,50,1/16,35/2,178,18 1/2,3,n/a,match
254,57,1/16,35/2,178,18 1/2,2,n/a,match
255,67,1/16,281/16,179,18 9/16,0,n/a,ornamentation
256,66,1/16,141/8,180,18 5/8,0,n/a,ornamentation
257,64,1/16,283/16,181,18 11/16,0,n/a,ornamentation
258,67,1/16,71/4,182,18 3/4,0,0,repetition
259,66,1/16,285/16,183,18 13/16,0,n/a,ornamentation
260,67,1/32,143/8,184,18 7/8,0,n/a,ornamentation
261,66,1/32,573/32,185,18 29/32,0,n/a,ornamentation
