ornament,voice,bar,pitch
Q 0 S -1 S 1 S 2 S -2 H,3,1 3/4,58
R 0 S,1,3 13/16,58
R 0 T -1 T -2 T -2 E.,3,3 29/32,58
E. 11 S -2 S -2 S -2 T,3,4 3/16,64
R 0 T 2 T 2 T 1 Q,1,4 13/32,60
S -2 S,3,4 13/16,53
T -2 T -2 T -1 T -2 S,3,4 29/32,53
S -1 S -2 S 2 S 1 Q,1,5 1/16,64
R 0 E,1,5 5/8,65
S -2 S,3,6 5/16,53
S -1 S,3,6 7/16,50
E. -2 S -1 S -2 S 2 T 1 T 2 T 2 T 1 Q,0,6 11/16,65
S -2 S,0,7 13/16,70
T -2 T -1 T -2 T 3 S,0,7 29/32,70
S 9 S,1,8 1/16,69
R 0 S,0,8 3/16,69
R 0 E,0,8 5/8,70
R 0 S -2 S -1 S -2 S,1,10 1/16,67
R 0 S 1 T 2 T 2 T 1 T 0 Q,0,10 5/16,64
R 0 S,1,10 13/16,58
R 0 T -1 T -2 T 2 Q,2,10 29/32,58
R 0 S 2 S 2 S 1 Q,0,11 5/16,65
S -2 S 2 S 2 S 1 S,1,11 13/16,60
S -1 S 1 S 2 S -2 E,1,12 1/16,64
S 2 S,2,12 9/16,60
S -1 S,2,12 11/16,57
S -2 S 2 S 2 S 1 S,0,12 13/16,65
R 0 S,2,13 1/16,57
R 0 S,1,13 3/16,60
T -2 T 2 T 2 T 1 T,1,13 9/32,60
T -1 T 1 T 2 T -2 Q,1,13 13/32,64
R 0 S 2 S 2 S,0,14 1/8,65
S -2 S -2 S 2 S 2 Q,0,14 5/16,67
E -2 E,0,15 7/8,70
S -2 S -2 S 2 S 3 S,0,16 13/16,67
S -1 S -2 S 2 S 1 Q,0,17 1/16,69
R 0 S,1,17 11/16,67
R 0 S -2 T 2 T 2 T 1 T 0 S,0,17 13/16,64
S -1 S -2 S 2 S 3 S,0,18 1/16,66
S 12 S -1 S 1 S -10 S,2,18 5/16,67
R 0 S -1 S -2 S 3 S,0,18 9/16,67
S -1 S 1 T -1 T -2 T 2 T 1 Q,0,18 13/16,66
E -2 E,0,22 1/8,67
R 0 E,2,22 3/8,69
