ornament,voice,bar,pitch
E. -2 S -2 S -1 S -2 T 2 T 1 T 2 T 2 E,1,1 3/16,62
E 1 E 2 S -2 S 2 S -3 S -4 E.,1,1 5/8,65
E. -2 S -2 S -1 S -2 T 2 T 1 T 2 T 2 E,0,2 3/16,67
E -5 S 1 S 2 S -2 S 2 T -2 T -1 T 1 T 2 H,0,2 5/8,64
S 2 S -2 S -2 S -1 S,1,6 1/16,69
S -2 S -2 S -1 S 6 Q,1,6 5/16,62
R 0 S 1 T -1 T -2 T 2 T 1 T 2 T 2 T 1 T 0 E,0,7 3/16,66
E -1 S -2 S -2 T -2 T -1 T 1 T 2 T 2 T 2 T 1 T -1 E.,0,7 5/8,71
E. 7 S -2 S -2 S -1 T -2 T -2 T -1 T 1 S,1,8 3/16,69
S 7 S -2 S -1 S -2 S -2 S -1 S -2 S 2 E,1,8 9/16,67
R 0 E,0,9 1/8,69
R 0 S 1 S 2 S 2 S 2 S 1 T 2 T 2 T 1 T 0 Q,0,10 1/16,59
Q 2 S -2 S 2 T -2 T -1 T -2 T 2 E.,0,10 3/4,74
E. 7 S -2 S -2 S -1 T -2 T -2 T -1 T 1 S,1,11 3/16,69
S -1 S 1 S 2 S 2 S 1 S 2 S 2 S -10 E,1,11 9/16,59
R 0 E,0,12 1/8,69
S -1 S,0,12 5/16,66
S 2 S,0,12 7/16,66
E -2 S -1 S -2 T -2 T -1 T 1 T 2 T 2 T 2 T 1 T 2 Q,0,12 5/8,65
Q 2 S -2 S 2 T -2 T -1 T -2 T 2 Q,0,14 3/4,67
R 0 S -2 S -2 S 4 S -2 S -2 S 2 S 2 E.,2,16 9/16,64
E. -2 S -2 S -1 S -2 T 2 T 1 T 2 T 2 E,0,17 3/16,69
E -2 S 2 S 1 S -1 S -2 S 2 S 1 H,0,17 5/8,69
S -10 S 1 S 2 S 2 T -2 T 2 T 2 T 1 T -1 T 1 T 2 T 2 E,0,18 9/16,59
E -2 S 2 S 1 S -1 S -2 S 2 S 5 Q,0,19 1/8,69
S -1 S -2 S 2 S 0 S,0,21 1/16,71
S 9 S -1 S 1 S -10 S,1,21 5/16,69
R 0 S -1 S -2 S 3 S -1 S -2 S 2 S 1 H,0,21 9/16,69
R 0 E 1 S -1 S -1 S 1 S 1 H,2,23 5/8,56
E. -2 S -2 S -1 S 1 T 2 T 2 T 2 T 1 H,0,24 11/16,62
Q 2 S -2 S 2 T -2 T -2 T -1 T -2 H,0,25 3/4,69
S -2 S -1 T -2 T -2 T -1 T 1 T 2 T 2 T 2 T 1 E -2 Q,1,29 1/16,65
Q 2 S -2 S 2 T -2 T -1 T -2 T 2 Q,1,29 3/4,67
S -1 S 1 S 2 S -2 E -1 E,2,30 13/16,59
E -2 E,3,31 3/8,48
R 0 S -1 S -2 S -2 S,2,32 13/16,60
S 2 S -2 S -2 S 2 S,1,33 1/16,69
S -2 S -1 S 3 S -2 Q,1,33 5/16,65
E -1 S 1 S 2 S -2 S 2 T,0,35 5/8,64
T -2 T -1 T -2 T 2 Q,0,35 29/32,65
S 2 S 2 S -2 S 0 S -2 S 2 T,0,37 9/16,67
T -2 T -1 T -2 T 2 Q,0,37 29/32,65
R 0 T -2 T -1 T 1 T 2 T 2 T 2 T 1 T,0,39 21/32,62
T 2 T 2 T 1 T -5 W,0,39 29/32,69
