note,pitch,duration,onset,chord,bar,mapped voice,cost,category
0,55,1/2,0/96,0,1,1,n/a,match
1,67,1/2,0/96,0,1,0,n/a,match
2,55,3/16,1/2,1,1 1/2,1,n/a,match
3,67,3/16,1/2,1,1 1/2,0,0,repetition
4,54,1/16,11/16,2,1 11/16,1,n/a,ornamentation
5,55,1/16,3/4,3,1 3/4,1,n/a,ornamentation
6,54,1/16,13/16,4,1 13/16,1,n/a,ornamentation
7,55,1/32,7/8,5,1 7/8,1,0,repetition
8,54,1/32,29/32,6,1 29/32,1,n/a,ornamentation
9,55,1/32,15/16,7,1 15/16,1,n/a,ornamentation
10,57,1/32,31/32,8,1 31/32,1,n/a,ornamentation
11,59,1/16,1/1,9,2,1,n/a,match
12,67,1/16,1/1,9,2,0,n/a,match
13,55,1/16,17/16,10,2 1/16,1,n/a,ornamentation
14,57,1/16,9/8,11,2 1/8,1,n/a,ornamentation
15,59,1/16,19/16,12,2 3/16,1,n/a,ornamentation
16,60,1/32,5/4,13,2 1/4,1,n/a,match
17,59,1/32,41/32,14,2 9/32,1,n/a,ornamentation
18,57,1/32,21/16,15,2 5/16,1,n/a,ornamentation
19,59,1/32,43/32,16,2 11/32,1,n/a,ornamentation
20,60,1/8,11/8,17,2 3/8,1,n/a,ornamentation
21,55,1/4,3/2,18,2 1/2,1,n/a,match
22,67,1/4,3/2,18,2 1/2,0,0,repetition
23,62,1/4,7/4,19,2 3/4,0,5,adaptation
24,69,1/8,2/1,20,3,0,n/a,match
25,66,1/16,17/8,21,3 1/8,1,n/a,ornamentation
26,67,1/16,35/16,22,3 3/16,1,n/a,ornamentation
27,66,1/8,9/4,23,3 1/4,1,n/a,ficta
28,64,1/8,19/8,24,3 3/8,1,n/a,match
29,66,1/4,5/2,25,3 1/2,1,n/a,ficta
30,69,1/4,5/2,25,3 1/2,0,0,repetition
31,62,1/4,11/4,26,3 3/4,1,n/a,match
32,69,1/8,3/1,27,4,0,n/a,match
33,57,1/8,25/8,28,4 1/8,1,5,adaptation
34,62,1/8,13/4,29,4 1/4,1,n/a,match
35,64,1/8,27/8,30,4 3/8,1,n/a,match
36,66,1/16,7/2,31,4 1/2,1,n/a,ficta
37,69,1/16,7/2,31,4 1/2,0,0,repetition
38,67,1/16,57/16,32,4 9/16,0,n/a,ornamentation
39,69,1/16,29/8,33,4 5/8,0,0,repetition
40,66,1/16,59/16,34,4 11/16,1,n/a,ornamentation
41,67,1/32,15/4,35,4 3/4,1,0,repetition
42,66,1/32,121/32,36,4 25/32,1,n/a,ornamentation
43,67,1/32,61/16,37,4 13/16,1,n/a,ornamentation
44,66,1/32,123/32,38,4 27/32,1,n/a,ornamentation
45,67,1/32,31/8,39,4 7/8,1,2,adaptation
46,66,1/32,125/32,40,4 29/32,1,n/a,ornamentation
47,64,1/32,63/16,41,4 15/16,1,n/a,ornamentation
48,66,1/32,127/32,42,4 31/32,1,n/a,ornamentation
49,43,1/16,4/1,43,5,5,n/a,match
50,55,1/16,4/1,43,5,3,n/a,match
51,67,1/16,4/1,43,5,1,n/a,match
52,71,1/16,4/1,43,5,0,n/a,match
53,66,1/16,65/16,44,5 1/16,0,n/a,ornamentation
54,64,1/16,33/8,45,5 1/8,0,n/a,ornamentation
55,66,1/16,67/16,46,5 3/16,0,n/a,ornamentation
56,67,1/16,17/4,47,5 1/4,0,n/a,ornamentation
57,69,1/16,69/16,48,5 5/16,0,n/a,ornamentation
58,71,1/32,35/8,49,5 3/8,0,n/a,ornamentation
59,69,1/32,141/32,50,5 13/32,0,n/a,ornamentation
60,71,1/32,71/16,51,5 7/16,0,n/a,ornamentation
61,72,1/32,143/32,52,5 15/32,0,n/a,ornamentation
62,43,1/4,9/2,53,5 1/2,5,n/a,match
63,55,1/4,9/2,53,5 1/2,3,0,repetition
64,71,1/4,9/2,53,5 1/2,0,0,repetition
65,67,1/8,19/4,54,5 3/4,5,n/a,ornamentation
66,45,1/8,39/8,55,5 7/8,5,n/a,match
67,47,1/16,5/1,56,6,5,n/a,match
68,55,1/16,5/1,56,6,3,n/a,match
69,67,1/16,5/1,56,6,0,n/a,match
70,43,1/16,81/16,57,6 1/16,5,n/a,ornamentation
71,45,1/16,41/8,58,6 1/8,5,n/a,ornamentation
72,47,1/16,83/16,59,6 3/16,5,n/a,ornamentation
73,48,1/16,21/4,60,6 1/4,5,n/a,match
74,50,1/16,85/16,61,6 5/16,5,n/a,ornamentation
75,48,1/16,43/8,62,6 3/8,5,n/a,ornamentation
76,47,1/32,87/16,63,6 7/16,5,n/a,ornamentation
77,45,1/32,175/32,64,6 15/32,5,n/a,ornamentation
78,43,1/16,11/2,65,6 1/2,5,n/a,match
79,55,1/16,11/2,65,6 1/2,3,0,repetition
80,67,1/16,11/2,65,6 1/2,1,0,repetition
81,54,1/16,89/16,66,6 9/16,3,n/a,ornamentation
82,55,1/16,45/8,67,6 5/8,3,n/a,ornamentation
83,57,1/16,91/16,68,6 11/16,3,n/a,ornamentation
84,59,1/16,23/4,69,6 3/4,3,4,adaptation
85,57,1/16,93/16,70,6 13/16,3,n/a,ornamentation
86,59,1/32,47/8,71,6 7/8,3,n/a,ornamentation
87,55,1/32,189/32,72,6 29/32,3,n/a,ornamentation
88,57,1/32,95/16,73,6 15/16,3,n/a,ornamentation
89,55,1/32,191/32,74,6 31/32,3,n/a,ornamentation
90,57,1/8,6/1,75,7,3,n/a,match
91,54,1/16,49/8,76,7 1/8,5,n/a,ornamentation
92,55,1/16,99/16,77,7 3/16,5,n/a,ornamentation
93,54,1/8,25/4,78,7 1/4,5,n/a,ficta
94,52,1/8,51/8,79,7 3/8,5,n/a,match
95,54,1/4,13/2,80,7 1/2,5,n/a,ficta
96,57,1/4,13/2,80,7 1/2,3,0,repetition
97,50,1/4,27/4,81,7 3/4,5,n/a,match
98,57,1/8,7/1,82,8,3,n/a,match
99,49,1/8,57/8,83,8 1/8,5,n/a,ficta
100,50,1/8,29/4,84,8 1/4,5,n/a,match
101,52,1/8,59/8,85,8 3/8,5,n/a,match
102,54,1/16,15/2,86,8 1/2,5,n/a,ficta
103,57,1/16,15/2,86,8 1/2,3,0,repetition
104,55,1/16,121/16,87,8 9/16,3,n/a,ornamentation
105,57,1/16,61/8,88,8 5/8,3,0,repetition
106,55,1/16,123/16,89,8 11/16,5,n/a,ornamentation
107,54,1/16,31/4,90,8 3/4,5,1,adaptation
108,52,1/16,125/16,91,8 13/16,5,n/a,ornamentation
109,55,1/16,63/8,92,8 7/8,5,2,adaptation
110,54,1/16,127/16,93,8 15/16,5,n/a,ornamentation
111,43,1/16,8/1,94,9,4,n/a,match
112,55,1/16,8/1,94,9,5,n/a,match
113,59,1/16,8/1,94,9,3,n/a,match
114,60,1/16,129/16,95,9 1/16,1,n/a,ornamentation
115,62,1/16,65/8,96,9 1/8,1,n/a,ornamentation
116,64,1/16,131/16,97,9 3/16,1,n/a,ornamentation
117,65,1/32,33/4,98,9 1/4,1,2,adaptation
118,64,1/32,265/32,99,9 9/32,1,n/a,ornamentation
119,62,1/32,133/16,100,9 5/16,1,n/a,ornamentation
120,60,1/32,267/32,101,9 11/32,1,n/a,ornamentation
121,62,1/32,67/8,102,9 3/8,1,n/a,ornamentation
122,60,1/32,269/32,103,9 13/32,1,n/a,ornamentation
123,59,1/32,135/16,104,9 7/16,1,n/a,ornamentation
124,57,1/32,271/32,105,9 15/32,1,n/a,ornamentation
125,43,1/16,17/2,106,9 1/2,4,n/a,match
126,55,1/16,17/2,106,9 1/2,1 and 2,n/a,match
127,59,1/16,17/2,106,9 1/2,3,0,repetition
128,57,1/16,137/16,107,9 9/16,3,n/a,ornamentation
129,59,1/32,69/8,108,9 5/8,3,0,repetition
130,57,1/32,277/32,109,9 21/32,2,n/a,ornamentation
131,59,1/32,139/16,110,9 11/16,2,n/a,ornamentation
132,60,1/32,279/32,111,9 23/32,2,n/a,ornamentation
133,59,1/8,35/4,112,9 3/4,2,n/a,match
134,45,1/8,71/8,113,9 7/8,4,n/a,match
135,60,1/8,71/8,113,9 7/8,2,n/a,match
136,47,1/16,9/1,114,10,4,n/a,match
137,55,1/16,9/1,114,10,1 and 3,n/a,match
138,62,1/16,9/1,114,10,2,n/a,match
139,59,1/16,145/16,115,10 1/16,2,n/a,ornamentation
140,57,1/32,73/8,116,10 1/8,2,n/a,ornamentation
141,59,1/32,293/32,117,10 5/32,2,n/a,ornamentation
142,60,1/32,147/16,118,10 3/16,2,n/a,ornamentation
143,62,1/32,295/32,119,10 7/32,2,n/a,ornamentation
144,48,1/8,37/4,120,10 1/4,4,n/a,match
145,64,1/8,37/4,120,10 1/4,2,n/a,match
146,57,1/8,75/8,121,10 3/8,1,n/a,match
147,43,1/8,19/2,122,10 1/2,4,n/a,match
148,55,1/8,19/2,122,10 1/2,5,0,repetition
149,59,1/8,19/2,122,10 1/2,1,n/a,match
150,62,1/8,19/2,122,10 1/2,2,n/a,match
151,55,1/16,77/8,123,10 5/8,2,n/a,ornamentation
152,61,1/16,155/16,124,10 11/16,2,n/a,ornamentation
153,62,1/16,39/4,125,10 3/4,2,0,repetition
154,64,1/16,157/16,126,10 13/16,0,n/a,ornamentation
155,66,1/16,79/8,127,10 7/8,0,n/a,ornamentation
156,67,1/16,159/16,128,10 15/16,0,n/a,ornamentation
157,50,1/8,10/1,129,11,2,n/a,match
158,57,1/8,10/1,129,11,1,n/a,match
159,62,1/8,10/1,129,11,5,7,adaptation
160,69,1/8,10/1,129,11,0,n/a,match
161,55,1/8,81/8,130,11 1/8,4,n/a,ornamentation
162,54,1/8,41/4,131,11 1/4,4,n/a,ficta
163,52,1/8,83/8,132,11 3/8,4,n/a,match
164,50,1/8,21/2,133,11 1/2,1 and 5,n/a,match
165,54,1/8,21/2,133,11 1/2,4,n/a,ficta
166,69,1/8,21/2,133,11 1/2,0,0,repetition
167,55,1/8,85/8,134,11 5/8,4,n/a,match
168,57,1/8,43/4,135,11 3/4,4,n/a,match
169,62,1/8,43/4,135,11 3/4,1,n/a,match
170,54,1/8,87/8,136,11 7/8,4,n/a,ficta
171,52,1/4,11/1,137,12,5,n/a,match
172,55,1/4,11/1,137,12,4,n/a,match
173,59,1/4,11/1,137,12,1,n/a,match
174,67,1/4,11/1,137,12,0,n/a,match
175,48,1/8,45/4,138,12 1/4,4,n/a,match
176,60,1/8,45/4,138,12 1/4,1,n/a,match
177,50,1/8,91/8,139,12 3/8,4,n/a,match
178,48,1/8,23/2,140,12 1/2,5,n/a,match
179,52,1/8,23/2,140,12 1/2,4,n/a,match
180,60,1/8,23/2,140,12 1/2,1,0,repetition
181,72,1/8,23/2,140,12 1/2,0,n/a,match
182,54,1/8,93/8,141,12 5/8,4,n/a,ficta
183,59,1/8,93/8,141,12 5/8,1,n/a,match
184,55,1/8,47/4,142,12 3/4,1 and 4,n/a,match
185,47,1/8,95/8,143,12 7/8,5,n/a,match
186,45,1/8,12/1,144,13,5,n/a,match
187,57,1/8,12/1,144,13,1,n/a,match
188,72,1/8,12/1,144,13,0,0,repetition
189,54,1/16,97/8,145,13 1/8,4,n/a,match
190,57,1/16,97/8,145,13 1/8,1,0,repetition
191,59,1/16,195/16,146,13 3/16,1,n/a,ornamentation
192,60,1/16,49/4,147,13 1/4,1,n/a,match
193,57,1/16,197/16,148,13 5/16,1,n/a,ornamentation
194,59,1/32,99/8,149,13 3/8,1,1,adaptation
195,57,1/32,397/32,150,13 13/32,1,n/a,ornamentation
196,59,1/32,199/16,151,13 7/16,1,n/a,ornamentation
197,60,1/32,399/32,152,13 15/32,1,n/a,ornamentation
198,43,1/16,25/2,153,13 1/2,5,n/a,match
199,55,1/16,25/2,153,13 1/2,4,n/a,match
200,59,1/16,25/2,153,13 1/2,1,n/a,match
201,71,1/16,25/2,153,13 1/2,0,n/a,match
202,57,1/16,201/16,154,13 9/16,1,n/a,ornamentation
203,59,1/16,101/8,155,13 5/8,1,0,repetition
204,60,1/16,203/16,156,13 11/16,1,n/a,ornamentation
205,55,1/16,51/4,157,13 3/4,2,n/a,match
206,62,1/16,51/4,157,13 3/4,1,n/a,match
207,60,1/16,205/16,158,13 13/16,1,n/a,ornamentation
208,62,1/32,103/8,159,13 7/8,1,0,repetition
209,60,1/32,413/32,160,13 29/32,1,n/a,ornamentation
210,62,1/32,207/16,161,13 15/16,1,n/a,ornamentation
211,64,1/32,415/32,162,13 31/32,1,n/a,ornamentation
212,50,1/8,13/1,163,14,5,n/a,match
213,57,1/8,13/1,163,14,2,n/a,match
214,65,1/8,13/1,163,14,1,n/a,match
215,69,1/8,13/1,163,14,0,n/a,match
216,64,1/8,105/8,164,14 1/8,1,n/a,ornamentation
217,53,1/4,53/4,165,14 1/4,2,n/a,match
218,62,1/4,53/4,165,14 1/4,1,n/a,match
219,52,1/8,27/2,166,14 1/2,5,n/a,match
220,55,1/8,27/2,166,14 1/2,2,n/a,match
221,67,1/8,27/2,166,14 1/2,0,n/a,match
222,60,1/16,109/8,167,14 5/8,1,n/a,match
223,59,1/16,219/16,168,14 11/16,1,n/a,ornamentation
224,48,1/4,55/4,169,14 3/4,2,n/a,match
225,60,1/4,55/4,169,14 3/4,1,n/a,match
226,50,3/16,14/1,170,15,5,n/a,match
227,54,3/16,14/1,170,15,2,n/a,ficta
228,57,3/16,14/1,170,15,3,n/a,match
