ornament,voice,bar,pitch
E. -1 S 1 S -1 S 1 T,1,1 11/16,54
T -1 T 1 T 2 T 2 S,1,1 29/32,54
S -4 S 2 S 2 S 1 T,1,2 1/16,55
T -1 T -2 T 2 T 1 E -5 Q,1,2 9/32,59
R 0 S 1 S -1 E,1,3 1/8,66
S -2 S,0,4 9/16,67
R 0 S,1,4 11/16,66
T -1 T 1 T -1 T 1 T,1,4 25/32,66
T -1 T -2 T 2 T 1 S,1,4 29/32,66
S -5 S -2 S 2 S 1 S 2 S 2 T -2 T 2 T 1 T -1 Q,0,5 1/16,66
Q 24 E,5,5 3/4,67
S -4 S 2 S 2 S 1 S,5,6 1/16,43
S 2 S -2 S -1 T -2 T -2 S,5,6 5/16,50
S -1 S 1 S 2 S 2 S,3,6 9/16,54
S -2 S 2 T -4 T 2 T -2 T 2 E,3,6 13/16,57
R 0 S 1 S -1 E,5,7 1/8,54
S -2 S,3,8 9/16,55
R 0 S,5,8 11/16,55
S -2 S,5,8 13/16,52
S -1 S,5,8 15/16,54
R 0 S 2 S 2 S 1 T,1,9 1/16,60
T -1 T -2 T -2 T 2 T -2 T -1 T -2 T -2 S,1,9 9/32,64
S -2 S,3,9 9/16,57
R 0 T 2 T 1 T -1 E,2,9 21/32,57
S -3 S -2 T 2 T 1 T 2 T 2 E,2,10 1/16,59
E -7 S 6 S 1 S,2,10 5/8,55
R 0 S 2 S 1 S 2 E,0,10 13/16,64
R 0 E,4,11 1/8,55
S 2 S,1,13 3/16,59
S -3 S,1,13 5/16,57
T -2 T 2 T 1 T -1 S,1,13 13/32,57
S -2 S,1,13 9/16,57
S 1 S,1,13 11/16,60
S -2 S,1,13 13/16,60
T -2 T 2 T 2 T 1 E,1,13 29/32,60
E -1 E,1,14 1/8,64
S -1 S,1,14 11/16,59
E. -2 S,3,15 3/16,55
S -4 S 2 S 2 S 1 S,0,15 9/16,62
S -1 S 1 T -1 T -2 T 2 T 1 Q,0,15 13/16,66
R 0 S,2,17 1/16,57
R 0 S,3,17 3/16,60
S -2 S,3,17 5/16,60
T -2 T -1 T -2 T 2 S,3,17 13/32,60
S -2 S,3,17 9/16,57
R 0 S,2,17 11/16,60
R 0 T -1 T -2 T 2 T,3,17 25/32,60
R 0 T 2 T 2 T 1 E,2,17 29/32,60
E -1 E,2,18 1/8,64
S 8 S 1 T -3 T 2 T 1 T -7 E,1,18 5/16,61
S -2 S,2,18 11/16,59
S -1 S,2,18 13/16,61
T -1 T -2 T 2 T 1 E,2,18 29/32,61
E -1 S 1 S -1 E,3,19 1/8,54
E -2 S 2 S 1 S -1 S 1 T -1 T -2 T 2 T 1 Q,3,19 5/8,52
R 0 E,2,21 1/8,65
E -2 E,2,21 3/8,62
E -7 S 2 S 1 S,2,21 5/8,57
S -3 S,2,21 13/16,57
R 0 S,1,21 15/16,60
R 0 S -1 S -2 S 3 S,2,22 1/16,60
S -1 S 1 T -1 T -2 T 2 T 1 S,2,22 5/16,59
S -2 S 2 T -2 T 2 T 2 T 1 Q,0,22 9/16,62
E -1 E,1,23 1/8,59
R 0 E,3,23 5/8,55
R 0 S -1 S -2 S,4,24 1/8,53
R 0 S 2 T -2 T -1 T -2 T -2 E,5,24 5/16,48
E -2 E,3,24 5/8,57
R 0 E,4,24 7/8,53
E -2 E,4,25 1/8,50
E -2 E,2,25 3/8,62
S -2 S -2 S -1 S 1 S,2,25 9/16,62
S -1 S,2,25 13/16,59
T -3 T 2 T 1 T 2 E,2,25 29/32,57
E -3 S -2 S 2 S,2,26 1/8,59
S -4 S 2 S 2 S 1 Q,2,26 5/16,55
E. -1 S,1,27 3/16,59
E. -2 S,1,27 11/16,55
S -2 S -2 S -1 S -2 S 2 S 1 T 2 T 2 T 1 T -1 E.,0,28 1/16,69
E. -2 T 2 T -2 E,0,28 11/16,69
S -2 S 2 T -2 T 2 T 2 T 1 S,0,29 5/16,67
S -2 S 2 T -2 T 2 T 2 T 1 E,2,29 9/16,62
S -2 S,0,30 1/16,67
S -2 S,0,30 3/16,64
S 2 S -2 T 2 T 2 T 1 T 2 E.,0,30 5/16,64
E. -3 S,0,30 11/16,66
T -1 T 1 T -1 T 1 T,0,30 25/32,66
T -1 T -2 T 2 T 1 E.,0,30 29/32,66
E. 1 S 2 T 2 T 1 T -1 T -2 T -2 T -1 T -2 T 2 E.,3,31 3/16,60
E. -2 T 2 T -2 E,3,31 11/16,57
E -2 S 2 S -2 S,3,32 1/8,57
S 2 S -2 T 2 T 3 T -2 T 0 S,3,32 5/16,59
S -1 S 1 T -1 T 1 T 2 T -2 E,3,32 9/16,59
R 0 S,3,33 9/16,55
R 0 S,2,33 11/16,52
S -1 S,2,33 13/16,54
