ornament,voice,bar,pitch
S -1 S -2 S 2 S 1 S,1,1 9/16,64
R 0 S 2 S 2 S 1 Q,0,1 13/16,67
R 0 S -2 S 2 Q,1,2 3/8,64
S -2 S,1,3 1/16,62
S 2 S,1,3 3/16,66
S -3 S 2 S 1 S 2 S,0,3 5/16,64
R 0 S,1,3 9/16,67
S -2 S,1,3 11/16,64
T -1 T 1 T -1 T 1 T,1,3 25/32,66
T -1 T -2 T 2 T 1 E,1,3 29/32,66
S -1 S,0,4 15/16,71
S -4 S 2 T -2 T 2 T 2 T 1 Q,1,5 1/16,62
R 0 S,1,5 11/16,66
S -1 S,1,5 13/16,66
T -1 T -2 T 2 T 1 E,1,5 29/32,66
E -2 S -1 S -2 S -2 S 2 T -2 T -1 T -2 T -2 Q,1,6 1/8,65
S -3 S 1 S 2 S 2 S,0,7 1/16,66
S -2 S 2 T -4 T 2 T 2 T 1 S,0,7 5/16,69
S -1 S 1 S 2 S -2 E,0,7 9/16,71
S -2 S,0,7 15/16,69
E -1 S 1 S 2 Q,0,8 1/8,66
Q -9 E 9 S -2 S 4 E,0,8 1/2,60
E -2 E,1,8 7/8,57
R 0 S,0,9 1/16,69
S -1 S,0,9 3/16,66
S -1 S,0,9 5/16,66
R 0 T 2 T 1 T -10 E,1,9 13/32,64
S -2 S,0,9 11/16,64
S -1 S,0,9 13/16,66
T -1 T -2 T 2 T 1 E,0,9 29/32,66
E -2 S -1 S -2 S -2 S 2 T -2 T -1 T -2 T -2 S 2 S 2 S 1 S 2 S 2 S 2 S 1 S 2 S,0,10 1/8,65
S -2 S 2 S 2 S -2 S -2 S 2 T -3 T 1 T 2 T 2 S,0,11 1/16,67
S -2 S -2 S -1 S -2 S 2 S 1 S 2 S 2 E,0,11 9/16,69
E -4 S 2 S 2 S,0,12 1/8,67
S -2 S 2 T -2 T -2 T -1 T 1 E,0,12 5/16,69
E 2 S 2 S 1 S,0,12 5/8,69
S -1 S -2 S 2 S 1 S,1,12 13/16,59
S 2 S 2 S 2 S 1 Q,1,13 1/16,62
E. -2 T 2 T -2 Q,0,13 11/16,67
R 0 S,1,14 1/16,62
R 0 S,0,14 3/16,65
S -2 S 2 T -2 T -1 T -2 T 2 S,0,14 5/16,65
R 0 S,1,14 9/16,62
S -2 S,1,14 11/16,59
S -1 S,1,14 13/16,61
T -1 T -2 T 2 T 1 E,1,14 29/32,61
E -2 S -1 S -2 S -2 S -2 S -1 S -2 Q,1,15 1/8,60
E -5 E,0,17 1/8,64
R 0 S,0,18 11/16,66
T -1 T 1 T -1 T 1 T -1 T -2 T 2 T 1 Q,0,18 25/32,66
R 0 S -2 S -2 S 2 S,1,19 9/16,64
R 0 S,0,19 13/16,64
S 2 S,0,19 15/16,67
S -2 S 2 S 2 S -2 S,0,20 13/16,67
S -2 S,0,21 1/16,67
S -2 S,0,21 3/16,64
S 2 S -2 T 2 T 2 T 1 T -1 S,0,21 5/16,64
S -4 S 2 S 2 S 1 S,0,21 9/16,62
S -1 S 1 T -1 T -2 T 2 T 1 E,0,21 13/16,66
R 0 S,0,27 11/16,66
S -1 S,0,27 13/16,66
T -1 T -2 T 2 T 1 W,0,27 29/32,66
