note,pitch,duration,chord,bar,mapped voice,cost,category
0,62,1/4,0,1,1,n/a,match
1,62,1/16,1,1 1/4,1,n/a,match
2,64,1/16,2,1 5/16,1,n/a,ornamentation
3,65,1/16,3,1 3/8,1,n/a,ornamentation
4,62,1/16,4,1 7/16,1,n/a,ornamentation
5,65,1/16,5,1 1/2,1,3,adaptation
6,64,1/16,6,1 9/16,1,n/a,ornamentation
7,65,1/32,7,1 5/8,1,n/a,ornamentation
8,64,1/32,8,1 21/32,1,n/a,ornamentation
9,62,1/32,9,1 11/16,1,n/a,ornamentation
10,64,1/32,10,1 23/32,1,n/a,ornamentation
11,50,1/4,11,2,4,n/a,match
12,65,1/4,11,2,1,n/a,match
13,50,1/8,12,2 1/4,4,n/a,match
14,64,1/16,13,2 3/8,1,n/a,ornamentation
15,65,1/16,14,2 7/16,1,n/a,ornamentation
16,52,1/8,15,2 1/2,4,n/a,match
17,64,1/8,15,2 1/2,1,n/a,match
18,62,1/8,16,2 5/8,1,2,adaptation
19,53,1/4,17,3,4,n/a,match
20,60,1/4,17,3,1,n/a,match
21,69,1/4,17,3,0,n/a,match
22,62,1/16,18,3 1/4,1,n/a,match
23,69,1/16,18,3 1/4,0,n/a,match
24,71,1/16,19,3 5/16,0,n/a,ornamentation
25,72,1/16,20,3 3/8,0,n/a,ornamentation
26,69,1/16,21,3 7/16,0,n/a,ornamentation
27,55,1/16,22,3 1/2,4,n/a,match
28,72,1/16,22,3 1/2,0,3,adaptation
29,71,1/16,23,3 9/16,0,n/a,ornamentation
30,72,1/32,24,3 5/8,0,n/a,ornamentation
31,71,1/32,25,3 21/32,0,n/a,ornamentation
32,69,1/32,26,3 11/16,0,n/a,ornamentation
33,71,1/32,27,3 23/32,0,n/a,ornamentation
34,57,1/4,28,4,3 and 4,n/a,match
35,60,1/4,28,4,1,n/a,match
36,72,1/4,28,4,0,n/a,match
37,53,1/8,29,4 1/4,4,n/a,match
38,57,1/8,29,4 1/4,3,n/a,match
39,71,1/16,30,4 3/8,0,1,adaptation
40,69,1/16,31,4 7/16,0,n/a,ornamentation
