ornament,voice,bar,pitch
S 2 S 1 S -3 S 3 S,1,1 5/16,64
S -1 S 1 T -1 T -2 T 2 T 1 Q,1,1 9/16,64
R 0 S 1 S -1 E,1,2 3/8,64
S 2 S 1 S -3 S 3 S,0,3 5/16,71
S -1 S 1 T -1 T -2 T 2 T 1 Q,0,3 9/16,71
S -2 S,0,4 7/16,69
S -1 S -2 S 2 S 1 S,1,6 5/16,59
R 0 S,2,6 9/16,62
S 2 S,2,6 11/16,66
E -2 S 2 S 2 Q,0,7 3/8,65
S -5 S 2 S 1 S 2 S,2,8 1/16,57
S 5 S 2 S 2 S -7 E,3,8 5/16,60
S -1 S 1 T -1 T -2 T 2 T 1 Q,1,9 9/16,61
S -2 S,2,10 7/16,62
E -2 S 2 S 2 S,0,12 3/8,67
S -2 S 2 T -4 T 2 T 2 T 1 Q,0,12 9/16,69
S -2 S,1,13 7/16,57
S -3 S 1 S 2 S 2 S,0,14 1/16,64
S 2 S -2 S -1 S -2 S,1,14 5/16,67
R 0 S,0,14 9/16,64
T -4 T 2 T 2 T 1 S,0,14 21/32,62
S -3 S 2 T 1 T 2 T 2 T 1 E,0,15 1/16,64
E -3 S 2 S 1 S,1,15 3/8,57
R 0 S,2,15 9/16,62
S 2 S,2,15 11/16,66
S -3 S 1 S 2 S 2 S,0,16 5/16,64
S -2 S 2 T -4 T 2 T 2 T 2 S,0,16 9/16,67
S -5 S 2 S 1 S 2 S,2,17 1/16,57
S -2 S 2 T -2 T 2 T 2 T 1 S,2,17 5/16,60
S -3 S,2,17 9/16,62
R 0 S,1,17 11/16,65
S -2 S,1,18 1/16,65
R 0 T -1 T -2 T -1 S,3,18 5/32,65
R 0 S,1,18 5/16,62
S -2 S 3 S -1 S 1 Q,3,18 9/16,59
S 2 S 1 S -3 S 2 S,0,22 1/16,64
R 0 S 1 S -3 S 3 S,2,22 5/16,66
R 0 S 1 T -1 T -2 T 2 T 1 Q,0,22 9/16,66
S -3 S,2,24 9/16,57
T -2 T 2 T 1 T 2 E,2,24 21/32,57
E -2 S 2 S 2 Q,2,25 1/8,60
S 2 S,0,28 5/16,66
S -1 S 1 T -1 T -2 T 2 T 1 Q,0,28 9/16,66
S -2 S,2,30 1/16,57
S -1 S,2,30 5/16,59
S -2 S,2,30 9/16,55
S -1 S,3,33 11/16,59
S -2 S,3,33 13/16,55
S -1 S,0,35 3/16,71
S -2 S,0,35 5/16,67
R 0 S 1 S 2 S 2 S,3,35 9/16,54
R 0 S,2,35 13/16,60
R 0 S,1,35 15/16,64
S -1 S,2,37 9/16,52
S 2 S,2,37 11/16,55
R 0 S 1 T -1 T -2 T -2 T 0 R,4,37 13/16,52
E -7 S 2 S 1 S -1 S 1 T 2 T 2 T 1 T -1 S,1,39 1/8,59
S -2 S 2 S 2 S -2 S -2 S 2 T -2 T -1 T -2 T -2 W,5,39 9/16,48
