note,pitch,duration,onset,chord,bar,mapped voice,cost,category
0,57,1/4,0/96,0,1,1,n/a,match
1,69,1/4,0/96,0,1,0,n/a,match
2,59,1/4,1/4,1,1 1/4,1,n/a,ficta
3,60,1/4,1/2,2,1 1/2,1,n/a,match
4,62,1/4,3/4,3,1 3/4,1,n/a,match
5,60,1/2,1/1,4,1 1/1,1,n/a,match
6,69,1/2,1/1,4,1 1/1,0,0,repetition
7,62,1/2,3/2,5,1 3/2,1,n/a,match
8,66,1/2,2/1,6,2,0,n/a,ficta
9,60,1/4,5/2,7,2 1/2,1,n/a,match
10,58,1/4,11/4,8,2 3/4,1,n/a,match
11,57,1/2,3/1,9,2 1/1,1,n/a,match
12,66,1/2,3/1,9,2 1/1,0,1,adaptation
13,62,1/2,7/2,10,2 3/2,1,n/a,match
14,55,1/4,4/1,11,3,1,n/a,match
15,67,1/4,4/1,11,3,0,n/a,match
16,57,1/4,17/4,12,3 1/4,1,n/a,match
17,58,1/4,9/2,13,3 1/2,1,n/a,match
18,60,1/4,19/4,14,3 3/4,1,n/a,match
19,58,1/2,5/1,15,3 1/1,1,n/a,match
20,67,1/2,5/1,15,3 1/1,0,0,repetition
21,60,1/2,11/2,16,3 3/2,1,n/a,match
22,67,1/2,6/1,17,4,0,n/a,match
23,58,1/4,13/2,18,4 1/2,1,n/a,match
24,57,1/4,27/4,19,4 3/4,1,n/a,match
25,55,1/2,7/1,20,4 1/1,1,n/a,match
26,67,1/2,7/1,20,4 1/1,0,n/a,match
27,60,1/2,15/2,21,4 3/2,1,n/a,match
28,53,1/2,8/1,22,5,1,n/a,match
29,65,1/2,8/1,22,5,0,n/a,match
30,65,1/4,17/2,23,5 1/2,1,n/a,match
31,67,1/4,35/4,24,5 3/4,0,n/a,match
32,69,1/4,9/1,25,5 1/1,0,n/a,match
33,63,1/4,37/4,26,5 5/4,1,n/a,ficta
34,62,1/4,19/2,27,5 3/2,1,n/a,match
35,70,1/4,19/2,27,5 3/2,0,n/a,match
36,60,1/4,39/4,28,5 7/4,1,n/a,match
37,62,1/4,10/1,29,6,1,n/a,match
38,60,1/4,41/4,30,6 1/4,1,n/a,match
39,72,1/4,41/4,30,6 1/4,0,n/a,match
40,65,1/2,21/2,31,6 1/2,1,n/a,match
41,69,1/2,21/2,31,6 1/2,0,n/a,match
42,67,1/4,11/1,32,6 1/1,0,n/a,match
43,64,1/8,45/4,33,6 5/4,1,n/a,ornamentation
44,62,1/8,91/8,34,6 11/8,1,n/a,ornamentation
45,65,1/8,23/2,35,6 3/2,1,0,repetition
46,64,1/8,93/8,36,6 13/8,1,n/a,ornamentation
47,62,1/8,47/4,37,6 7/4,1,n/a,ornamentation
48,64,1/8,95/8,38,6 15/8,1,n/a,ornamentation
49,65,1/1,12/1,39,7,0 and 1,n/a,match
50,46,1/2,13/1,40,7 1/1,3,n/a,match
51,58,1/2,13/1,40,7 1/1,2,n/a,match
52,62,1/2,13/1,40,7 1/1,1,n/a,match
53,65,1/2,27/2,41,7 3/2,0,n/a,match
54,51,1/1,14/1,42,8,3,n/a,match
55,55,1/1,14/1,42,8,2,3,adaptation
56,58,1/1,14/1,42,8,1,n/a,match
57,67,1/1,14/1,42,8,0,n/a,match
58,51,1/1,15/1,43,8 1/1,3,n/a,match
59,55,1/1,15/1,43,8 1/1,2,n/a,match
60,60,1/1,15/1,43,8 1/1,1,n/a,match
61,67,1/1,15/1,43,8 1/1,0,n/a,match
62,50,1/4,16/1,44,9,3,n/a,match
63,57,1/4,16/1,44,9,2,n/a,match
64,62,1/4,16/1,44,9,1,n/a,match
65,66,1/4,16/1,44,9,0,n/a,ficta
66,67,1/4,65/4,45,9 1/4,1,n/a,ornamentation
67,64,1/8,33/2,46,9 1/2,1,n/a,ornamentation
68,62,1/8,133/8,47,9 5/8,1,n/a,ornamentation
69,64,1/8,67/4,48,9 3/4,1,n/a,ornamentation
70,66,1/8,135/8,49,9 7/8,1,n/a,ornamentation
71,51,1/4,17/1,50,9 1/1,3,n/a,match
72,55,1/4,17/1,50,9 1/1,2,n/a,match
73,58,1/4,17/1,50,9 1/1,1,n/a,match
74,65,1/8,69/4,51,9 5/4,1,n/a,ornamentation
75,63,1/8,139/8,52,9 11/8,1,n/a,ornamentation
76,62,1/8,35/2,53,9 3/2,1,4,adaptation
77,60,1/8,141/8,54,9 13/8,1,n/a,ornamentation
78,58,1/8,71/4,55,9 7/4,1,n/a,ornamentation
79,57,1/8,143/8,56,9 15/8,1,n/a,ornamentation
80,55,1/8,18/1,57,10,1,0,repetition
81,57,1/8,145/8,58,10 1/8,2,n/a,ornamentation
82,58,1/8,73/4,59,10 1/4,2,n/a,ornamentation
83,60,1/8,147/8,60,10 3/8,2,n/a,ornamentation
84,62,1/8,37/2,61,10 1/2,2,4,adaptation
85,64,1/8,149/8,62,10 5/8,0,n/a,ornamentation
86,66,1/8,75/4,63,10 3/4,0,0,repetition
87,67,1/8,151/8,64,10 7/8,0,n/a,ornamentation
88,50,1/4,19/1,65,10 1/1,3,n/a,match
89,57,1/4,19/1,65,10 1/1,2,n/a,match
90,62,1/4,19/1,65,10 1/1,1,n/a,match
91,66,1/4,19/1,65,10 1/1,0,n/a,match
92,64,1/4,77/4,66,10 5/4,0,n/a,ornamentation
93,67,1/4,39/2,67,10 3/2,0,n/a,ornamentation
94,66,1/4,79/4,68,10 7/4,0,n/a,ornamentation
95,55,1/2,20/1,69,11,2,n/a,match
96,67,1/2,20/1,69,11,0,n/a,match
97,58,1/2,41/2,70,11 1/2,1,n/a,match
98,51,1/2,21/1,71,11 1/1,3,n/a,match
99,60,1/2,43/2,72,11 3/2,1,n/a,match
100,48,1/4,22/1,73,12,3,n/a,match
101,57,1/4,89/4,74,12 1/4,1,n/a,match
102,57,1/2,45/2,75,12 1/2,1,n/a,match
103,50,1/4,23/1,76,12 1/1,3,n/a,match
104,53,1/4,93/4,77,12 5/4,1,n/a,match
105,58,1/2,47/2,78,12 3/2,1,n/a,match
106,50,1/2,24/1,79,13,3,n/a,match
107,57,1/2,24/1,79,13,1,n/a,match
108,53,1/2,49/2,80,13 1/2,1,n/a,match
109,50,1/4,25/1,81,13 1/1,3,n/a,match
110,55,1/4,101/4,82,13 5/4,1,n/a,match
111,57,1/4,51/2,83,13 3/2,1,n/a,match
112,59,1/4,103/4,84,13 7/4,1,n/a,ficta
113,48,1/4,26/1,85,14,3,n/a,match
114,60,1/4,26/1,85,14,1,n/a,match
115,50,1/4,105/4,86,14 1/4,3,n/a,match
116,51,1/4,53/2,87,14 1/2,3,n/a,ficta
117,53,1/4,107/4,88,14 3/4,3,n/a,match
118,55,1/4,27/1,89,14 1/1,3,n/a,match
119,58,1/4,27/1,89,14 1/1,1,n/a,match
120,60,1/4,109/4,90,14 5/4,1,n/a,match
121,53,1/2,55/2,91,14 3/2,3,n/a,match
