note,pitch,duration,chord,bar,mapped voice,cost,category
0,50,1/1,0,1,2,n/a,match
1,53,1/1,1,1 1/1,2,n/a,match
2,55,1/2,2,2 1/2,2,n/a,match
3,57,1/2,3,2 1/1,2,n/a,match
4,58,1/2,4,2 3/2,2,n/a,match
5,50,1/2,5,3,1,n/a,match
6,57,1/4,6,3 1/2,2,n/a,match
7,55,1/4,7,3 3/4,2,n/a,match
8,53,1/1,8,3 1/1,1,n/a,match
9,57,1/1,8,3 1/1,2,n/a,match
10,50,1/2,9,4,2,n/a,match
11,55,1/2,10,4 1/2,1,n/a,match
12,50,1/2,11,4 1/1,2,0,repetition
13,57,1/2,11,4 1/1,1,n/a,match
14,58,1/2,12,4 3/2,1,n/a,match
15,50,1/2,13,5,2,0,repetition
16,62,1/2,13,5,0,n/a,match
17,57,1/4,14,5 1/2,1,n/a,match
18,55,1/4,15,5 3/4,1,n/a,match
19,50,1/1,16,5 1/1,2,0,repetition
20,57,1/1,16,5 1/1,1,n/a,match
21,65,1/1,16,5 1/1,0,n/a,match
22,50,1/2,17,6,1,n/a,match
23,67,1/2,18,6 1/2,0,n/a,match
24,69,1/2,19,6 1/1,0,n/a,match
25,55,1/2,20,6 3/2,1,n/a,match
26,70,1/2,20,6 3/2,0,n/a,match
27,53,1/4,21,7 1/2,1,n/a,match
28,69,1/4,21,7 1/2,0,n/a,match
29,52,1/4,22,7 3/4,1,n/a,match
30,67,1/4,22,7 3/4,0,n/a,match
31,53,1/2,23,7 1/1,1,n/a,match
32,69,1/2,23,7 1/1,0,n/a,match
33,55,1/4,24,7 3/2,1,n/a,match
34,57,1/4,25,7 7/4,1,n/a,match
35,58,1/2,26,8,1,n/a,match
36,55,1/2,27,8 1/2,2,n/a,match
37,58,1/2,28,8 1/1,1,0,repetition
38,53,1/4,29,8 3/2,2,n/a,match
39,57,1/4,29,8 3/2,1,n/a,match
40,52,1/4,30,8 7/4,2,n/a,match
41,55,1/4,30,8 7/4,1,n/a,match
42,53,1/2,31,9,2,n/a,match
43,57,1/2,31,9,1,n/a,match
44,55,1/4,32,9 1/2,1 and 2,n/a,match
45,57,1/4,33,9 3/4,2,n/a,match
46,58,1/2,34,9 1/1,2,n/a,match
47,62,1/2,35,9 3/2,0,n/a,match
48,58,1/2,36,10,2,0,repetition
49,57,1/4,37,10 1/2,2,n/a,match
50,60,1/4,37,10 1/2,0,n/a,match
51,55,1/4,38,10 3/4,2,n/a,match
52,58,1/4,38,10 3/4,0,n/a,match
53,57,1/2,39,10 1/1,2,n/a,match
54,60,1/2,39,10 1/1,0,n/a,match
55,50,1/4,40,10 3/2,2,n/a,match
56,62,1/4,40,10 3/2,0,n/a,match
57,64,1/4,41,10 7/4,0,n/a,match
58,50,1/2,42,11,2,n/a,match
59,65,1/2,42,11,0,n/a,match
60,62,1/2,43,11 1/2,1,n/a,match
61,55,1/2,44,11 1/1,2,5,adaptation
62,65,1/2,44,11 1/1,0,0,repetition
63,60,1/4,45,11 3/2,1,n/a,match
64,64,1/4,45,11 3/2,0,n/a,match
65,58,1/4,46,11 7/4,1,n/a,match
66,62,1/4,46,11 7/4,0,n/a,match
67,60,1/2,47,12,1,n/a,match
68,64,1/2,47,12,0,n/a,match
69,58,1/2,48,12 1/2,1,n/a,match
70,62,1/2,48,12 1/2,0,n/a,match
71,67,1/2,49,12 1/1,0,n/a,match
72,57,1/4,50,12 3/2,1,n/a,match
73,55,1/4,51,12 7/4,1,n/a,match
74,62,1/4,52,13 1/1,1,n/a,match
75,66,1/4,52,13 1/1,0,n/a,ficta
76,62,1/8,53,13 5/4,0,n/a,ornamentation
77,64,1/8,54,13 11/8,0,n/a,ornamentation
78,66,1/4,55,13 3/2,0,1,adaptation
79,67,1/4,56,13 7/4,0,0,repetition
80,69,1/4,57,14,0,0,repetition
81,67,1/4,58,14 1/4,0,n/a,ornamentation
82,60,1/4,59,14 1/2,1,n/a,match
83,70,1/4,59,14 1/2,0,0,repetition
84,58,1/4,60,14 3/4,1,n/a,match
85,60,1/2,61,14 1/1,1,n/a,match
86,69,1/4,62,14 3/2,0,n/a,match
87,67,1/4,63,14 7/4,0,n/a,match
88,69,1/2,64,15,0,n/a,match
89,50,1/2,65,15 1/2,2,n/a,match
90,65,1/2,65,15 1/2,1,0,repetition
91,74,1/2,66,15 1/1,0,n/a,match
92,48,1/4,67,15 3/2,2,n/a,match
93,64,1/4,67,15 3/2,1,n/a,match
94,47,1/4,68,15 7/4,2,n/a,ficta
95,62,1/4,68,15 7/4,1,n/a,match
96,48,1/2,69,16,2,n/a,match
97,64,1/2,69,16,1,n/a,match
98,46,1/2,70,16 1/2,2,n/a,match
99,62,1/2,70,16 1/2,1,n/a,match
100,74,1/2,70,16 1/2,0,n/a,match
101,58,1/2,71,16 1/1,2,n/a,match
102,57,1/4,72,16 3/2,2,1,adaptation
103,72,1/4,72,16 3/2,0,n/a,match
104,55,1/4,73,16 7/4,2,3,adaptation
105,70,1/4,73,16 7/4,0,n/a,match
106,57,1/2,74,17,2,1,adaptation
107,72,1/2,74,17,0,n/a,match
108,46,1/2,75,17 1/2,2,n/a,match
109,62,1/2,75,17 1/2,1,n/a,match
110,65,1/2,75,17 1/2,0,n/a,match
111,70,1/2,76,17 1/1,0,n/a,match
112,45,1/4,77,17 3/2,2,n/a,match
113,60,1/4,77,17 3/2,1,n/a,match
114,43,1/4,78,17 7/4,2,n/a,match
115,58,1/4,78,17 7/4,1,n/a,match
116,45,1/2,79,18,2,n/a,match
117,60,1/2,79,18,1,n/a,match
118,43,1/2,80,18 1/2,2,n/a,match
119,58,1/2,80,18 1/2,1,n/a,match
120,70,1/2,80,18 1/2,0,n/a,match
121,55,1/2,81,18 1/1,2,n/a,match
122,69,1/4,82,18 3/2,0,n/a,match
123,67,1/4,83,18 7/4,0,n/a,match
124,53,1/2,84,19,2,2,adaptation
125,69,1/2,84,19,0,n/a,match
126,55,1/2,85,19 1/2,2,n/a,match
127,58,1/2,85,19 1/2,1,n/a,match
128,62,1/2,85,19 1/2,0,n/a,match
129,67,1/2,86,19 1/1,0,n/a,match
130,53,1/4,87,19 3/2,2,n/a,match
131,57,1/4,87,19 3/2,1,n/a,match
132,52,1/4,88,19 7/4,2,n/a,match
133,55,1/4,88,19 7/4,1,n/a,match
134,53,1/2,89,20,2,n/a,match
135,57,1/2,89,20,1,n/a,match
136,55,1/2,90,20 1/2,1 and 2,n/a,match
137,67,1/2,90,20 1/2,0,n/a,match
138,57,1/2,91,20 1/1,2,n/a,match
139,60,1/2,91,20 1/1,1,n/a,match
140,66,1/4,92,20 3/2,0,n/a,ficta
141,64,1/4,93,20 7/4,0,n/a,match
142,66,1/2,94,21,0,n/a,ficta
143,60,1/2,95,21 1/2,1,n/a,match
144,67,1/2,95,21 1/2,0,n/a,match
145,69,1/2,96,21 1/1,0,n/a,match
146,58,1/4,97,21 3/2,1,n/a,match
147,57,1/4,98,21 7/4,1,n/a,match
148,58,1/2,99,22,1,n/a,match
149,62,1/2,99,22,0,n/a,match
150,55,1/2,100,22 1/2,1 and 2,n/a,match
151,58,1/2,101,22 1/1,1,n/a,match
152,67,1/2,101,22 1/1,0,n/a,match
153,53,1/4,102,22 3/2,2,n/a,match
154,57,1/4,102,22 3/2,1,1,adaptation
155,52,1/4,103,22 7/4,2,n/a,match
156,55,1/4,103,22 7/4,1,3,adaptation
157,53,1/2,104,23,2,n/a,match
158,57,1/2,104,23,1,n/a,match
159,55,1/2,105,23 1/2,1 and 2,n/a,match
160,67,1/2,105,23 1/2,0,n/a,match
161,57,1/2,106,23 1/1,2,n/a,match
162,60,1/2,106,23 1/1,1,n/a,match
163,66,1/4,107,23 3/2,0,n/a,ficta
164,64,1/4,108,23 7/4,0,n/a,match
165,66,1/2,109,24,0,n/a,ficta
166,60,1/2,110,24 1/2,1,n/a,match
167,67,1/2,110,24 1/2,0,n/a,match
168,69,1/2,111,24 1/1,0,n/a,match
169,58,1/4,112,24 3/2,1,n/a,match
170,57,1/4,113,24 7/4,1,n/a,match
171,58,1/2,114,25,1,n/a,match
172,62,1/2,114,25,0,n/a,match
173,60,1/2,115,25 1/2,1,n/a,match
174,64,1/2,115,25 1/2,0,n/a,match
175,50,1/2,116,25 1/1,2,n/a,match
176,62,1/2,116,25 1/1,1,n/a,match
177,65,1/2,116,25 1/1,0,n/a,match
178,52,1/2,117,25 3/2,2,n/a,match
179,55,1/2,117,25 3/2,1,n/a,match
180,67,1/2,117,25 3/2,0,n/a,match
181,53,1/4,118,26,2,n/a,match
182,57,1/4,118,26,1,n/a,match
183,65,1/4,119,26 1/4,0,n/a,match
184,55,1/2,120,26 1/2,2,n/a,match
185,58,1/2,120,26 1/2,1,n/a,match
186,62,1/2,120,26 1/2,0,n/a,match
187,48,1/1,121,26 1/1,2,n/a,match
188,60,1/1,121,26 1/1,1,n/a,match
189,64,1/1,121,26 1/1,0,n/a,match
190,55,1/1,122,27,2,n/a,match
191,58,1/1,122,27,1,n/a,match
192,62,1/1,122,27,0,n/a,match
193,55,1/1,123,28 1/1,1,n/a,match
194,55,3/4,124,29,1,n/a,match
195,62,3/4,124,29,0,n/a,match
196,57,1/4,125,29 3/4,1,n/a,ornamentation
197,58,1/2,126,29 1/1,1,n/a,match
198,62,1/2,126,29 1/1,0,n/a,match
199,62,1/4,127,29 3/2,1,n/a,ornamentation
200,60,1/4,128,29 7/4,1,n/a,match
201,62,1/4,129,30,1,n/a,match
202,65,1/4,129,30,0,n/a,match
203,63,1/4,130,30 1/4,1,n/a,match
204,62,1/4,131,30 1/2,1,n/a,match
205,67,1/4,132,30 3/4,0,n/a,match
206,69,1/4,133,30 1/1,0,n/a,match
207,70,1/4,134,30 5/4,0,n/a,match
208,60,1/4,135,30 3/2,1,n/a,match
209,69,1/4,135,30 3/2,0,n/a,match
210,58,1/4,136,30 7/4,1,n/a,match
211,57,1/2,137,31,1,n/a,match
212,67,1/4,138,31 1/2,0,n/a,match
213,65,1/4,139,31 3/4,0,n/a,match
214,55,1/1,140,31 1/1,1,n/a,match
215,64,1/1,140,31 1/1,0,n/a,match
216,43,1/1,141,32,2,n/a,match
217,55,1/1,141,32,1,0,repetition
218,62,1/1,141,32,0,n/a,match
219,43,3/4,142,32 1/1,2,n/a,match
220,50,3/4,142,32 1/1,1,n/a,match
221,62,3/4,142,32 1/1,0,0,repetition
222,45,1/4,143,32 7/4,2,n/a,ornamentation
223,46,1/2,144,33,2,n/a,match
224,50,1/2,144,33,1,n/a,match
225,50,1/4,145,33 1/2,2,n/a,ornamentation
226,48,1/4,146,33 3/4,2,n/a,match
227,50,1/4,147,33 1/1,2,n/a,match
228,53,1/4,147,33 1/1,1,n/a,match
229,51,1/4,148,33 5/4,2,n/a,match
230,50,1/4,149,33 3/2,2,n/a,match
231,55,1/4,150,33 7/4,1,n/a,match
232,57,1/4,151,34,1,n/a,match
233,58,1/4,152,34 1/4,1,n/a,match
234,48,1/4,153,34 1/2,2,n/a,match
235,57,1/4,153,34 1/2,1,n/a,match
236,46,1/4,154,34 3/4,2,n/a,match
237,45,1/2,155,34 1/1,2,n/a,match
238,55,1/4,156,34 3/2,1,n/a,match
239,53,1/4,157,34 7/4,1,n/a,match
240,43,1/1,158,35,2,n/a,match
241,52,1/1,158,35,1,n/a,match
242,43,1/1,159,35 1/1,2,0,repetition
243,50,1/1,159,35 1/1,1,n/a,match
244,62,1/1,159,35 1/1,0,n/a,match
245,50,1/1,160,36,2,n/a,match
246,53,1/1,160,36,1,3,adaptation
247,62,1/1,160,36,0,n/a,match
248,50,3/4,161,36 1/1,2,n/a,match
249,57,3/4,161,36 1/1,1,n/a,match
250,65,3/4,161,36 1/1,0,n/a,match
251,67,1/4,162,36 7/4,0,n/a,match
252,53,1/4,163,37,2,n/a,match
253,57,1/4,163,37,1,n/a,match
254,69,1/4,163,37,0,n/a,match
255,70,1/4,164,37 1/4,0,n/a,match
256,69,1/4,165,37 1/2,0,n/a,match
257,55,1/4,166,37 3/4,2,n/a,match
258,57,1/4,167,37 1/1,2,n/a,match
259,60,1/4,167,37 1/1,1,n/a,match
260,58,1/4,168,37 5/4,2,n/a,match
261,57,1/4,169,37 3/2,2,n/a,match
262,67,1/4,169,37 3/2,0,n/a,match
263,65,1/4,170,37 7/4,0,n/a,match
264,64,1/2,171,38,0,n/a,match
265,55,1/4,172,38 1/2,2,n/a,match
266,58,1/4,172,38 1/2,1,n/a,match
267,53,1/4,173,38 3/4,2,n/a,match
268,57,1/4,173,38 3/4,1,n/a,match
269,52,1/2,174,38 1/1,2,n/a,match
270,55,1/2,174,38 1/1,1,n/a,match
271,67,1/2,174,38 1/1,0,n/a,match
272,52,1/4,175,38 3/2,1,n/a,ornamentation
273,57,1/4,176,38 7/4,1,n/a,match
274,50,1/4,177,39,2,n/a,match
275,58,1/4,177,39,1,n/a,match
276,65,1/4,177,39,0,n/a,match
277,57,1/4,178,39 1/4,1,n/a,match
278,58,1/2,179,39 1/2,1,n/a,match
279,50,1/2,180,39 1/1,2,0,repetition
280,62,1/2,180,39 1/1,0,3,adaptation
281,57,1/4,181,39 3/2,1,n/a,match
282,55,1/4,182,39 7/4,1,n/a,match
283,50,1/2,183,40,2,0,repetition
284,58,1/2,183,40,1,n/a,match
285,62,1/2,183,40,0,0,repetition
286,50,3/8,184,40 1/2,2,n/a,match
287,57,3/8,184,40 1/2,1,n/a,match
288,62,3/8,184,40 1/2,0,n/a,match
289,64,1/8,185,40 7/8,0,n/a,ornamentation
290,50,1/4,186,40 1/1,2,0,repetition
291,57,1/4,186,40 1/1,1,0,repetition
292,65,1/4,186,40 1/1,0,n/a,match
293,62,1/8,187,40 5/4,0,n/a,ornamentation
294,64,1/8,188,40 11/8,0,n/a,ornamentation
295,65,1/8,189,40 3/2,0,0,repetition
296,67,1/8,190,40 13/8,0,n/a,ornamentation
297,69,1/8,191,40 7/4,0,4,adaptation
298,70,1/8,192,40 15/8,0,n/a,ornamentation
299,53,1/4,193,41,2,n/a,match
300,57,1/4,193,41,1,0,repetition
301,69,1/4,193,41,0,n/a,match
302,52,1/4,194,41 1/4,2,1,adaptation
303,53,1/4,195,41 1/2,2,0,repetition
304,55,1/4,196,41 3/4,2,n/a,match
305,57,1/4,197,41 1/1,2,n/a,match
306,60,1/4,197,41 1/1,1,n/a,match
307,58,1/4,198,41 5/4,2,n/a,match
308,57,1/4,199,41 3/2,2,n/a,match
309,67,1/4,199,41 3/2,0,n/a,match
310,65,1/4,200,41 7/4,0,n/a,match
311,64,1/2,201,42,0,n/a,match
312,55,1/4,202,42 1/2,2,n/a,match
313,58,1/4,202,42 1/2,1,n/a,match
314,53,1/4,203,42 3/4,2,n/a,match
315,57,1/4,203,42 3/4,1,n/a,match
316,52,3/4,204,42 1/1,2,n/a,match
317,55,3/4,204,42 1/1,1,n/a,match
318,67,3/4,204,42 1/1,0,n/a,match
319,57,1/4,205,42 7/4,1,n/a,match
320,50,1/4,206,43,2,n/a,match
321,58,1/4,206,43,1,n/a,match
322,66,1/4,206,43,0,n/a,ficta
323,57,1/4,207,43 1/4,1,n/a,match
324,58,1/2,208,43 1/2,1,n/a,match
325,50,1/2,209,43 1/1,2,0,repetition
326,66,1/2,209,43 1/1,0,1,adaptation
327,57,1/4,210,43 3/2,1,n/a,match
328,55,1/4,211,43 7/4,1,n/a,match
329,50,1/2,212,44,2,0,repetition
330,58,1/2,212,44,1,n/a,match
331,66,1/2,212,44,0,1,adaptation
332,57,1/2,213,44 1/2,1,n/a,match
333,50,3/4,214,44 1/1,2,0,repetition
334,62,3/4,214,44 1/1,1,n/a,match
335,66,3/4,214,44 1/1,0,1,adaptation
336,60,1/4,215,44 7/4,1,n/a,match
337,50,1/1,216,45,2,0,repetition
338,57,1/1,216,45,1,n/a,match
339,66,1/1,216,45,0,1,adaptation
