note,pitch,duration,onset,chord,bar,mapped voice,cost,category
0,62,1/1,0/96,0,1,1,n/a,match
1,62,1/2,3/2,1,1 3/2,1,0,repetition
2,50,1/1,2/1,2,2,3,n/a,match
3,65,1/1,2/1,2,2,1,n/a,match
4,69,1/1,2/1,2,2,0,n/a,match
5,65,1/2,3/1,3,2 1/1,1,n/a,match
6,69,1/2,3/1,3,2 1/1,0,0,repetition
7,50,1/2,7/2,4,2 3/2,3,0,repetition
8,57,1/1,4/1,5,3,3,n/a,match
9,64,1/1,4/1,5,3,1,n/a,match
10,72,1/1,4/1,5,3,0,n/a,match
11,57,1/1,5/1,6,3 1/1,3,n/a,match
12,60,1/1,5/1,6,3 1/1,1,n/a,match
13,72,1/1,5/1,6,3 1/1,0,n/a,match
14,55,1/1,6/1,7,4,3,n/a,match
15,62,1/1,6/1,7,4,1,n/a,match
16,71,1/1,6/1,7,4,0,n/a,match
17,52,1/1,7/1,8,4 1/1,3,n/a,match
18,64,1/1,7/1,8,4 1/1,1,n/a,match
19,68,1/1,7/1,8,4 1/1,0,n/a,ficta
20,53,1/2,8/1,9,5,3,n/a,match
21,57,1/2,8/1,9,5,1,n/a,match
22,69,1/2,8/1,9,5,0,n/a,match
23,62,1/2,17/2,10,5 1/2,1,n/a,match
24,55,1/1,9/1,11,5 1/1,3,n/a,match
25,62,1/1,9/1,11,5 1/1,1,n/a,match
26,71,1/1,9/1,11,5 1/1,0,n/a,match
27,57,1/2,10/1,12,6,3,n/a,match
28,60,1/2,10/1,12,6,1,n/a,match
29,64,1/2,10/1,12,6,0,n/a,match
30,53,1/2,21/2,13,6 1/2,3,n/a,match
31,57,1/2,21/2,13,6 1/2,1,n/a,match
32,69,1/2,21/2,13,6 1/2,0,n/a,match
33,53,1/4,11/1,14,6 1/1,3,n/a,match
34,59,1/4,45/4,15,6 5/4,1,n/a,match
35,53,1/4,23/2,16,6 3/2,3,n/a,match
36,60,1/4,23/2,16,6 3/2,1,n/a,match
37,62,1/4,47/4,17,6 7/4,1,n/a,match
38,60,1/2,12/1,18,7,3,n/a,match
39,64,1/2,12/1,18,7,1,n/a,match
40,67,1/2,12/1,18,7,0,n/a,match
41,62,1/2,25/2,19,7 1/2,1 and 3,n/a,match
42,65,1/2,25/2,19,7 1/2,0,n/a,match
43,57,1/2,13/1,20,7 1/1,3,n/a,match
44,64,1/2,13/1,20,7 1/1,0,n/a,match
45,61,1/2,27/2,21,7 3/2,1,n/a,match
