ornament,voice,bar,pitch
R 0 Q,4,8 7/4,52
Q. -8 E 1 Q 2 Q 2 Q,3,9 3/8,52
Q 2 Q 2 Q 1 Q 2 W,3,9 5/4,59
R 0 Q,3,11 3/4,60
Q 10 E -2 E -1 E -2 E -2 E -1 E -2 W,3,12 1/4,67
R 0 E 1 Q 2 Q -2 H,2,13 3/8,59
H -12 Q,1,16 1/2,45
R 0 E,1,17 11/8,61
Q -1 Q,1,17 7/4,61
R 0 Q,0,19 1/4,62
H. 2 Q,1,20 3/4,67
R 0 Q,0,20 7/4,71
R 0 Q,1,23 1/4,60
R 0 Q,1,23 5/4,59
E -1 E -2 E 2 E 1 W,1,23 13/8,59
H -7 Q,1,26 1/2,52
Q -5 E 2 E 1 E 2 E 2 E 2 E 1 Q,3,28 5/4,47
R 0 Q,2,29 1/4,59
Q 2 Q,2,29 3/4,62
Q 2 Q,4,29 5/4,47
Q 2 Q,4,29 7/4,50
Q 2 Q,1,30 5/4,64
R 0 Q,0,35 1/4,69
R 0 E -2 E 3 E,0,35 5/4,68
E -1 E -2 E 2 E 1 W,0,35 13/8,68
R 0 Q,1,38 1/4,62
R 0 Q,0,39 3/4,64
Q 2 Q,1,42 5/4,59
Q 2 Q 1 Q 2 Q 2 Q,4,44 5/4,47
Q 2 Q 2 Q 1 Q 2 Q,0,45 1/4,66
Q -2 Q 3 Q -1 Q 1 H,0,45 5/4,69
R 0 Q,4,48 3/4,54
Q -1 Q,4,48 5/4,54
E -2 E -1 E -2 E 2 H,4,48 13/8,53
Q 5 Q,1,57 7/4,65
Q -1 Q,3,61 3/4,59
Q 3 Q,3,61 7/4,60
R 0 Q,0,63 5/4,66
R 0 E,2,64 15/8,50
Q -4 Q,2,65 1/4,48
R 0 E 2 E 1 E -1 E 1 E -1 E 1 H,2,65 5/4,52
H 7 Q -5 Q 2 Q,2,66 1/2,62
Q -4 Q,2,66 5/4,55
Q 10 E -2 E -1 E -2 E -2 E -1 E -2 H,2,74 1/4,67
R 0 Q,0,75 7/4,71
R 0 Q,0,77 7/4,71
