note,pitch,duration,onset,chord,bar,mapped voice,cost,category
0,46,1/2,0/96,0,1,3,n/a,match
1,50,1/2,1/2,1,1 1/2,1,n/a,match
2,43,1/4,1/1,2,1 1/1,3,n/a,match
3,52,1/4,1/1,2,1 1/1,1,n/a,match
4,50,1/4,5/4,3,1 5/4,1,n/a,match
5,43,1/2,3/2,4,1 3/2,3,0,repetition
6,55,1/2,3/2,4,1 3/2,1,n/a,match
7,45,1/4,2/1,5,2,3,n/a,match
8,54,1/4,9/4,6,2 1/4,1,n/a,ornamentation
9,55,1/4,5/2,7,2 1/2,1,0,repetition
10,54,1/4,11/4,8,2 3/4,1,n/a,ornamentation
11,43,1/2,3/1,9,2 1/1,3,n/a,match
12,55,1/2,3/1,9,2 1/1,1,n/a,match
13,58,1/2,3/1,9,2 1/1,2,n/a,match
14,62,1/2,7/2,10,2 3/2,0,n/a,match
15,55,1/4,4/1,11,3,2,n/a,match
16,64,1/4,4/1,11,3,0,n/a,match
17,62,1/4,17/4,12,3 1/4,0,n/a,match
18,52,1/2,9/2,13,3 1/2,1,n/a,match
19,55,1/2,9/2,13,3 1/2,2,0,repetition
20,67,1/2,9/2,13,3 1/2,0,n/a,match
21,50,1/2,5/1,14,3 1/1,1,n/a,match
22,57,1/2,5/1,14,3 1/1,2,n/a,match
23,62,1/2,5/1,14,3 1/1,0,5,adaptation
24,50,1/2,11/2,15,3 3/2,1,0,repetition
25,57,1/2,11/2,15,3 3/2,2,0,repetition
26,66,1/2,11/2,15,3 3/2,0,n/a,match
27,48,1/2,6/1,16,4,3,n/a,match
28,55,1/2,6/1,16,4,2,n/a,match
29,67,1/2,6/1,16,4,0,n/a,match
30,52,1/2,13/2,17,4 1/2,1,n/a,match
31,45,1/4,7/1,18,4 1/1,3,n/a,match
32,53,1/4,7/1,18,4 1/1,1,n/a,match
33,52,1/4,29/4,19,4 5/4,1,n/a,match
34,45,1/2,15/2,20,4 3/2,3,0,repetition
35,57,1/2,15/2,20,4 3/2,1,n/a,match
36,60,1/2,15/2,20,4 3/2,0,n/a,match
37,46,1/2,8/1,21,5,3,n/a,match
38,62,1/2,8/1,21,5,0,n/a,match
39,55,1/4,17/2,22,5 1/2,1,n/a,match
40,64,1/4,35/4,23,5 3/4,0,n/a,match
41,45,1/2,9/1,24,5 1/1,3,n/a,match
42,57,1/2,9/1,24,5 1/1,1,n/a,match
43,60,1/2,9/1,24,5 1/1,2,n/a,match
44,65,1/2,9/1,24,5 1/1,0,n/a,match
45,60,1/2,19/2,25,5 3/2,2,0,repetition
46,64,1/2,19/2,25,5 3/2,0,n/a,match
47,57,1/4,10/1,26,6,2,n/a,match
48,65,1/4,10/1,26,6,0,n/a,match
49,64,1/4,41/4,27,6 1/4,0,n/a,match
50,53,1/2,21/2,28,6 1/2,1,n/a,match
