ornament,voice,bar,pitch
Q -2 Q 2 Q -3 Q 1 H,0,1 9/4,60
H 0 Q,0,2 1/2,60
E 2 E,0,8 23/8,71
H -7 Q,0,9 5/2,62
Q -3 Q,2,10 1/4,57
R 0 Q,1,10 9/4,57
Q -2 E 2 E 1 H,1,11 1/4,57
R 0 Q,1,11 5/4,59
Q 2 Q,1,11 7/4,62
Q -5 Q,1,11 9/4,59
R 0 Q,3,11 11/4,57
E 1 E,0,13 1/8,70
E 1 E,0,13 3/8,70
E -2 E,0,13 5/8,67
E -1 E,0,13 7/8,64
R 0 Q,2,13 7/4,59
R 0 Q,1,13 11/4,64
E 2 E,0,15 1/8,69
E -2 E,0,15 3/8,65
E 1 E,0,15 5/8,65
E -2 E,0,15 7/8,62
R 0 Q,0,17 9/4,66
H 12 Q,3,18 1/2,62
R 0 Q,2,19 7/4,64
Q -2 Q,2,21 9/4,62
Q 2 Q,2,21 11/4,66
H 0 Q,0,23 1/2,74
E -2 E,2,24 7/8,62
H 3 Q,3,25 1/2,60
Q -1 Q,2,25 9/4,59
Q 2 Q,2,25 11/4,62
E -2 E,2,26 7/8,60
Q -2 Q,2,27 1/4,57
Q -2 Q,2,27 9/4,57
Q 2 Q,2,27 11/4,61
Q 2 Q,3,28 1/4,52
H 4 Q,3,29 1/2,57
