note,pitch,duration,chord,bar,mapped voice,cost,category
0,52,1/1,0,1,3,n/a,match
1,59,1/1,0,1,1,5,adaptation
2,64,1/1,0,1,0 and 1,n/a,match
3,52,1/1,1,1 1/1,3,0,repetition
4,64,1/1,1,1 1/1,1,0,repetition
5,64,1/1,1,1 1/1,0,0,repetition
6,53,1/4,2,2,3,n/a,match
7,60,1/4,2,2,1,n/a,match
8,69,1/4,2,2,0,n/a,match
9,62,1/8,3,2 1/4,1,n/a,ornamentation
10,64,1/8,4,2 3/8,1,n/a,ornamentation
11,65,1/8,5,2 1/2,1,n/a,ornamentation
12,67,1/8,6,2 5/8,1,n/a,ornamentation
13,65,1/8,7,2 3/4,1,n/a,ornamentation
14,64,1/8,8,2 7/8,1,n/a,ornamentation
15,50,1/8,9,2 1/1,3,n/a,match
16,65,1/8,9,2 1/1,1,n/a,match
17,69,1/8,9,2 1/1,0,n/a,match
18,52,1/8,10,2 9/8,3,n/a,ornamentation
19,53,1/8,11,2 5/4,3,n/a,ornamentation
20,55,1/8,12,2 11/8,3,n/a,ornamentation
21,57,1/4,13,2 3/2,3,n/a,ornamentation
22,50,1/4,14,2 7/4,3,n/a,ornamentation
23,52,1/8,15,3,2 and 3,n/a,match
24,64,1/8,15,3,1,n/a,match
25,67,1/8,15,3,0,n/a,match
26,54,1/8,16,3 1/8,3,n/a,ornamentation
27,55,1/8,17,3 1/4,3,n/a,ornamentation
28,57,1/8,18,3 3/8,3,n/a,ornamentation
29,59,1/4,19,3 1/2,3,n/a,ornamentation
30,52,1/4,20,3 3/4,3,n/a,ornamentation
31,52,1/4,21,3 1/1,3,0,repetition
32,67,1/4,21,3 1/1,0,0,repetition
33,55,1/4,22,3 5/4,3,n/a,ornamentation
34,50,1/4,23,3 3/2,3,n/a,match
35,65,1/4,23,3 3/2,0,n/a,match
36,48,1/4,24,3 7/4,3,n/a,match
37,64,1/4,24,3 7/4,0,n/a,match
38,47,1/4,25,4,3,n/a,match
39,62,1/4,25,4,0,n/a,match
40,56,1/4,26,4 1/4,2,n/a,ornamentation
41,57,1/4,27,4 1/2,2,2,adaptation
42,60,1/4,27,4 1/2,0,2,adaptation
43,45,1/4,28,4 3/4,3,n/a,match
44,47,1/4,29,4 1/1,3,n/a,match
45,62,1/4,29,4 1/1,0,n/a,match
46,56,1/4,30,4 5/4,2,n/a,ornamentation
47,57,1/4,31,4 3/2,2,n/a,ornamentation
48,56,1/4,32,4 7/4,2,n/a,ornamentation
49,45,1/2,33,5,3,n/a,match
50,57,1/2,33,5,2,n/a,match
51,60,1/2,33,5,0,n/a,match
52,64,1/2,34,5 1/2,1,n/a,match
53,72,1/2,34,5 1/2,0,n/a,match
54,45,1/2,35,5 1/1,3,0,repetition
55,64,1/2,35,5 1/1,1,n/a,match
56,72,1/2,35,5 1/1,0,n/a,match
57,57,1/4,36,5 3/2,2,n/a,match
58,64,1/4,36,5 3/2,1,n/a,match
59,72,1/4,36,5 3/2,0,n/a,match
60,66,1/4,37,5 7/4,1,n/a,ornamentation
61,55,1/2,38,6,2,n/a,match
62,67,1/2,38,6,1,n/a,match
63,71,1/2,38,6,0,n/a,match
64,52,1/4,39,6 1/2,2,n/a,match
65,71,1/4,39,6 1/2,0,n/a,match
66,72,1/4,40,6 3/4,0,n/a,ornamentation
67,53,1/2,41,6 1/1,2,n/a,match
68,65,1/2,41,6 1/1,1,n/a,match
69,69,1/2,41,6 1/1,0,n/a,match
70,50,1/8,42,6 3/2,2,n/a,match
71,69,1/8,42,6 3/2,0,0,repetition
72,52,1/8,43,6 13/8,2,n/a,ornamentation
73,53,1/8,44,6 7/4,2,n/a,ornamentation
74,55,1/8,45,6 15/8,2,n/a,ornamentation
75,57,1/4,46,7,2,n/a,match
76,60,1/4,46,7,3,n/a,match
77,64,1/4,46,7,1,n/a,match
78,72,1/8,47,7 1/4,0,n/a,ornamentation
79,71,1/8,48,7 3/8,0,n/a,ornamentation
80,69,1/8,49,7 1/2,0,n/a,ornamentation
81,67,1/8,50,7 5/8,0,n/a,ornamentation
82,69,1/8,51,7 3/4,0,n/a,ornamentation
83,71,1/8,52,7 7/8,0,n/a,ornamentation
84,57,1/2,53,7 1/1,2,0,repetition
85,64,1/2,53,7 1/1,1,n/a,match
86,72,1/2,53,7 1/1,0,n/a,match
87,57,1/2,54,7 3/2,2,0,repetition
88,60,1/2,54,7 3/2,3,0,repetition
89,72,1/2,54,7 3/2,0,0,repetition
90,55,1/8,55,8,3,n/a,match
91,62,1/8,55,8,1,n/a,match
92,71,1/8,55,8,0,n/a,match
93,72,1/8,56,8 1/8,2,n/a,ornamentation
94,71,1/8,57,8 1/4,2,n/a,ornamentation
95,72,1/8,58,8 3/8,2,n/a,ornamentation
96,71,1/8,59,8 1/2,2,n/a,ornamentation
97,69,1/8,60,8 5/8,2,n/a,ornamentation
98,67,1/8,61,8 3/4,2,n/a,ornamentation
99,65,1/8,62,8 7/8,2,n/a,ornamentation
100,57,1/2,63,8 1/1,3,n/a,match
101,60,1/2,63,8 1/1,1,n/a,match
102,64,1/2,63,8 1/1,2,7,adaptation
103,69,1/2,64,8 3/2,0,0,repetition
104,52,1/4,65,9,3,n/a,match
105,59,1/4,65,9,1,n/a,match
106,69,1/4,66,9 1/4,0,n/a,ornamentation
107,68,1/4,67,9 1/2,0,n/a,ficta
108,66,1/4,68,9 3/4,0,n/a,ficta
109,52,1/2,69,9 1/1,3,0,repetition
110,59,1/2,69,9 1/1,1,0,repetition
111,68,1/2,69,9 1/1,0,n/a,ficta
112,52,1/2,70,9 3/2,3,0,repetition
113,59,1/2,70,9 3/2,1,0,repetition
114,68,1/2,70,9 3/2,0,1,adaptation
115,60,1/4,71,10,2,n/a,match
116,64,1/4,71,10,1,n/a,match
117,72,1/8,72,10 1/4,0,n/a,ornamentation
118,71,1/8,73,10 3/8,0,n/a,ornamentation
119,69,1/8,74,10 1/2,0,n/a,ornamentation
120,67,1/8,75,10 5/8,0,n/a,ornamentation
121,69,1/8,76,10 3/4,0,n/a,ornamentation
122,71,1/8,77,10 7/8,0,n/a,ornamentation
123,60,1/2,78,10 1/1,2,0,repetition
124,64,1/2,78,10 1/1,1,0,repetition
125,72,1/2,78,10 1/1,0,n/a,match
126,60,1/2,79,10 3/2,2,0,repetition
127,64,1/2,79,10 3/2,1,0,repetition
128,72,1/2,79,10 3/2,0,0,repetition
