ornament,voice,bar,pitch
Q 2 E 2 E 1 E 2 E -2 E -1 E 1 E,1,2 1/4,62
E 2 E 1 E 2 E 2 Q -7 Q 2 E,3,2 9/8,52
E 2 E 1 E 2 E 2 Q -7 Q 0 Q,3,3 1/8,54
Q 3 Q,3,3 5/4,55
R 0 Q,2,4 1/4,56
R 0 Q 1 Q -1 Q 1 H,2,4 5/4,56
Q 2 Q,1,5 7/4,66
Q 1 Q,0,6 3/4,72
E 2 E 1 E 2 E 2 Q,2,6 13/8,52
R 0 E -1 E -2 E -2 E 2 E 2 E 1 H,0,7 1/4,72
R 0 E -1 E 1 E -1 E -2 E -2 E -2 E -1 H,2,8 1/8,72
R 0 Q,0,9 1/4,69
R 0 E -1 E -2 E -2 E 2 E 2 E 1 H,0,10 1/4,72
E 1 E -1 E 1 E -1 E -2 E -2 E -2 E -1 H,0,11 1/8,72
R 0 Q,0,12 1/4,69
Q -3 E 2 E 1 E,1,13 1/4,62
E -1 E 1 E 2 E -2 H,1,13 5/8,64
E 1 E -1 E 1 E -1 E,1,14 1/8,65
R 0 E -2 E -1 E -2 Q,2,14 5/8,62
Q -3 E 2 E 1 E -1 E 1 E 2 E -3 H,0,14 5/4,62
Q -3 E 2 E 1 E,1,15 5/4,57
R 0 E 1 E 2 E 2 H,2,15 13/8,59
R 0 Q,2,16 7/4,62
Q 5 E 2 E 1 Q -2 Q -1 Q,1,17 5/4,64
Q 1 Q -1 E 1 E -1 E -2 E 2 H,1,18 1/4,65
R 0 E 2 E 2 E,0,19 5/4,72
E -2 E 2 E -4 E 2 Q,0,19 13/8,74
R 0 E 2 E 1 Q -1 Q 1 H,1,20 1/4,62
Q -2 Q,0,21 1/4,69
R 0 Q 1 Q -1 Q 1 Q,0,21 5/4,68
Q -2 E -1 E 3 Q -2 Q 2 H,2,22 1/4,60
Q -2 Q,2,23 1/4,57
Q 6 Q 1 Q -1 Q 1 W,2,23 5/4,56
R 0 Q 1 Q 2 Q 2 H,1,24 5/4,59
R 0 Q,0,25 7/4,64
Q -1 Q,3,26 7/4,52
Q 7 E -1 E -2 Q,1,27 5/4,72
R 0 Q,0,27 7/4,71
Q -2 E -2 E -1 Q,1,28 5/4,67
Q 2 Q,1,28 7/4,66
R 0 E 2 E 1 E -1 E -2 E -2 E -1 H,2,29 5/4,62
H -12 Q,2,31,48
R 0 Q,2,31 5/4,56
Q -1 Q,2,31 7/4,56
Q -1 E -2 E 3 Q -1 Q 1 Q,0,32 1/4,71
Q 2 Q,1,32 5/4,62
Q 2 Q,1,32 7/4,66
Q -1 Q,0,33 3/4,71
Q -3 E 2 E 1 E,2,33 5/4,50
E -1 E 1 E 2 E 2 H,2,33 13/8,52
Q 2 Q 2 E -2 E -2 E -1 E -2 Q,2,35 1/4,62
Q -3 E 2 E 1 E -1 E 1 E,0,35 5/4,62
E 2 E,0,35 15/8,67
Q 2 Q 2 E -2 E -2 E -1 E -2 Q,2,37 1/4,62
Q -3 E 2 E 1 E -1 E 1 E,0,37 5/4,62
E 2 E,0,37 15/8,67
Q 2 Q,0,38 3/4,66
