note,pitch,duration,chord,bar,mapped voice,cost,category
0,67,1/2,0,1,0 and 1,n/a,match
1,67,1/4,1,1 1/2,1,0,repetition
2,67,1/4,2,1 3/4,1,0,repetition
3,55,3/16,3,2,2,n/a,match
4,67,3/16,3,2,0 and 1,n/a,match
5,65,1/16,4,2 3/16,0,n/a,ornamentation
6,64,1/16,5,2 1/4,0,n/a,ornamentation
7,65,1/16,6,2 5/16,0,n/a,ornamentation
8,67,1/16,7,2 3/8,0,n/a,ornamentation
9,69,1/16,8,2 7/16,0,n/a,ornamentation
10,55,1/8,9,2 1/2,2,0,repetition
11,67,1/8,9,2 1/2,1,n/a,match
12,70,1/8,9,2 1/2,0,n/a,match
13,69,1/8,10,2 5/8,0,n/a,ornamentation
14,67,1/8,11,2 3/4,0,n/a,ornamentation
15,69,1/8,12,2 7/8,0,n/a,ornamentation
16,55,1/8,13,3,2,n/a,match
17,67,1/8,13,3,1,0,repetition
18,70,1/8,13,3,0,0,repetition
19,55,1/16,14,3 1/8,1,n/a,ornamentation
20,57,1/16,15,3 3/16,1,n/a,ornamentation
21,58,1/16,16,3 1/4,1,n/a,ornamentation
22,60,1/16,17,3 5/16,1,n/a,ornamentation
23,62,1/16,18,3 3/8,1,n/a,ornamentation
24,64,1/16,19,3 7/16,1,n/a,ornamentation
25,62,1/8,20,3 1/2,2,n/a,match
26,65,1/8,20,3 1/2,1,n/a,match
27,69,1/8,20,3 1/2,0,n/a,match
28,60,1/8,21,3 5/8,2,n/a,ornamentation
29,62,1/4,22,3 3/4,2,0,repetition
30,55,1/8,23,4,4,n/a,match
31,62,1/8,23,4,2,0,repetition
32,60,1/16,24,4 1/8,1,n/a,ornamentation
33,62,1/16,25,4 3/16,1,n/a,ornamentation
34,64,1/16,26,4 1/4,1,n/a,ornamentation
35,66,1/16,27,4 5/16,1,n/a,ornamentation
36,67,1/16,28,4 3/8,1,n/a,ornamentation
37,69,1/16,29,4 7/16,1,n/a,ornamentation
38,55,1/8,30,4 1/2,4,0,repetition
39,62,1/8,30,4 1/2,2,n/a,match
40,67,1/8,30,4 1/2,1,n/a,match
41,65,1/16,31,4 5/8,4,n/a,ornamentation
42,64,1/16,32,4 11/16,4,n/a,ornamentation
43,62,1/16,33,4 3/4,4,n/a,ornamentation
44,60,1/16,34,4 13/16,4,n/a,ornamentation
45,58,1/16,35,4 7/8,4,n/a,ornamentation
46,57,1/16,36,4 15/16,4,n/a,ornamentation
47,43,1/8,37,5,5,n/a,match
48,55,1/8,37,5,4,n/a,match
49,67,1/8,37,5,1,n/a,match
50,54,1/8,38,5 1/8,4,n/a,ornamentation
51,55,1/8,39,5 1/4,4,n/a,ornamentation
52,57,1/8,40,5 3/8,4,n/a,ornamentation
53,43,3/16,41,5 1/2,5,0,repetition
54,58,3/16,41,5 1/2,4,n/a,match
55,67,3/16,41,5 1/2,1,n/a,match
56,57,1/16,42,5 11/16,4,n/a,ornamentation
