ornament,voice,bar,pitch
E. -2 S -1 S 1 S 2 S 2 S 1 E,0,2 3/16,65
E -1 E -2 E 2 E 1 E,0,2 5/8,69
E -12 S 2 S 1 S 2 S 2 S 2 S 1 E,1,3 1/8,55
E -2 E,2,3 5/8,60
R 0 S 2 S 2 S 2 S 1 S 2 S -2 E,1,4 1/8,60
E 10 S -1 S -2 S -2 S -2 S -1 S -2 E,4,4 5/8,65
E -1 E 1 E 2 E 1 E.,4,5 1/8,54
E. -1 S -2 S 2 S 1 S 2 S -2 E,4,5 11/16,57
E 2 E 1 E 2 E 2 E,5,6 1/8,45
R 0 S 1 S 2 S 2 S 1 S 2 S 2 H,0,6 5/8,64
E -2 E 2 E 2 E -2 E.,0,7 5/8,72
E. -2 S 2 S 2 S 1 S 2 S -2 E,3,8 3/16,60
E 2 E 1 E -1 E -2 E.,0,8 5/8,76
E. -2 S 2 S 2 S 1 S 2 S 2 E,2,9 3/16,48
R 0 E,4,9 5/8,55
E 1 S 2 S 2 S -2 S -2 S -1 S 1 E.,4,11 1/8,58
E. -1 S -2 S 2 S 1 S 2 S -2 S,4,11 11/16,57
S 4 S -2 S -2 S 2 S -2 S -1 S -2 S 2 E.,4,12 1/16,62
E. -2 S 2 S 2 S 1 S 2 S -2 Q,5,12 11/16,43
R 0 S 2 S 1 S -1 S -2 S -2 S -1 Q,1,13 5/8,55
R 0 S 1 S 2 S 2 E,0,14 13/16,64
E -2 S 2 S 1 E,0,15 1/8,67
E -1 S 1 S 2 E.,0,15 3/8,69
E. -2 S 2 S 2 S 1 S 2 S -2 Q,5,15 11/16,43
E 3 E,3,16 5/8,67
E -1 E,3,16 7/8,64
E -2 S 2 S 2 S,2,17 1/8,53
S -2 S 2 T -2 T -2 T 2 T 2 E,2,17 5/16,55
E 1 S 2 S 2 S -2 S -2 S -1 S -2 Q,2,17 5/8,58
E 2 E,2,18 5/8,66
E -1 S 1 S 2 S,2,19 1/8,66
R 0 S,0,19 5/16,67
R 0 T -1 T -2 T 2 E,2,19 13/32,67
E 1 E,2,19 5/8,67
E -1 E,2,19 7/8,66
E 2 E,0,20 5/8,69
R 0 E,0,21 1/8,70
E. 1 S -1 S 1 S 2 S -3 S 1 Q,2,21 11/16,67
E 2 E,1,22 5/8,66
S 3 S -1 S -2 S 2 S,2,23 1/16,70
R 0 S,1,23 5/16,67
S -1 S,1,23 7/16,64
E. 7 S -2 S -2 S -2 S -1 S -2 Q,4,23 11/16,64
E 1 E,5,24 5/8,53
S 2 S 1 T -1 T 1 T 2 T -2 E,2,24 13/16,57
R 0 E,5,25 1/8,55
E -3 S 2 S 1 S -3 S 2 S 1 S 2 Q,0,25 5/8,62
E 4 E,3,28 1/8,69
S -2 S,3,28 5/16,65
S -2 S,3,28 7/16,62
E. -2 S -1 S 1 S 2 S 2 S 1 Q,0,28 11/16,65
E -2 S 2 S -2 E,0,30 1/8,67
E -2 S 2 S 2 E,0,30 3/8,65
E -2 S 2 S 1 E,0,30 5/8,67
E -3 S 2 S 1 E,0,30 7/8,67
E. 2 S 2 S -2 S 2 S -4 S 2 E.,1,31 11/16,62
E. -1 S -2 S 2 S 1 S 2 S -2 E,0,32 3/16,64
E 0 S 1 S 2 S -2 S 2 T -2 T 2 T -3 T 1 Q,4,32 5/8,57
S -1 S 1 T -1 T 1 T 2 T -2 E,4,34 13/16,57
E -2 S -2 S -1 S 1 S 2 S 2 S 1 Q,3,35 5/8,62
E -2 S 2 S 1 E,3,37 5/8,62
E -1 S 3 S -2 E,3,37 7/8,64
E -2 S 2 S 2 S -2 S 2 T -2 T -2 T 2 T 2 E.,1,38 5/8,53
E. -1 S -2 S 2 S 1 S 2 S -2 E,3,39 3/16,59
E -2 S 2 S 1 S -1 S 1 T -1 T -2 T 2 T -2 Q,0,39 5/8,67
R 0 E,0,40 7/8,70
E 2 T -2 T -1 T 1 T 2 E,1,41 5/8,60
R 0 E,3,41 7/8,62
E -2 S 2 S 1 S -1 S -2 S -1 S 1 E.,1,42 5/8,55
E. -8 S 1 S 2 S 1 S 2 S 2 E,2,43 3/16,54
E -10 S 2 S 2 S 1 S 2 S 2 S 1 Q,0,43 5/8,60
E 2 T -2 T -1 T 1 T 2 Q,2,45 5/8,60
E. -2 S -2 S 2 S 2 S 2 S -2 Q,3,46 11/16,60
E -1 E,3,47 5/8,64
E 3 E,3,47 7/8,65
E -12 S 2 S 2 S 1 S 2 S 2 S 1 Q,0,49 5/8,60
E 1 S 2 S 2 S -2 S -2 S -1 S -2 S,2,51 1/8,58
R 0 S -2 S -2 S 2 S,3,51 9/16,62
R 0 S -1 S -2 S -2 Q,2,51 13/16,58
E 2 S -2 S 0 E,1,52 3/8,57
R 0 S,2,52 11/16,55
S -2 S,2,52 13/16,55
S -3 S,2,52 15/16,54
E -2 S 2 S 1 S -1 S -2 S -1 S 1 E,4,54 1/8,55
R 0 S 2 S 2 S,3,54 5/8,58
R 0 S 1 S 2 S 2 E,0,54 13/16,64
E -2 S 2 S -2 E,0,55 1/8,67
E -1 S 1 S 0 E,0,55 3/8,66
S -2 S,0,55 11/16,64
S -4 S,0,55 13/16,62
T -2 T 2 T 2 T 1 Q,0,55 29/32,62
E -2 S 2 S 2 S -2 S -2 S -1 S -2 Q,5,57 1/8,46
E. -2 S 22 E -18 E,1,58 11/16,50
R 0 S 1 S -1 S -2 S -1 S 1 E,4,59 3/16,57
E 0 S -2 S -1 S 1 S 2 S 2 S -2 Q,0,59 5/8,67
E -7 S 2 S 1 S 2 S 2 S,3,61 1/8,55
R 0 S,2,61 7/16,64
R 0 S 2 S -2 S -2 S -1 S -2 Q,1,61 11/16,60
S -1 S -2 S 3 S -1 E,0,63 9/16,69
E. -1 S -2 S 2 S 1 S,5,64 3/16,45
S 2 S,5,64 7/16,48
E. -2 S 2 S 1 S 2 T -2 T 2 T -3 T 1 Q,4,64 11/16,55
E -1 E,5,66 1/8,45
E -1 E 1 E 2 E,1,67 1/8,52
E -2 S -2 S -1 S 1 S 2 S 2 S 1 Q,3,67 5/8,62
E -3 E 3 E 2 E,1,69 1/8,50
R 0 S 2 S 2 S -2 S -2 S -1 S 1 Q,2,69 5/8,58
E 2 S -2 S -1 S,4,71 1/8,57
S 1 S 2 S 1 S -1 E.,4,71 5/16,55
R 0 S -1 S 1 S 2 S 2 S -2 Q,3,71 11/16,58
R 0 S -2 S 2 S 1 S 2 S 2 Q,3,72 11/16,57
E. -2 S -2 S 2 S 2 S 1 S -1 Q,3,74 11/16,62
R 0 S -2 S -2 S -2 S -1 S -2 Q,4,75 11/16,64
E 1 S -1 S -2 S 2 S 1 S 2 S -2 E.,4,77 1/8,58
E. -1 S -2 S 2 S 1 S 2 S -2 S,4,77 11/16,57
S 10 S -1 S -2 S -2 S -2 S 2 T -2 T -1 T -2 T -2 Q,1,78 1/16,65
E. -2 S 2 S -2 S -1 S -2 S 2 Q,0,80 3/16,70
E. -2 S 2 S -2 S -1 S -2 S 2 E,0,81 11/16,70
R 0 S 2 S 1 S,3,82 1/8,62
R 0 S,0,82 5/16,67
S 1 S,0,82 7/16,70
E -2 S 2 S 1 Q,0,82 5/8,67
S -2 S,3,83 11/16,60
S 1 S,3,83 13/16,60
R 0 S,0,83 15/16,64
E. -1 S -2 S 2 S 1 S 2 S -2 E,0,84 3/16,64
E -2 E 2 S -2 S -2 S -1 S 1 E,5,84 5/8,48
E -1 S -2 S -2 S 2 S 2 S 1 S 2 E,4,85 1/8,52
E -2 S 2 S 2 S -2 S 2 T -2 T -2 T 2 T 2 E,4,85 5/8,53
E -2 E,5,86 1/8,46
E -2 S -2 S -1 S 1 S 2 S 2 S 1 E,0,86 5/8,67
E -8 S 2 S 1 S 2 S 2 S 1 S 2 Q,0,87 1/8,62
E -2 S -2 S -1 S 1 S 2 S 2 S 2 E,3,88 5/8,60
E -2 S 2 S 2 S -2 S -2 S 2 S 2 E,1,89 1/8,53
E -3 S 1 S 2 S -3 S 1 S 2 S 2 Q,3,89 5/8,57
E. -1 S -2 S 2 S 1 S 2 S -2 Q,2,91 11/16,57
E -1 S 1 S 2 S,5,92 5/8,50
S -2 S -1 S -2 S 2 E,5,92 13/16,51
R 0 S 1 S -1 E,4,93 1/8,57
E 1 E,4,93 3/8,58
R 0 E,4,93 7/8,55
E 1 E,4,94 1/8,55
E -1 E,4,94 3/8,54
E 2 S -2 S -2 S,3,97 5/8,64
R 0 S 2 S 1 S 2 Q,0,97 13/16,62
E -7 S 2 S 1 S 2 S 2 S 2 S 1 E.,0,98 5/8,55
E. -1 S -2 S 2 S 1 S,0,99 3/16,64
S 2 S,0,99 7/16,67
E -2 S -2 S 2 S,0,99 5/8,67
S -2 S -1 S -2 S 2 E,0,99 13/16,65
E 1 E,0,100 1/8,65
R 0 S -2 S -2 S,3,100 5/8,66
R 0 S,0,100 13/16,64
S 1 S,0,100 15/16,67
R 0 S -1 S -2 S -2 E,3,101 1/16,67
E -1 E,0,101 3/8,66
E -2 S 2 S 2 S -2 S -2 S -1 S 1 Q,5,102 5/8,46
E. -2 S -2 S 2 S 2 S,2,103 11/16,50
S 1 S,2,103 15/16,53
E 2 E,0,104 3/8,69
E 0 S 2 S 2 S,1,104 5/8,58
R 0 S 1 S 2 S 2 Q,0,104 13/16,64
R 0 E,1,106 7/8,58
E. -2 S,0,109 11/16,70
S -2 S -1 S -2 S 2 E,0,109 13/16,70
E -7 S 2 S 1 S 2 S 2 S 1 S -1 E,0,110 1/8,62
E -2 E,0,110 5/8,67
Q -3 E 2 E 1 E.,0,111 1/4,67
E. 7 S -2 S -2 S -1 S -2 S 2 Q,3,111 11/16,69
E 2 S 2 S 1 S,3,113 1/8,62
R 0 S 2 S 1 S 2 E,0,113 5/16,67
E -1 E,0,113 5/8,71
E -7 S 2 S 1 S 2 S 2 S 1 S -1 E,0,114 1/8,62
E -2 E,0,114 5/8,67
E -1 S -2 S -2 S,0,117 1/8,71
R 0 S,3,117 5/16,65
S -2 S,3,117 7/16,62
E 2 E,0,117 7/8,69
E -10 S 2 S 2 S 1 S 2 S 2 S 1 Q.,0,118 1/8,60
E. -1 S -2 S 2 S 1 S 2 S -2 Q,1,119 3/16,57
