note,pitch,duration,onset,chord,bar,mapped voice,cost,category
0,55,1/2,0/96,0,1,2,n/a,match
1,58,1/2,0/96,0,1,4,n/a,match
2,55,1/16,1/2,1,1 1/2,2,0,repetition
3,58,1/16,1/2,1,1 1/2,4,0,repetition
4,62,1/16,9/16,2,1 9/16,4,n/a,ornamentation
5,60,1/16,5/8,3,1 5/8,4,n/a,ornamentation
6,58,1/16,11/16,4,1 11/16,4,n/a,ornamentation
7,60,1/16,3/4,5,1 3/4,4,n/a,ornamentation
8,58,1/16,13/16,6,1 13/16,4,n/a,ornamentation
9,53,1/16,7/8,7,1 7/8,4,n/a,ornamentation
10,55,1/16,15/16,8,1 15/16,4,n/a,ornamentation
11,53,3/16,1/1,9,2,4,n/a,match
12,57,3/16,1/1,9,2,2,n/a,match
13,55,1/16,19/16,10,2 3/16,2,n/a,ornamentation
14,53,1/16,5/4,11,2 1/4,2,n/a,ornamentation
15,52,1/16,21/16,12,2 5/16,2,n/a,ornamentation
16,50,1/16,11/8,13,2 3/8,2,n/a,ornamentation
17,48,1/16,23/16,14,2 7/16,2,n/a,ornamentation
18,50,1/8,3/2,15,2 1/2,2,n/a,match
19,53,1/8,3/2,15,2 1/2,4,0,repetition
20,48,1/8,13/8,16,2 5/8,2,n/a,ornamentation
21,50,1/4,7/4,17,2 3/4,2,0,repetition
22,52,1/4,2/1,18,3,2,n/a,match
23,55,1/4,2/1,18,3,4,n/a,match
24,48,1/16,9/4,19,3 1/4,2,n/a,ornamentation
25,50,1/16,37/16,20,3 5/16,2,n/a,ornamentation
26,52,1/16,19/8,21,3 3/8,2,n/a,ornamentation
27,53,1/16,39/16,22,3 7/16,2,n/a,ornamentation
28,52,1/8,5/2,23,3 1/2,2,0,repetition
29,55,1/8,5/2,23,3 1/2,4,0,repetition
30,50,1/8,21/8,24,3 5/8,2,n/a,ornamentation
31,52,1/8,11/4,25,3 3/4,2,0,repetition
32,55,1/8,11/4,25,3 3/4,4,0,repetition
33,53,1/8,23/8,26,3 7/8,2,n/a,ornamentation
34,43,3/16,3/1,27,4,5,n/a,match
35,55,3/16,3/1,27,4,1 and 2 and 4,n/a,match
36,58,3/16,3/1,27,4,3,n/a,match
37,62,3/16,3/1,27,4,3,4,adaptation
38,57,1/16,51/16,28,4 3/16,3,n/a,ornamentation
39,55,1/16,13/4,29,4 1/4,3,n/a,ornamentation
40,57,1/16,53/16,30,4 5/16,3,n/a,ornamentation
41,58,1/16,27/8,31,4 3/8,3,n/a,ornamentation
42,60,1/16,55/16,32,4 7/16,3,n/a,ornamentation
43,43,1/8,7/2,33,4 1/2,5,0,repetition
