note,pitch,duration,chord,bar,mapped voice,cost,category
0,43,1/2,0,1,4,n/a,match
1,55,1/2,0,1,3,n/a,match
2,43,1/4,1,1 1/2,4,0,repetition
3,55,1/4,1,1 1/2,3,0,repetition
4,45,1/4,2,1 3/4,4,n/a,match
5,46,1/8,3,2,4,n/a,match
6,55,1/8,3,2,3,0,repetition
7,43,1/8,4,2 1/8,4,n/a,ornamentation
8,45,1/8,5,2 1/4,4,n/a,ornamentation
9,46,1/8,6,2 3/8,4,n/a,ornamentation
10,48,1/8,7,2 1/2,4,n/a,match
11,55,1/8,7,2 1/2,3,0,repetition
12,46,1/16,8,2 5/8,4,n/a,ornamentation
13,48,1/16,9,2 11/16,4,n/a,ornamentation
14,50,1/16,10,2 3/4,4,n/a,ornamentation
15,48,1/16,11,2 13/16,4,n/a,ornamentation
16,46,1/16,12,2 7/8,4,n/a,ornamentation
17,45,1/16,13,2 15/16,4,n/a,ornamentation
18,46,1/2,14,3,4,n/a,match
19,55,1/2,14,3,3,n/a,match
20,43,1/2,15,3 1/2,4,n/a,match
21,55,1/2,15,3 1/2,3,0,repetition
22,43,1/4,16,4,5,n/a,match
23,55,1/4,16,4,3,n/a,match
24,58,1/4,16,4,4,15,adaptation
25,43,1/16,17,4 1/4,5,n/a,ornamentation
26,45,1/16,18,4 5/16,5,n/a,ornamentation
27,46,1/16,19,4 3/8,5,n/a,ornamentation
28,48,1/16,20,4 7/16,5,n/a,ornamentation
29,43,1/4,21,4 1/2,5,0,repetition
30,55,1/4,21,4 1/2,3,0,repetition
31,45,1/4,22,4 3/4,5,n/a,match
32,48,1/4,22,4 3/4,4,n/a,match
33,46,1/8,23,5,5,n/a,match
34,50,1/8,23,5,4,n/a,match
35,55,1/8,23,5,3,0,repetition
36,43,1/8,24,5 1/8,5,n/a,ornamentation
37,45,1/8,25,5 1/4,5,n/a,ornamentation
38,46,1/8,26,5 3/8,5,n/a,ornamentation
39,48,1/8,27,5 1/2,5,n/a,match
40,51,1/8,27,5 1/2,4,n/a,match
41,55,1/8,27,5 1/2,3,0,repetition
42,50,1/16,28,5 5/8,4,n/a,ornamentation
43,51,1/16,29,5 11/16,4,n/a,ornamentation
44,53,1/16,30,5 3/4,4,n/a,ornamentation
45,51,1/16,31,5 13/16,4,n/a,ornamentation
46,50,1/16,32,5 7/8,4,n/a,ornamentation
47,48,1/16,33,5 15/16,4,n/a,ornamentation
48,46,1/2,34,6,5,n/a,match
49,50,1/2,34,6,4,n/a,match
50,55,1/2,34,6,3,n/a,match
51,43,3/16,35,6 1/2,5,n/a,match
52,50,3/16,35,6 1/2,4,0,repetition
53,55,3/16,35,6 1/2,3,0,repetition
54,53,1/16,36,6 11/16,5,n/a,ornamentation
55,55,1/16,37,6 3/4,5,n/a,ornamentation
56,57,1/16,38,6 13/16,5,n/a,ornamentation
57,58,1/16,39,6 7/8,5,n/a,ornamentation
58,60,1/16,40,6 15/16,5,n/a,ornamentation
59,43,1/4,41,7,4,n/a,match
60,55,1/4,41,7,3,n/a,match
61,58,1/4,41,7,5,15,adaptation
62,52,1/16,42,7 1/4,5,n/a,ornamentation
63,53,1/16,43,7 5/16,5,n/a,ornamentation
64,55,1/16,44,7 3/8,5,n/a,ornamentation
65,57,1/16,45,7 7/16,5,n/a,ornamentation
66,43,1/4,46,7 1/2,4,0,repetition
67,55,1/4,46,7 1/2,3,0,repetition
68,58,1/4,46,7 1/2,5,12,adaptation
69,45,1/4,47,7 3/4,4,n/a,match
70,48,1/4,47,7 3/4,5,n/a,match
71,46,1/4,48,8,4,n/a,match
72,50,1/4,48,8,5,n/a,match
73,55,1/4,48,8,3,0,repetition
74,43,1/4,49,8 1/4,4,n/a,match
75,51,1/8,50,8 1/2,5,n/a,match
76,55,1/8,50,8 1/2,4,n/a,match
77,63,1/16,51,8 5/8,4,n/a,ornamentation
78,62,1/16,52,8 11/16,4,n/a,ornamentation
79,60,1/16,53,8 3/4,4,n/a,ornamentation
80,58,1/16,54,8 13/16,4,n/a,ornamentation
81,57,1/16,55,8 7/8,4,n/a,ornamentation
82,55,1/16,56,8 15/16,4,n/a,ornamentation
