ornament,voice,bar,pitch
S 2 S 1 T -1 T 1 T 2 T -2 E,2,2 1/16,57
E 14 E,2,3 1/8,69
E 0 E,2,3 3/8,67
S -2 S,2,3 11/16,64
S 1 S,2,3 13/16,67
S 2 S,2,3 15/16,66
E -1 E -2 S 2 S 1 S,1,5 5/8,64
S 2 S,1,5 15/16,67
E -2 S 2 S 2 Q,0,7 1/8,70
R 0 E,0,7 5/8,74
E 2 E,2,9 3/8,57
R 0 E,0,9 5/8,70
E -1 E,3,12 1/8,57
E 3 E,4,12 3/8,46
E. -1 S -2 S 2 S 1 S 2 S -2 Q,3,13 3/16,57
E -15 S 14 S 1 S,1,16 1/8,43
R 0 S,2,16 5/16,60
S 2 S,2,16 7/16,64
Q 19 E,4,17,69
R 0 S 2 S 1 Q,0,17 3/8,67
E -2 S 2 S 2 T -2 T -2 T 2 T 2 T -2 T -2 T -1 T 1 Q,0,19 1/8,65
Q 7 E,4,20,57
E -15 S 14 S 1 S,3,20 5/8,43
R 0 S,2,20 13/16,60
S 2 S,2,20 15/16,64
E -2 E,4,23 1/8,50
S 2 S 1 S 2 S -2 E,2,23 13/16,64
E 2 S -2 S -1 E,1,25 5/8,67
E 10 S -1 S -2 S -2 S -2 S -1 S 1 Q,3,26 5/8,65
S -2 S,0,28 11/16,64
R 0 S,1,28 13/16,67
R 0 S,0,28 15/16,66
E 2 E,0,29 5/8,72
R 0 E,0,30 5/8,70
E -1 S 1 S -1 E,1,31 5/8,57
E 1 E,1,32 7/8,58
R 0 T -2 T -1 T 1 T -1 E,3,33 3/8,57
E 2 E,0,34 5/8,72
E 2 E,0,34 7/8,76
R 0 E,0,35 5/8,70
E 1 E,0,36 7/8,70
E -2 S 2 S 2 E,3,37 3/8,53
E 2 E,2,38 5/8,60
E 2 E,2,38 7/8,64
E -1 E,2,39 3/8,57
E 2 S -2 S -1 E,2,39 5/8,60
E -7 S 2 S 2 S 2 S 1 S,1,40 1/8,58
S 2 S,1,40 7/16,67
E 2 S -2 S -1 E,1,40 5/8,67
E -2 E,1,40 7/8,62
E 1 E,1,41 7/8,65
E -1 S -2 S 2 E,1,42 5/8,61
E 1 S 2 S -2 E.,1,42 7/8,62
R 0 S -2 S 2 S 1 S,2,43 3/16,64
S 2 S,2,43 7/16,67
E 2 S -2 S -1 E,2,43 5/8,67
E -2 E,2,43 7/8,62
E 2 T -2 T -1 T 1 T 2 Q,2,44 1/8,62
E -4 S 2 S 2 S,2,44 5/8,58
S 2 S 1 S 2 S -2 E,2,44 13/16,64
E -1 S -2 S 2 S,2,45 5/8,61
S 1 S -3 S 2 S 1 E.,2,45 13/16,62
E. -1 S -2 S 2 S 1 S 2 S -2 E,0,46 3/16,64
E -4 E 2 E 2 E 1 Q,3,46 5/8,53
S -1 S,2,48 13/16,64
S -2 S,2,48 15/16,60
S -2 S,1,50 11/16,65
R 0 S,2,50 13/16,62
R 0 T 2 T 2 T -2 Q,0,50 29/32,65
S 2 S 1 S 2 S -2 E,1,51 5/16,57
R 0 S,1,52 9/16,64
R 0 S,2,52 11/16,60
R 0 S,3,52 13/16,60
R 0 S,2,52 15/16,57
R 0 E,0,54 3/8,72
E. -2 S,1,55 3/16,62
S -2 S 2 S 2 S 1 Q,1,55 5/16,62
E -2 S 2 S 1 Q,0,56 1/8,67
E -4 E,4,58 1/8,48
E 2 E,4,58 3/8,54
R 0 E,2,59 1/8,62
R 0 S 1 S 2 S -2 Q,1,59 5/16,64
E 2 T -2 T -1 T 1 T 2 E,2,60 1/8,60
E -2 S 2 S 2 E,1,60 3/8,65
E -2 S 2 S -2 E.,1,60 5/8,67
R 0 S,3,61 3/16,57
R 0 S 1 S 2 S 2 Q,2,61 5/16,57
E -2 S -2 S 2 S -2 S -1 S,4,62 1/8,55
S -2 S,4,62 7/16,50
E 2 E,4,62 5/8,54
E 3 E,0,64 1/8,70
E -1 E,1,64 5/8,66
E. 2 S 1 S -1 S -2 S -2 S -1 E,1,65 3/16,69
E -2 S 2 S 1 E,1,65 5/8,62
E 7 S 1 S -3 Q,2,66 1/8,64
R 0 S 1 S 2 E,1,68 5/8,57
E -2 S 2 S 1 Q,0,69 1/8,62
R 0 E,1,70 5/8,64
E. 14 S,5,71 3/16,67
R 0 S -2 S -2 S -2 E,3,71 5/16,64
E -1 E,3,71 5/8,57
E -2 S 2 S 1 Q,0,72 1/8,62
R 0 E,0,75 3/8,72
E. 5 S,1,76 3/16,62
R 0 S 2 S 2 S 1 Q,2,76 5/16,62
E 1 T -1 T -2 T 2 T 1 Q,0,77 1/8,70
E. 5 S,5,79 3/16,50
R 0 S 2 S 2 S 1 Q,4,79 5/16,50
E -1 S 1 S 2 E,1,81 1/8,57
E -2 S 2 S -3 E,1,81 3/8,58
E -2 S 2 S -2 E,2,81 5/8,67
E -3 E,1,82 1/8,55
E 2 E,1,82 3/8,60
E 2 E,4,83 5/8,54
E 2 T -2 T -1 T 1 T 2 S,3,85 1/8,60
R 0 S,0,85 5/16,66
E 4 E,2,85 5/8,66
E. -2 S 2 S -2 S -1 S -2 S 2 E,2,86 3/16,65
E -2 S 2 S 1 Q,2,86 5/8,62
E 2 E 1 E -1 E -2 Q,0,90 5/8,76
E. -8 S 1 S 2 S 2 S 2 S 1 Q,4,91 11/16,45
E -1 S 1 S 2 S 2 S 1 S 2 S -2 E.,2,92 5/8,59
R 0 S 1 S 2 S 2 S 1 S 2 E,0,93 3/16,64
E -1 S 1 S 2 S -2 S -1 S -2 S -2 Q,4,93 5/8,52
E 10 S -2 S -2 S -1 S -2 S -2 S -1 Q,2,94 5/8,74
