ornament,voice,bar,pitch
E. -2 S,1,2 11/16,62
E 2 T -2 T -7 T 7 T 2 E,0,3 3/8,71
E -2 S 2 S 1 Q,0,3 5/8,69
E -4 S 2 S 2 S,2,6 3/8,60
S 2 S,2,6 9/16,66
R 0 S,0,6 11/16,69
S 1 S -3 S 2 S 1 E,3,9 9/16,62
E -1 S 1 S 2 S,2,10 1/8,64
S -2 S,2,10 5/16,65
S -2 S,2,10 7/16,62
E -2 S 2 S 1 Q,1,10 5/8,62
E -2 S 2 S 2 E,0,12 3/8,67
E -2 S 2 S 1 Q,0,12 5/8,69
E. 2 S,1,15 7/16,62
R 0 S,2,15 9/16,62
S 2 S,2,15 11/16,66
E -2 S 2 S 2 Q,0,16 5/8,67
R 0 S -2 S 2 S 1 Q,3,18 9/16,61
E 1 T -1 T -2 T 2 T 1 E,1,22 1/8,60
E -2 S 2 S 2 E,0,28 3/8,62
E -2 S 2 S 1 Q,0,28 5/8,64
E 1 S 2 S -2 Q,1,32 7/8,67
R 0 S 2 S 2 S,3,35 5/8,55
R 0 S,2,35 13/16,60
R 0 S,1,35 15/16,64
E -7 S 2 S 2 S 1 S 2 S 2 S -2 Q.,0,39 1/8,62
Q. -2 S 2 S 2 S,0,39 7/8,67
S -2 S -2 S -1 S -2 S 2 S 1 S 2 S 2 Q,0,40 1/16,69
