ornament,voice,bar,pitch
E. -2 S 2 S -2 S -1 S -2 S 2 E.,4,1 11/16,58
E. -2 S 2 S -2 S -1 S -2 S 2 E,0,2 3/16,70
E -2 E -2 E -1 E 1 E,0,2 5/8,67
E 6 S 3 S -2 E -8 E,4,3 1/8,64
E -3 S 2 S 1 S,3,3 5/8,55
R 0 S 2 S 2 S 1 Q,2,3 13/16,60
R 0 E,3,4 5/8,57
R 0 E,2,5 7/8,65
R 0 S 2 S 2 S,3,6 1/8,58
S -2 S,3,6 5/16,60
S -1 S,3,6 7/16,57
S -1 S -2 S -2 S 2 E,3,6 9/16,57
E 1 T -1 T -2 T 2 T 1 E,2,6 7/8,65
E -6 S 1 S 2 S 2 S 1 S 2 S -2 E,2,7 1/8,59
E -1 E,2,7 5/8,64
Q 0 E 2 E -2 E.,3,8 1/4,58
R 0 S -2 S 2 S 1 S 2 S -2 E,2,8 11/16,64
E -7 S 2 S 1 S 2 S 2 S,0,9 1/8,62
S 1 S,0,9 7/16,70
E. -2 S,0,9 11/16,70
S -2 S -1 S -2 S -2 Q,0,9 13/16,70
R 0 E,0,11 1/8,77
E. -2 S 2 S -2 S -2 S -1 S 1 E 2 E 2 Q,0,11 11/16,74
E 0 S 2 S 2 S,2,12 5/8,67
R 0 S 2 S 2 S 1 Q,0,12 13/16,72
E -1 S -2 S 3 E,0,14 5/8,73
E -1 E,0,14 7/8,73
E -2 E,0,15 5/8,72
E 0 E,1,16 1/8,62
E -2 E,1,16 3/8,58
E -1 S 1 S 2 S -2 S -1 S -2 S 2 E,2,16 5/8,64
E -2 E,3,17 1/8,55
E 2 E,1,17 3/8,59
E 6 S -1 S 1 S -1 S -2 S -2 S -1 E,2,17 5/8,70
E -1 S 1 S 2 S -2 S -1 S -2 S -2 E,1,18 1/8,59
R 0 E,0,18 5/8,65
E. -2 S,2,20 3/16,58
R 0 S -1 S -2 S -2 E,4,20 5/16,58
E 3 E,3,20 5/8,60
E -2 S -1 S 1 S -1 S -2 S,3,21 1/8,58
S -2 S,3,21 7/16,53
E -1 E,2,21 7/8,64
E -1 S 1 S 2 S 2 S 1 S 2 S -2 E,1,22 1/8,59
E -2 E,0,22 5/8,67
S -2 S,0,22 13/16,67
S -1 S,0,22 15/16,64
R 0 S -2 S 2 S,1,23 1/8,64
R 0 S 2 S 2 S 1 Q,0,23 5/16,65
E -1 S -2 S 2 E,0,24 1/8,69
R 0 S,2,24 11/16,64
R 0 S,1,24 13/16,64
R 0 S,0,24 15/16,67
E -2 E,0,25 1/8,67
E 4 E,0,25 3/8,69
E -2 S 2 S -2 E,0,26 3/8,67
E -1 S 1 S 0 E,0,27 3/8,64
E -1 S -2 S 3 S,0,27 5/8,64
S -1 S 1 T -1 T -2 T 2 T 1 Q,0,27 13/16,64
Q. 1 E,1,29 7/8,58
E. -2 S 2 S -2 S -1 S -2 S -2 E,1,30 3/16,58
E -7 S 2 S 1 S,0,30 5/8,62
S 2 S 2 S 1 S 2 Q,0,30 13/16,67
E -2 E,4,32 5/8,46
R 0 E,0,32 7/8,72
R 0 S 2 S 1 Q,4,33 7/8,48
E 2 E 2 E 2 E 1 Q,4,36 5/8,48
R 0 E,0,37 3/8,67
E 1 E,0,37 5/8,70
E 2 S -2 S -1 E,1,37 7/8,67
E 2 T -2 T -2 T 2 T -2 E,3,38 1/8,62
E -7 S 2 S 1 S 2 S 2 S 1 S -1 Q,0,39 1/8,62
R 0 E,1,40 3/8,64
E 3 E -1 E -2 E -2 E,1,40 5/8,65
S 4 S,1,41 3/16,62
R 0 S,2,41 5/16,58
S -2 S,2,41 7/16,55
E -1 E,1,42 1/8,64
E 3 E,1,42 3/8,65
E 1 T -1 T -2 T 2 T -2 E,1,42 5/8,65
E. 2 S 2 S -2 S -2 S -1 S -2 S 2 S 1 S 2 S -2 Q,2,43 3/16,60
S 2 S 1 E -1 E,1,44 1/16,64
E -2 E,1,44 3/8,62
E -2 S -1 S -2 S 2 S 1 S 2 S 2 E,1,44 5/8,58
E 7 S -2 S 2 S -2 S -1 S -2 S -2 Q,2,45 1/8,60
E 5 S -1 S -2 S -2 S -1 S,1,46 5/8,70
S -2 S,1,46 15/16,62
Q -7 S 2 S 2 S 1 S 2 Q,2,47 1/4,48
E. -2 S,3,48 3/16,58
R 0 S -1 S -2 S -2 Q,2,48 5/16,58
E -2 E,0,50 1/8,70
S -2 S -1 S -2 S 2 E,0,50 5/16,70
E 1 T -1 T -2 T 2 T -2 E,0,50 5/8,70
R 0 E,4,50 7/8,48
R 0 S 2 S -2 S 0 E,0,51 5/16,65
E -1 S -2 S 3 S,0,51 5/8,64
S -1 S 1 T -1 T -2 T 2 T 1 E.,0,51 13/16,64
E. -1 S,0,52 3/16,64
S 2 S 2 S 1 S 2 E,0,52 5/16,67
R 0 E,3,52 5/8,57
E 2 E,3,52 7/8,62
E -3 E,0,53 1/8,69
E -2 E,0,53 3/8,70
E 1 E,0,53 5/8,70
E 2 E,1,53 7/8,62
E -1 S 1 S 0 E,0,54 3/8,64
E -1 S -2 S 2 S,0,54 5/8,64
S 1 S -3 S 2 S 1 E,0,54 13/16,65
E -2 S 2 S 2 S -2 S -2 S 2 S 2 Q,4,55 1/8,58
