note,pitch,duration,onset,chord,bar,mapped voice,cost,category
0,65,1/2,0/96,0,1,0,n/a,match
1,65,3/16,1/2,1,1 1/2,0,0,repetition
2,64,1/16,11/16,2,1 11/16,0,n/a,ornamentation
3,65,1/16,3/4,3,1 3/4,0,n/a,ornamentation
4,64,1/16,13/16,4,1 13/16,0,n/a,ornamentation
5,65,1/16,7/8,5,1 7/8,0,n/a,ornamentation
6,67,1/16,15/16,6,1 15/16,0,n/a,ornamentation
7,65,1/4,1/1,7,2,0,n/a,match
8,65,1/8,5/4,8,2 1/4,0,n/a,ornamentation
9,64,1/16,11/8,9,2 3/8,0,n/a,ornamentation
10,65,1/16,23/16,10,2 7/16,0,n/a,ornamentation
11,67,1/16,3/2,11,2 1/2,0,2,adaptation
12,65,1/16,25/16,12,2 9/16,0,n/a,ornamentation
13,64,1/16,13/8,13,2 5/8,0,n/a,ornamentation
14,62,1/16,27/16,14,2 11/16,0,n/a,ornamentation
15,60,1/16,7/4,15,2 3/4,0,n/a,ornamentation
16,62,1/16,29/16,16,2 13/16,0,n/a,ornamentation
17,64,1/16,15/8,17,2 7/8,0,n/a,ornamentation
18,65,1/16,31/16,18,2 15/16,0,n/a,ornamentation
19,67,3/16,2/1,19,3,0,n/a,match
20,59,1/16,35/16,20,3 3/16,0,n/a,ornamentation
21,60,1/16,9/4,21,3 1/4,0,n/a,ornamentation
22,62,1/16,37/16,22,3 5/16,0,n/a,ornamentation
23,64,1/16,19/8,23,3 3/8,0,n/a,ornamentation
24,65,1/16,39/16,24,3 7/16,0,n/a,ornamentation
25,67,1/8,5/2,25,3 1/2,0,n/a,ornamentation
26,65,1/16,21/8,26,3 5/8,0,n/a,ornamentation
27,64,1/16,43/16,27,3 11/16,0,n/a,ornamentation
28,62,1/16,11/4,28,3 3/4,0,n/a,ornamentation
29,64,1/16,45/16,29,3 13/16,0,n/a,ornamentation
30,65,1/16,23/8,30,3 7/8,0,n/a,ornamentation
31,67,1/16,47/16,31,3 15/16,0,n/a,ornamentation
32,53,1/2,3/1,32,4,4,n/a,match
33,69,1/2,3/1,32,4,0,n/a,match
34,53,1/4,7/2,33,4 1/2,4,0,repetition
35,72,1/4,15/4,34,4 3/4,0,n/a,match
36,53,1/8,4/1,35,5,4,n/a,match
37,72,1/8,4/1,35,5,0,0,repetition
38,70,1/8,33/8,36,5 1/8,0,n/a,match
39,69,1/8,17/4,37,5 1/4,0,n/a,match
40,67,1/8,35/8,38,5 3/8,0,n/a,ornamentation
41,53,1/8,9/2,39,5 1/2,4,n/a,match
42,69,1/8,9/2,39,5 1/2,0,0,repetition
43,67,1/16,37/8,40,5 5/8,0,n/a,match
44,65,1/16,75/16,41,5 11/16,0,n/a,ornamentation
45,67,1/16,19/4,42,5 3/4,0,0,repetition
46,65,1/16,77/16,43,5 13/16,0,n/a,ornamentation
47,64,1/16,39/8,44,5 7/8,0,n/a,ornamentation
48,62,1/16,79/16,45,5 15/16,0,n/a,ornamentation
49,55,3/16,5/1,46,6,4,n/a,match
50,64,3/16,5/1,46,6,0,n/a,match
51,65,1/16,83/16,47,6 3/16,0,n/a,ornamentation
52,62,1/8,21/4,48,6 1/4,0,n/a,match
53,60,1/8,43/8,49,6 3/8,0,n/a,ornamentation
54,55,1/8,11/2,50,6 1/2,4,0,repetition
55,62,1/8,11/2,50,6 1/2,0,0,repetition
56,60,1/16,45/8,51,6 5/8,0,n/a,ornamentation
57,58,1/16,91/16,52,6 11/16,0,n/a,ornamentation
58,60,1/16,23/4,53,6 3/4,0,n/a,match
59,58,1/16,93/16,54,6 13/16,4,n/a,ornamentation
60,57,1/16,47/8,55,6 7/8,4,2,adaptation
61,55,1/16,95/16,56,6 15/16,4,n/a,ornamentation
62,53,3/8,6/1,57,7,2,n/a,match
63,57,3/8,6/1,57,7,4,n/a,match
64,57,3/8,6/1,57,7,0,n/a,match
65,58,1/8,51/8,58,7 3/8,4,n/a,ornamentation
66,53,1/4,13/2,59,7 1/2,2,0,repetition
67,60,1/4,13/2,59,7 1/2,4,n/a,match
68,72,1/8,27/4,60,7 3/4,0,n/a,match
69,58,1/8,55/8,61,7 7/8,4,n/a,match
70,53,1/8,7/1,62,8,2,n/a,match
71,57,1/8,7/1,62,8,4,n/a,match
72,72,1/8,7/1,62,8,0,0,repetition
73,55,1/8,57/8,63,8 1/8,4,n/a,match
74,70,1/8,57/8,63,8 1/8,0,n/a,match
75,53,1/8,29/4,64,8 1/4,4,n/a,match
76,69,1/8,29/4,64,8 1/4,0,n/a,match
77,67,1/8,59/8,65,8 3/8,0,n/a,ornamentation
78,53,1/8,15/2,66,8 1/2,2,n/a,match
79,69,1/8,15/2,66,8 1/2,0,0,repetition
80,70,1/16,61/8,67,8 5/8,0,1,adaptation
81,69,1/16,123/16,68,8 11/16,0,n/a,ornamentation
82,52,1/8,31/4,69,8 3/4,4,0,repetition
83,67,1/8,31/4,69,8 3/4,0,0,repetition
84,50,1/8,63/8,70,8 7/8,4,0,repetition
85,65,1/8,63/8,70,8 7/8,0,0,repetition
86,48,1/4,8/1,71,9,4,n/a,match
87,55,1/4,8/1,71,9,2,n/a,match
88,64,1/4,8/1,71,9,0,n/a,match
89,46,1/8,33/4,72,9 1/4,4,n/a,match
90,62,1/8,33/4,72,9 1/4,0,n/a,match
