ornament,voice,bar,pitch
E. -1 S 1 S -1 S 1 S 2 S -2 Q,0,1 11/16,64
Q 0 E -1 S 1 S 2 S,0,2 1/4,65
S -2 S -1 S -2 S -2 S 2 S 2 S 1 S 2 E.,0,2 9/16,65
E. -8 S 1 S 2 S 2 S 1 S 2 E -2 S -1 S -2 S 2 S 1 S 2 S 2 H,0,3 3/16,59
E -2 E,0,5 3/8,67
S -2 S,0,5 11/16,65
S -2 S -1 S -2 S 2 E.,0,5 13/16,65
E. 1 S,0,6 3/16,65
E -2 E,0,6 3/8,60
E -2 S -2 S 2 S,0,6 5/8,60
R 0 S,4,6 13/16,58
S -2 S,4,6 15/16,55
Q. 1 E,4,7 3/8,58
E -2 E,0,8 3/8,67
S -1 S,0,8 11/16,69
E 3 E,0,9 3/8,65
E 12 S 2 S 2 S 1 S 2 S 2 S -2 Q,4,10 1/8,53
R 0 E,0,12 5/8,62
E. -4 S 4 E 1 E -1 Q,3,13 3/16,53
Q 0 E,4,14 3/4,53
E. 2 S,1,15 3/16,64
R 0 S,2,15 5/16,60
R 0 S,3,15 7/16,57
S 2 S,3,15 11/16,57
R 0 S,2,15 13/16,60
R 0 S,3,15 15/16,58
E -7 S 2 S 1 S 2 S 2 S,1,16 1/8,57
R 0 S,2,16 7/16,65
E. -2 S,2,16 11/16,62
R 0 E,4,16 7/8,48
E -2 E,4,17 1/8,43
R 0 S,3,17 11/16,57
R 0 E,2,17 7/8,60
E -12 S 2 S 2 S 1 S 2 S 2 S 2 E,1,18 5/8,53
E -5 E,3,19 1/8,50
R 0 E,4,19 3/8,48
R 0 S -2 S -2 S 2 T,0,19 11/16,69
R 0 T -1 T -2 T -2 Q,2,19 29/32,65
E -2 S 2 S 2 S -2 S 2 T -2 T -2 T 2 T 2 Q,3,20 5/8,53
E 5 S -1 S -2 S -2 S -1 S,0,22 1/8,70
S -2 S,0,22 7/16,62
E 1 T -1 T -2 T 2 T -2 E,0,23 5/8,70
E -4 S 2 S 2 S 1 S 2 S,2,26 1/8,53
S 2 S,2,26 7/16,62
