note,pitch,duration,chord,bar,mapped voice,cost,category
0,53,1/2,0,1,4,n/a,match
1,53,1/4,1,1 1/2,4,n/a,match
2,53,1/4,2,1 3/4,4,0,repetition
3,57,1/8,3,2,4,n/a,match
4,55,1/8,4,2 1/8,4,n/a,ornamentation
5,57,1/16,5,2 1/4,4,n/a,ornamentation
6,58,1/16,6,2 5/16,4,n/a,ornamentation
7,60,1/32,7,2 3/8,4,n/a,ornamentation
8,58,1/32,8,2 13/32,4,n/a,ornamentation
9,60,1/32,9,2 7/16,4,n/a,ornamentation
10,57,1/32,10,2 15/32,4,n/a,ornamentation
11,58,1/8,11,2 1/2,4,n/a,match
12,57,1/16,12,2 5/8,4,n/a,ornamentation
13,58,1/16,13,2 11/16,4,n/a,ornamentation
14,60,1/16,14,2 3/4,4,n/a,ornamentation
15,58,1/16,15,2 13/16,4,n/a,ornamentation
16,60,1/32,16,2 7/8,4,n/a,ornamentation
17,58,1/32,17,2 29/32,4,n/a,ornamentation
18,57,1/32,18,2 15/16,4,n/a,ornamentation
19,55,1/32,19,2 31/32,4,n/a,ornamentation
20,53,1/8,20,3,2,n/a,match
21,57,1/8,20,3,4,n/a,match
22,53,1/16,21,3 1/8,4,n/a,ornamentation
23,55,1/16,22,3 3/16,4,n/a,ornamentation
24,57,1/16,23,3 1/4,4,n/a,ornamentation
25,58,1/16,24,3 5/16,4,n/a,ornamentation
26,60,1/16,25,3 3/8,4,n/a,ornamentation
27,62,1/16,26,3 7/16,4,n/a,ornamentation
28,53,1/8,27,3 1/2,2,n/a,match
29,60,1/8,27,3 1/2,4,n/a,match
30,52,1/8,28,3 5/8,2,n/a,ornamentation
31,53,1/8,29,3 3/4,2,n/a,ornamentation
32,55,1/8,30,3 7/8,2,n/a,ornamentation
33,57,1/8,31,4,2,n/a,match
34,60,1/8,31,4,4,0,repetition
35,58,1/16,32,4 1/8,4,n/a,ornamentation
36,60,1/16,33,4 3/16,4,n/a,ornamentation
37,62,1/16,34,4 1/4,4,2,adaptation
38,60,1/16,35,4 5/16,4,n/a,ornamentation
39,58,1/16,36,4 3/8,4,0,repetition
40,57,1/16,37,4 7/16,2,n/a,ornamentation
41,55,1/16,38,4 1/2,4,n/a,match
42,58,1/16,38,4 1/2,2,n/a,match
43,62,1/16,39,4 9/16,2,n/a,ornamentation
44,60,1/16,40,4 5/8,2,n/a,ornamentation
45,58,1/16,41,4 11/16,2,n/a,ornamentation
46,60,1/16,42,4 3/4,2,n/a,ornamentation
47,58,1/16,43,4 13/16,2,n/a,ornamentation
48,60,1/32,44,4 7/8,2,n/a,ornamentation
49,58,1/32,45,4 29/32,2,n/a,ornamentation
50,57,1/32,46,4 15/16,2,n/a,ornamentation
51,55,1/32,47,4 31/32,2,n/a,ornamentation
52,53,1/4,48,5,4,n/a,match
53,57,1/4,48,5,2,n/a,match
54,41,1/8,49,5 1/4,4,n/a,match
55,43,1/8,50,5 3/8,4,n/a,match
56,45,1/8,51,5 1/2,4,n/a,match
57,60,1/8,51,5 1/2,2,n/a,match
58,46,1/8,52,5 5/8,4,n/a,match
59,48,1/8,53,5 3/4,4,n/a,match
60,50,1/8,54,5 7/8,4,n/a,match
61,52,1/8,55,6,4,n/a,match
62,60,1/8,55,6,2,0,repetition
63,48,1/8,56,6 1/8,4,n/a,ornamentation
64,53,1/8,57,6 1/4,4,n/a,match
65,58,1/8,57,6 1/4,2,n/a,match
66,57,1/8,58,6 3/8,2,n/a,match
67,53,1/8,59,6 1/2,4,0,repetition
68,55,1/8,59,6 1/2,2,n/a,match
69,52,1/16,60,6 5/8,4,n/a,match
70,50,1/16,61,6 11/16,4,n/a,ornamentation
71,52,1/8,62,6 3/4,4,n/a,match
72,55,1/8,62,6 3/4,2,0,repetition
73,53,1/32,63,6 7/8,4,1,adaptation
74,52,1/32,64,6 29/32,4,n/a,ornamentation
75,50,1/32,65,6 15/16,4,n/a,ornamentation
76,52,1/32,66,6 31/32,4,n/a,ornamentation
77,53,3/16,67,7,4,n/a,match
78,53,3/16,67,7,2,n/a,match
79,52,1/16,68,7 3/16,4,n/a,ornamentation
80,50,1/8,69,7 1/4,4,n/a,match
81,53,1/8,70,7 3/8,4,3,repetition
82,53,1/8,70,7 3/8,2,0,adaptation
83,52,1/4,71,7 1/2,4,n/a,match
84,55,1/4,71,7 1/2,2,n/a,match
85,48,1/4,72,7 3/4,4,n/a,match
86,55,1/8,73,8,4,n/a,ornamentation
87,48,1/8,74,8 1/8,4,n/a,ornamentation
88,46,1/8,75,8 1/4,4,n/a,match
89,45,1/8,76,8 3/8,4,n/a,match
90,46,1/4,77,8 1/2,4,n/a,match
91,55,1/4,77,8 1/2,2,n/a,match
92,48,1/8,78,8 3/4,4,n/a,match
93,55,1/8,78,8 3/4,2,0,repetition
94,57,1/32,79,8 7/8,2,n/a,ornamentation
95,55,1/32,80,8 29/32,2,n/a,ornamentation
96,53,1/32,81,8 15/16,2,n/a,ornamentation
97,55,1/32,82,8 31/32,2,n/a,ornamentation
98,41,1/8,83,9,4,n/a,match
99,57,1/8,83,9,2,n/a,match
100,55,1/8,84,9 1/8,2,n/a,ornamentation
