note,pitch,duration,onset,chord,bar,mapped voice,cost,category
0,62,1/2,0/96,0,1,1,n/a,match
1,62,3/16,1/2,1,1 1/2,1,0,repetition
2,60,1/16,11/16,2,1 11/16,1,n/a,ornamentation
3,62,1/16,3/4,3,1 3/4,1,n/a,ornamentation
4,64,1/16,13/16,4,1 13/16,1,n/a,ornamentation
5,65,1/16,7/8,5,1 7/8,1,n/a,ornamentation
6,67,1/16,15/16,6,1 15/16,1,n/a,ornamentation
7,50,1/4,1/1,7,2,3,n/a,match
8,65,1/4,1/1,7,2,1,n/a,match
9,69,1/4,1/1,7,2,0,n/a,match
10,62,1/8,5/4,8,2 1/4,1,n/a,ornamentation
11,64,1/8,11/8,9,2 3/8,1,n/a,ornamentation
12,50,1/8,3/2,10,2 1/2,3,0,repetition
13,65,1/8,3/2,10,2 1/2,1,n/a,match
14,69,1/8,3/2,10,2 1/2,0,0,repetition
15,69,1/16,13/8,11,2 5/8,0,n/a,ornamentation
16,67,1/16,27/16,12,2 11/16,0,n/a,ornamentation
17,66,1/16,7/4,13,2 3/4,0,n/a,ornamentation
18,67,1/16,29/16,14,2 13/16,0,n/a,ornamentation
19,69,1/16,15/8,15,2 7/8,0,n/a,ornamentation
20,71,1/16,31/16,16,2 15/16,0,n/a,ornamentation
21,57,3/16,2/1,17,3,3,n/a,match
22,64,3/16,2/1,17,3,1,n/a,match
23,72,3/16,2/1,17,3,0,n/a,match
24,62,1/16,35/16,18,3 3/16,1,n/a,ornamentation
25,64,1/16,9/4,19,3 1/4,1,n/a,ornamentation
26,62,1/16,37/16,20,3 5/16,1,n/a,ornamentation
27,60,1/16,19/8,21,3 3/8,1,n/a,ornamentation
28,59,1/16,39/16,22,3 7/16,1,n/a,ornamentation
29,57,1/8,5/2,23,3 1/2,3,n/a,match
30,60,1/8,5/2,23,3 1/2,1,n/a,match
31,72,1/8,5/2,23,3 1/2,0,n/a,match
32,59,1/8,21/8,24,3 5/8,1,n/a,ornamentation
33,57,1/4,11/4,25,3 3/4,3,0,repetition
34,60,1/4,11/4,25,3 3/4,1,0,repetition
35,72,1/4,11/4,25,3 3/4,0,0,repetition
36,55,3/16,3/1,26,4,3,n/a,match
37,62,3/16,3/1,26,4,1,n/a,match
