ornament,voice,bar,pitch
E. -2 S 2 S 2 S 1 S 2 S -2 Q,1,1 11/16,60
Q -3 E 2 E 1 E,1,2 1/4,62
E 0 S -2 S -1 S 1 S 2 S 2 S 1 E.,0,2 5/8,69
E. -2 S 2 S -2 S -2 S -1 S 1 E,1,3 3/16,62
E -1 E,1,3 5/8,59
E. -2 S 2 S -2 S -2 S -1 S 1 E,0,4 3/16,69
E -1 S -2 S -2 S 2 S 2 S 1 S 2 E,0,4 5/8,66
E 3 E,0,5 1/8,72
E -2 E,0,5 3/8,69
E -2 E,0,5 5/8,69
E -1 E,0,5 7/8,66
S -1 S,1,6 13/16,59
T -1 T 1 T 2 T 2 E,1,6 29/32,59
E 2 S -2 S -2 E,0,7 1/8,69
E 2 S -2 S -1 E,0,7 3/8,67
E -1 S -2 S 2 S,1,7 5/8,61
S 1 S -3 S 2 S 1 E.,1,7 13/16,62
E. -2 S -1 S 1 S 2 S 2 S 1 Q,1,8 3/16,60
E -6 S 1 S 2 S 2 S 1 S 2 S -2 E,1,9 1/8,59
E 2 S 2 S 2 S -2 S 2 T -2 T -2 T 2 T -2 E,1,9 5/8,67
E -2 S -2 S -1 S 1 S 2 S 2 S 1 E,0,10 1/8,69
E -1 E,0,10 5/8,71
E -2 E,0,11 1/8,69
E -2 E,3,11 3/8,60
E -1 S -2 S 2 S,0,11 5/8,68
S 1 S -1 S -2 S 3 E,0,11 13/16,69
E 10 S -1 S -2 S -2 S -2 S -1 S -2 E.,3,12 1/8,67
E. -2 S 2 S 2 S 1 S 2 S -2 E.,2,12 11/16,55
E. 2 S 2 S -2 S -2 S -1 S 1 Q,2,13 3/16,62
E 2 S -2 S -1 Q,1,14 5/8,62
E -2 E,1,15 1/8,57
E -3 S 1 S 2 S,2,15 5/8,56
R 0 S 2 S -3 S 1 Q,1,15 13/16,57
Q 0 E,1,16 1/4,57
E. 4 S,0,17 3/16,69
S -2 S,0,17 5/16,65
R 0 S,1,17 7/16,62
E 4 S -2 S -2 E,2,17 5/8,61
E -1 E,1,17 7/8,61
E. 5 S -2 S -1 S -2 S,1,18 3/16,67
R 0 S,3,18 7/16,60
E 2 E,0,18 5/8,67
E 1 E,0,18 7/8,65
E -2 E,0,19 1/8,62
E -2 E,2,19 3/8,53
E -1 S -2 S 2 S,0,19 5/8,61
S 1 S -3 S 2 S 1 E.,0,19 13/16,62
E. -1 S -2 S 2 S 1 S 2 S -2 E,1,20 3/16,64
R 0 S -2 S 2 S,3,20 5/8,50
S 2 S 1 S 2 S 2 E.,3,20 13/16,52
E. -2 S 2 S -2 S -2 S -1 S 1 E,1,21 3/16,62
E -1 E,1,21 5/8,59
E 2 T -2 T -2 T 2 T -2 E,0,22 7/8,71
E -2 E,1,23 1/8,60
R 0 E,3,23 3/8,48
E -1 S -2 S 3 S,1,23 5/8,59
S -1 S 1 T -1 T -2 T 2 T 1 Q,1,23 13/16,59
Q -3 S 2 S 1 S 2 S -2 E.,1,24 1/4,57
E. -1 S 1 S -1 S 1 T -1 T -2 T -2 T 2 Q,1,24 11/16,59
E -1 E,3,25 5/8,59
E 2 E,3,25 7/8,62
E. 1 S 2 S -2 S -1 S,1,26 3/16,60
S -2 S,1,26 7/16,57
E 2 S -2 S -2 E,0,26 5/8,69
E 2 S -2 S -1 Q,0,26 7/8,67
R 0 E,0,27 3/8,64
E -1 S 1 S 2 S,1,27 5/8,56
S -2 S 2 T -2 T 2 T -3 T 1 E.,1,27 13/16,57
E. -1 S -2 S 2 S 1 S 2 S -2 E,0,28 3/16,59
E -5 E 5 E 2 E 1 Q,2,28 5/8,52
E -2 E,4,30 1/8,50
E 2 E,1,30 5/8,64
E 2 S -2 S -1 Q,1,30 7/8,67
S -2 S,0,32 15/16,69
E -2 E,0,34 1/8,67
E 2 E,0,34 5/8,74
E 1 E,0,34 7/8,72
E -2 E,0,35 1/8,69
E -2 E,2,35 3/8,60
E -1 S -2 S 2 S,0,35 5/8,68
S 1 S -3 S 2 S 1 Q,0,35 13/16,69
E 5 S -2 S -1 S,3,37 1/8,62
R 0 S,1,37 5/16,60
S 2 S,1,37 7/16,64
E 2 E,1,37 5/8,67
E 1 E,1,37 7/8,65
E -2 E,1,38 1/8,62
E -2 E,2,38 3/8,53
E -1 S -2 S 2 S,1,38 5/8,61
S 1 S -3 S 2 S 1 Q,1,38 13/16,62
E 4 E,0,39 5/8,69
E -2 E,0,39 7/8,65
E -2 E,0,40 1/8,62
E 2 S 1 S 2 S -2 S -1 S -2 S -2 Q,0,40 5/8,64
E -2 S 2 S 2 S -2 S 2 T -2 T -2 T 2 T -2 Q,0,42 5/8,67
E -2 E,1,44 1/8,60
E. 4 S -2 S -2 S -1 S -2 S 2 E,1,44 11/16,64
R 0 S 1 S 2 S 2 S 1 S 2 S 2 E,0,45 1/8,61
E -2 S -2 S -1 S 1 S 2 S 2 S 1 Q,0,45 5/8,69
E. -2 S -3 S 2 S 1 S 2 S -2 Q,0,47 11/16,67
E 2 S -2 S -2 E,1,49 1/8,69
E 2 S -2 S -1 E,1,49 3/8,67
E 1 S -1 S -2 E,1,49 5/8,65
E 2 S -2 S -2 E,1,49 7/8,64
R 0 E,3,50 1/8,64
E 1 E,4,50 5/8,57
E -1 E,4,50 7/8,56
E 2 T -2 T -2 T 2 T -2 S,0,52 1/8,71
S -2 S -1 S 3 S -2 S,0,52 5/16,65
S -1 S -2 S 3 S -1 S,0,52 9/16,64
S -2 S -2 S 4 S -2 E,0,52 13/16,62
E 2 S -2 S -2 E,0,53 1/8,64
E 2 S -2 S -1 E,0,53 3/8,62
Q -1 E,2,53 7/8,56
E -2 E,1,55 5/8,57
R 0 S,1,58 3/16,64
R 0 S 2 E 0 E,0,58 5/16,67
E -1 S -2 S 2 S,0,58 5/8,68
S 1 S -3 S 2 S 1 Q,0,58 13/16,69
E 2 E,0,59 3/8,67
E -2 E,0,60 1/8,65
E 3 E,0,60 3/8,67
R 0 S 2 S 2 S 2 S 1 S,2,60 5/8,53
R 0 S,1,60 15/16,62
E -1 S 1 S 2 S -2 S -1 S,2,62 5/8,52
S -2 S,2,62 15/16,50
E -1 E,0,64 1/8,64
E 3 E,0,64 3/8,65
E. -2 S,0,64 11/16,62
E 0 E,3,65 1/8,55
E -5 S 2 S 1 S 2 S 2 S 1 S 2 E,0,65 5/8,57
E -7 S 2 S 2 S 1 S 2 S 2 S -2 E,0,66 1/8,60
E 2 S -2 S -2 E,0,66 5/8,69
E 1 E,4,66 7/8,46
E -2 E,0,67 1/8,62
E -1 E,0,67 5/8,61
S -1 S -2 S 2 S 1 Q,0,67 13/16,61
R 0 E,1,68 3/8,64
E 1 E,3,68 7/8,53
E 2 S -2 S -2 E,0,69 1/8,69
E 2 S -2 S -1 E,0,69 3/8,67
E -1 S -2 S 3 E,2,69 5/8,56
E -1 E,2,69 7/8,56
E -1 S 1 S 2 S,2,71 5/8,56
S -2 S 2 T -2 T 2 T -3 T 1 Q,2,71 13/16,57
E -1 S 1 S 2 E,0,73 1/8,66
E -2 S 2 S 0 E,0,73 3/8,67
E -1 S -2 S 2 S,0,73 5/8,68
S 1 S -3 S 2 S 1 Q,0,73 13/16,69
Q -7 S 2 S 1 S 2 S 2 Q,0,74 1/4,62
E -7 S 2 S 2 S 1 S 2 S 2 S -2 Q,0,76 1/8,62
E -2 E,4,77 5/8,48
