note,pitch,duration,chord,bar,mapped voice,cost,category
0,69,1/2,0,1,0,n/a,match
1,69,1/2,1,1 1/2,0,n/a,match
2,62,1/4,2,2,1,n/a,match
3,69,1/4,2,2,0,0,repetition
4,69,1/4,3,2 1/4,0,n/a,match
5,62,1/8,4,2 1/2,1,n/a,match
6,69,1/8,4,2 1/2,0,n/a,match
7,62,1/16,5,2 5/8,0,n/a,ornamentation
8,64,1/16,6,2 11/16,0,n/a,ornamentation
9,65,1/16,7,2 3/4,0,n/a,ornamentation
10,67,1/16,8,2 13/16,0,n/a,ornamentation
11,69,1/16,9,2 7/8,0,n/a,ornamentation
12,70,1/16,10,2 15/16,0,n/a,ornamentation
13,62,1/4,11,3,1,0,repetition
14,69,1/4,11,3,0,n/a,match
15,62,1/4,12,3 1/4,1,n/a,match
16,69,1/4,12,3 1/4,0,n/a,match
17,62,1/8,13,3 1/2,1,n/a,match
18,69,1/8,13,3 1/2,0,n/a,match
19,67,1/16,14,3 5/8,0,n/a,ornamentation
20,69,1/16,15,3 11/16,0,n/a,ornamentation
21,70,1/16,16,3 3/4,0,n/a,ornamentation
22,69,1/16,17,3 13/16,0,n/a,ornamentation
23,70,1/32,18,3 7/8,0,n/a,ornamentation
24,69,1/32,19,3 29/32,0,n/a,ornamentation
25,67,1/32,20,3 15/16,0,n/a,ornamentation
26,69,1/32,21,3 31/32,0,n/a,ornamentation
27,62,1/4,22,4,1,n/a,match
28,70,1/4,22,4,0,n/a,match
29,62,1/4,23,4 1/4,1,n/a,match
30,62,1/8,24,4 1/2,1,n/a,match
31,69,1/8,24,4 1/2,0,n/a,match
32,60,1/16,25,4 5/8,1,n/a,ornamentation
33,62,1/16,26,4 11/16,1,n/a,ornamentation
34,63,1/16,27,4 3/4,1,n/a,ornamentation
35,62,1/16,28,4 13/16,1,n/a,ornamentation
36,60,1/16,29,4 7/8,1,n/a,ornamentation
37,62,1/16,30,4 15/16,1,n/a,ornamentation
38,63,1/8,31,5,1,n/a,match
39,67,1/8,31,5,0,n/a,match
40,65,1/16,32,5 1/8,0,n/a,ornamentation
41,67,1/16,33,5 3/16,0,n/a,ornamentation
42,69,1/16,34,5 1/4,0,n/a,ornamentation
43,67,1/16,35,5 5/16,0,n/a,ornamentation
44,65,1/16,36,5 3/8,0,n/a,ornamentation
45,64,1/16,37,5 7/16,0,n/a,ornamentation
46,62,1/2,38,5 1/2,1,n/a,match
47,65,1/2,38,5 1/2,0,n/a,match
48,60,1/4,39,6,1,n/a,match
49,67,1/4,40,6 1/4,0,n/a,match
50,58,1/4,41,6 1/2,1,n/a,match
51,67,1/4,42,6 3/4,0,n/a,match
52,60,1/4,43,7,1,n/a,match
53,67,1/4,43,7,0,n/a,match
54,60,1/4,44,7 1/4,1,n/a,match
55,60,3/16,45,7 1/2,1,n/a,match
56,69,3/16,45,7 1/2,0,n/a,match
57,67,1/16,46,7 11/16,0,n/a,ornamentation
58,69,1/16,47,7 3/4,0,n/a,ornamentation
59,67,1/16,48,7 13/16,0,n/a,ornamentation
60,69,1/32,49,7 7/8,0,n/a,ornamentation
61,67,1/32,50,7 29/32,0,n/a,ornamentation
62,65,1/32,51,7 15/16,0,n/a,ornamentation
63,64,1/32,52,7 31/32,0,n/a,ornamentation
64,62,1/8,53,8,1,n/a,match
65,65,1/8,53,8,0,n/a,match
66,62,1/16,54,8 1/8,0,n/a,ornamentation
67,64,1/16,55,8 3/16,0,n/a,ornamentation
68,65,1/16,56,8 1/4,0,n/a,ornamentation
69,62,1/16,57,8 5/16,0,n/a,ornamentation
70,64,1/32,58,8 3/8,0,n/a,ornamentation
71,65,1/32,59,8 13/32,0,n/a,ornamentation
72,67,1/32,60,8 7/16,0,n/a,ornamentation
73,69,1/32,61,8 15/32,0,n/a,ornamentation
74,58,1/8,62,8 1/2,1,n/a,match
75,67,1/8,62,8 1/2,0,n/a,match
76,57,1/16,63,8 5/8,1,n/a,ornamentation
77,58,1/16,64,8 11/16,1,n/a,ornamentation
78,60,1/16,65,8 3/4,1,n/a,ornamentation
79,58,1/16,66,8 13/16,1,n/a,ornamentation
80,60,1/32,67,8 7/8,1,n/a,ornamentation
81,58,1/32,68,8 29/32,1,n/a,ornamentation
82,57,1/32,69,8 15/16,1,n/a,ornamentation
83,58,1/32,70,8 31/32,1,n/a,ornamentation
84,60,1/4,71,9,1,n/a,match
85,67,1/4,71,9,0,0,repetition
86,60,1/8,72,9 1/4,1,n/a,match
87,67,1/8,72,9 1/4,0,n/a,match
88,58,1/16,73,9 3/8,1,n/a,ornamentation
89,57,1/16,74,9 7/16,1,n/a,ornamentation
90,55,3/16,75,9 1/2,1,n/a,match
91,67,3/16,75,9 1/2,0,n/a,match
92,69,1/16,76,9 11/16,0,n/a,ornamentation
93,70,1/8,77,9 3/4,0,n/a,match
94,57,1/16,78,9 7/8,1,n/a,ornamentation
