ornament,voice,bar,pitch
E -7 S 2 S 1 S 2 S 2 S 1 S -1 Q,0,2 5/8,62
E -2 S 2 S 1 S -1 S 1 T -1 T -2 T 2 T 1 Q,0,3 5/8,67
E -2 S 2 S 1 S -1 S -2 S 2 S 1 E,1,4 5/8,60
E -2 S 2 S 2 S -2 S -2 S -1 S 1 H,0,5 1/8,65
E. -2 S 2 S -2 S 2 T -2 T -2 T -1 T 1 E,0,7 11/16,67
E -3 S 2 S 1 S -3 S 2 T 1 T 2 T 2 T -2 E,0,8 1/8,62
E -1 S 1 S 2 S -2 S 2 T -2 T -1 T 1 T 2 Q,1,8 5/8,57
E -2 S -1 S -2 E.,1,9 3/8,58
E. 2 S,0,9 11/16,69
R 0 S 3 S -2 E,1,9 7/8,57
S -2 S 2 T -2 T -1 T -2 T 2 E,1,10 5/16,58
E -1 S -2 S 2 S,0,10 5/8,66
S 1 S 2 T -2 T 2 T -3 T 1 E.,0,10 13/16,67
E. -2 S -1 S 1 S 2 S 2 S 1 Q,0,11 3/16,65
E 6 S -2 S -2 T,2,12 5/8,69
R 0 T -2 T 2 T 1 T 2 T 2 T 1 T 2 E.,0,12 25/32,64
E. -2 S 2 S -2 S -1 S -2 S 2 E,0,13 3/16,70
E -2 S -2 S -1 S 1 S 2 S 2 S 1 Q,0,13 5/8,67
E -1 E,1,14 5/8,57
E -2 S 2 S 1 E,1,16 3/8,59
E -1 S -2 S 3 S,0,16 5/8,66
S -1 S 1 T -1 T -2 T 2 T 1 H,0,16 13/16,66
E. 2 S 2 S -4 S 2 S 2 S -2 E,1,17 11/16,60
E -3 S 1 S 2 S -3 S 1 S 2 S 2 E,1,18 1/8,57
E -3 S 2 S 1 S -3 S 2 S 1 S 2 E,0,18 5/8,62
E -1 S 3 S -2 E 2 T -2 T -1 T 1 T 2 E,1,19 1/8,57
E -2 E -2 E -1 E 1 E,0,19 5/8,67
E -3 S 2 S 1 S -3 S 2 T 1 T 2 T 2 T -2 Q,0,20 1/8,62
E 1 T -1 T -2 T 2 T 1 Q,0,21 7/8,70
R 0 E,0,22 7/8,69
E -1 S -2 S 3 S,1,23 1/8,64
S -1 S 1 T -1 T -2 T 2 T 1 E,1,23 5/16,64
E 0 T 2 T 2 T 1 T 2 Q,0,23 5/8,65
E -2 S 2 S 2 S,1,25 3/8,58
S -2 S -2 S -1 S -2 S,1,25 9/16,60
S 2 S 1 S 2 S -2 E,1,25 13/16,57
E 1 T -1 T -2 T 2 T 1 E,0,26 7/8,67
E -7 S 2 S 2 S 1 S 2 S 2 S 1 Q,0,27 1/8,60
E -1 S -2 S -2 E,0,29 1/8,69
E -2 E,2,30 3/8,55
E. -1 S,0,30 11/16,66
S -1 S -2 S 2 S 1 Q,0,30 13/16,66
E -2 S 2 S 1 S -1 S 1 T -1 T -2 T 2 T -2 Q,1,31 5/8,62
E 7 S -2 S -1 S,1,33 1/8,67
R 0 S 2 S 2 S 1 E.,0,33 5/16,65
E. 4 S,1,33 11/16,62
R 0 S,2,33 13/16,58
T -2 T -1 T -2 T 2 E,2,33 29/32,58
E 1 E,0,34 1/8,70
E -2 E,3,34 3/8,55
E 0 E,3,34 5/8,57
E -2 S 2 S 2 S -2 S 2 T -2 T -2 T -1 T 1 E.,0,35 1/8,65
E. 3 S,2,35 11/16,60
R 0 S -2 S -1 S 1 Q,1,35 13/16,60
E. 2 S 2 S -4 S 2 S 2 S 1 Q,3,36 11/16,50
E -3 S 2 S 1 E,0,39 7/8,67
E -2 E,1,40 3/8,58
E -1 S -2 S 2 S,0,40 5/8,66
S 1 S -3 S 2 S 1 S.,0,40 13/16,67
S. -13 T 1 T 2 T 1 T 2 T 2 T 2 T 1 T -3 T 2 T 1 T 2 T 2 T -2 Q,0,41 3/32,54
Q -7 S 2 S 1 S 2 S 2 Q,2,41 3/4,55
E. 17 S 2 S -2 S -2 S -1 S -2 H,3,42 11/16,60
R 0 S 1 S 2 S 2 Q,1,43 13/16,57
R 0 S,2,46 9/16,58
R 0 S,1,46 11/16,62
E -2 E,1,47 1/8,58
E -1 E,1,47 7/8,57
R 0 S 1 S 2 S,2,48 1/8,57
R 0 S 2 T -2 T -1 T 1 T 2 Q,1,48 5/16,58
E. -2 S -2 S 2 S 2 S,2,49 3/16,60
S 2 S,2,49 7/16,64
E 1 E,0,50 7/8,70
E -2 E,1,51 3/8,58
E -1 S -2 S 2 E,0,51 5/8,66
E 1 T -1 T -2 T 2 T 1 E,0,51 7/8,67
E -5 S 1 T 2 T 2 T,2,52 1/8,57
R 0 T 1 T -3 T 2 T 1 T 2 T 2 T 1 Q,0,52 9/32,64
Q -1 E,0,54 7/8,66
E -1 E,0,56 3/8,69
S -1 S -2 S 3 S -1 E,0,56 9/16,69
E. -1 S -2 S 2 S 1 S 2 S -2 Q,0,58 3/16,64
E -1 E 1 E 2 E,1,59 1/8,52
E -1 E 1 E 2 E,3,60 1/8,45
E. -2 S 2 S -2 S -2 S -1 S 1 E,2,60 11/16,60
E 2 T -2 T -1 T 1 T 2 S -3 S 1 S,2,61 1/8,60
S 2 S,2,61 7/16,60
E -2 S -2 S -1 S 1 S 2 S 2 S 1 S,2,61 5/8,60
S 4 S -2 S -2 S 2 S -2 S -1 S -2 S 2 E,2,62 1/16,67
E -1 S 1 S 2 S -2 S -1 S -2 S 2 Q,1,62 5/8,57
