note,pitch,duration,onset,chord,bar,mapped voice,cost,category
0,55,1/2,0/96,0,1,0,n/a,match
1,55,1/4,1/2,1,1 1/2,0,n/a,match
2,55,1/4,3/4,2,1 3/4,0,n/a,match
3,62,3/16,1/1,3,2,0,n/a,match
4,60,1/16,19/16,4,2 3/16,0,n/a,ornamentation
5,58,1/16,5/4,5,2 1/4,0,n/a,ornamentation
6,60,1/16,21/16,6,2 5/16,0,n/a,ornamentation
7,62,1/16,11/8,7,2 3/8,0,n/a,ornamentation
8,64,1/16,23/16,8,2 7/16,0,n/a,ornamentation
9,62,1/4,3/2,9,2 1/2,0,0,repetition
10,55,1/4,7/4,10,2 3/4,0,n/a,match
11,55,1/4,2/1,11,3,1,n/a,match
12,62,1/4,2/1,11,3,0,n/a,match
13,55,1/4,9/4,12,3 1/4,0,n/a,match
14,55,1/4,5/2,13,3 1/2,1,n/a,match
15,62,1/4,5/2,13,3 1/2,0,n/a,match
16,55,1/4,11/4,14,3 3/4,1,n/a,match
17,64,1/4,11/4,14,3 3/4,0,n/a,match
18,62,3/16,3/1,15,4,1,n/a,match
19,65,3/16,3/1,15,4,0,n/a,match
20,64,1/16,51/16,16,4 3/16,0,n/a,ornamentation
21,65,1/16,13/4,17,4 1/4,0,n/a,ornamentation
22,64,1/16,53/16,18,4 5/16,0,n/a,ornamentation
23,65,1/32,27/8,19,4 3/8,0,n/a,ornamentation
24,64,1/32,109/32,20,4 13/32,0,n/a,ornamentation
25,62,1/32,55/16,21,4 7/16,0,n/a,ornamentation
26,60,1/32,111/32,22,4 15/32,0,n/a,ornamentation
27,58,1/4,7/2,23,4 1/2,0,n/a,match
28,62,1/4,7/2,23,4 1/2,1,0,repetition
29,55,1/4,15/4,24,4 3/4,1,n/a,match
30,55,1/8,4/1,25,5,2,n/a,match
31,62,1/8,4/1,25,5,1,n/a,match
32,70,1/8,4/1,25,5,0,n/a,match
33,60,1/16,33/8,26,5 1/8,1,n/a,ornamentation
34,62,1/16,67/16,27,5 3/16,1,n/a,ornamentation
35,64,1/16,17/4,28,5 1/4,1,2,adaptation
36,65,1/16,69/16,29,5 5/16,0,n/a,ornamentation
37,67,1/16,35/8,30,5 3/8,0,n/a,ornamentation
38,69,1/16,71/16,31,5 7/16,0,n/a,ornamentation
39,55,1/8,9/2,32,5 1/2,2,n/a,match
40,62,1/8,9/2,32,5 1/2,1,n/a,match
41,70,1/8,9/2,32,5 1/2,0,0,repetition
42,60,1/8,37/8,33,5 5/8,1,n/a,ornamentation
43,55,1/8,19/4,34,5 3/4,2,n/a,match
44,62,1/8,19/4,34,5 3/4,1,0,repetition
45,70,1/8,19/4,34,5 3/4,0,n/a,match
46,64,1/8,39/8,35,5 7/8,1,n/a,ornamentation
47,62,3/16,5/1,36,6,2,n/a,match
48,65,3/16,5/1,36,6,1,n/a,match
49,69,3/16,5/1,36,6,0,n/a,match
50,64,1/16,83/16,37,6 3/16,0,n/a,ornamentation
51,62,1/16,21/4,38,6 1/4,0,n/a,ornamentation
52,64,1/16,85/16,39,6 5/16,0,n/a,ornamentation
53,65,1/16,43/8,40,6 3/8,0,n/a,ornamentation
54,67,1/16,87/16,41,6 7/16,0,n/a,ornamentation
55,62,1/8,11/2,42,6 1/2,1,n/a,match
56,69,1/8,11/2,42,6 1/2,0,n/a,match
57,70,1/32,45/8,43,6 5/8,0,n/a,ornamentation
58,69,1/32,181/32,44,6 21/32,0,n/a,ornamentation
59,67,1/32,91/16,45,6 11/16,0,n/a,ornamentation
60,69,1/32,183/32,46,6 23/32,0,n/a,ornamentation
61,55,1/8,23/4,47,6 3/4,2,n/a,match
62,62,1/8,23/4,47,6 3/4,1,n/a,match
63,70,1/8,23/4,47,6 3/4,0,n/a,match
64,67,1/16,47/8,48,6 7/8,0,n/a,ornamentation
65,69,1/16,95/16,49,6 15/16,0,n/a,ornamentation
66,43,1/8,6/1,50,7,3,n/a,match
67,62,1/8,6/1,50,7,2,n/a,match
68,70,1/8,6/1,50,7,0,0,repetition
69,60,1/8,49/8,51,7 1/8,1,n/a,match
70,69,1/8,49/8,51,7 1/8,0,n/a,match
71,55,1/8,25/4,52,7 1/4,2,n/a,match
72,58,1/8,25/4,52,7 1/4,1,n/a,match
73,67,1/8,25/4,52,7 1/4,0,n/a,match
74,57,1/8,51/8,53,7 3/8,1,n/a,match
75,66,1/8,51/8,53,7 3/8,0,n/a,ficta
76,43,1/4,13/2,54,7 1/2,3,n/a,match
77,58,1/4,13/2,54,7 1/2,1,n/a,match
78,62,1/4,13/2,54,7 1/2,2,n/a,match
79,67,1/4,13/2,54,7 1/2,0,n/a,match
80,43,1/4,27/4,55,7 3/4,3,n/a,match
81,58,1/4,27/4,55,7 3/4,1,n/a,match
82,64,1/4,27/4,55,7 3/4,2,n/a,match
83,67,1/4,27/4,55,7 3/4,0,n/a,match
84,50,1/4,7/1,56,8,3,n/a,match
85,57,1/4,7/1,56,8,1,n/a,match
86,65,1/4,7/1,56,8,2,n/a,match
87,69,1/4,7/1,56,8,0,n/a,match
88,62,1/4,29/4,57,8 1/4,1,n/a,match
89,50,1/8,15/2,58,8 1/2,3,0,repetition
90,62,1/8,15/2,58,8 1/2,2,n/a,match
91,60,1/8,61/8,59,8 5/8,1,n/a,match
