ornament,voice,bar,pitch
E. -2 S -2 S 2 S 2 S 2 S -2 Q,0,2 3/16,60
E. -1 S 1 S -1 S 1 T -1 T -2 T -2 T -2 Q,0,4 3/16,64
E -2 S 2 S 2 S,1,5 1/8,60
R 0 S 2 S 2 S 1 E,0,5 5/16,65
E -2 E,1,5 5/8,60
E 2 E,1,5 7/8,64
E. -5 S -2 S 2 S 1 S 2 S 2 E,0,6 3/16,64
E 1 T -1 T -2 T 2 T 1 E,0,6 5/8,70
E -3 S 2 S 1 E,0,6 7/8,67
E -1 S -2 S 2 Q,2,9 7/8,57
Q -7 S 2 S 1 S 2 S 2 Q,0,10 1/4,62
E -2 S 2 S 1 E,0,11 3/8,67
R 0 E,2,11 5/8,58
E 2 E,2,11 7/8,64
E -2 S -2 S -1 S 1 S 2 S 2 S 1 Q,0,12 1/8,67
R 0 E,0,12 7/8,70
E 1 T -1 T -2 T 2 T 1 Q,0,13 1/8,70
R 0 E,0,13 5/8,70
E -7 E 2 E 1 E 5 E.,1,14 1/8,55
E. 2 S,1,14 11/16,65
S -2 S -2 S 4 S -2 Q,0,14 13/16,65
S 2 S 1 E -1 E -2 E,0,15 5/16,69
E 2 T -2 T -1 T 1 T -1 Q,3,16 3/8,60
S 2 S 1 E -1 E -2 E,2,16 13/16,64
E -1 S -2 S 2 E,0,19 5/8,66
E -2 S 2 S 1 E.,0,19 7/8,64
E. 2 S,0,20 3/16,69
E -1 S -2 S 2 E,0,20 3/8,69
R 0 E,2,21 3/8,58
E -1 S 1 S 2 S,0,21 5/8,66
S -2 S 2 T -2 T 2 T -3 T 1 Q,0,21 13/16,67
E. 3 S,2,22 11/16,60
E 17 S -1 S -14 S,3,23 3/8,63
R 0 S -1 S -2 S -1 E,2,23 9/16,58
E 1 S -1 S 1 Q,2,23 7/8,55
R 0 T 2 T 1 T 2 T 2 E,1,24 3/8,55
E -2 E,1,24 5/8,60
E 2 T -2 T -1 T 1 T 2 S,1,24 7/8,60
S -3 S 1 S 2 S 2 S,1,25 1/16,57
S -2 S -2 S -1 S -2 E,1,25 5/16,60
E -1 S 1 S 2 S -2 S -1 S -2 S 2 Q,3,25 5/8,50
R 0 S 1 S 2 S 2 E,0,26 5/16,64
E -2 E,0,26 5/8,67
E 2 T -2 T -2 T 2 T -3 Q,1,27 1/8,62
E 2 S -2 S 2 S -2 S 2 T -2 T -1 T -2 T 2 E,1,27 5/8,60
E -2 S 2 S 1 E,1,29 3/8,59
E -1 S 1 S 2 S -2 S -1 S -2 S 2 S,0,29 5/8,64
S 1 S -3 S 2 S 1 Q,0,30 1/16,65
E -5 S 1 S 2 E,2,30 7/8,57
E -2 S 2 S 1 E,0,31 1/8,62
E -1 S 1 S 2 E,0,31 3/8,64
E -2 S -1 S -2 S 2 S 1 S 2 S 2 E.,0,31 5/8,65
E. -2 S -2 S 2 S 2 S 1 S -1 Q,0,32 3/16,67
S 2 S 1 S 2 S -2 Q,2,33 1/16,64
S 2 S 1 S 2 S -2 E,2,33 13/16,62
E 2 E,0,34 3/8,69
