note,pitch,duration,chord,bar,mapped voice,cost,category
0,67,1/4,0,1,0,n/a,match
1,67,1/4,1,1 1/4,0,n/a,match
2,67,1/4,2,1 1/2,0,n/a,match
3,55,1/4,3,2,2,n/a,match
4,70,1/4,3,2,0,n/a,match
5,55,1/4,4,2 1/4,2,n/a,match
6,55,1/4,5,2 1/2,2,n/a,match
7,67,1/4,5,2 1/2,0,n/a,match
8,58,1/4,6,3,2,n/a,match
9,65,1/4,6,3,0,n/a,match
10,70,1/4,7,3 1/4,0,n/a,match
11,55,1/4,8,3 1/2,2,n/a,match
12,50,1/4,9,4,3,n/a,match
13,53,1/4,9,4,2,n/a,match
14,69,1/4,9,4,0,n/a,match
15,50,1/4,10,4 1/4,3,n/a,match
16,62,1/4,10,4 1/4,2,n/a,match
17,50,1/4,11,4 1/2,3,n/a,match
18,53,1/4,12,5,3,n/a,match
19,57,1/4,12,5,1,n/a,match
20,60,1/4,12,5,2,n/a,match
21,57,1/8,13,5 1/4,1,n/a,match
22,53,1/8,14,5 3/8,2,n/a,match
23,50,1/4,15,5 1/2,3,n/a,match
24,53,1/4,15,5 1/2,2,n/a,match
25,57,1/4,15,5 1/2,1,n/a,match
26,48,1/4,16,6,3,n/a,match
27,60,1/4,16,6,1,n/a,match
28,53,1/4,17,6 1/4,3,n/a,match
29,57,1/4,18,6 1/2,1,n/a,match
30,52,1/4,19,7,3,n/a,match
31,55,1/4,19,7,1,n/a,match
32,67,1/4,19,7,0,n/a,match
33,48,1/4,20,7 1/4,3,n/a,match
34,60,1/4,20,7 1/4,1,n/a,match
35,67,1/4,20,7 1/4,0,n/a,match
36,67,1/8,21,7 1/2,0,n/a,match
37,46,1/16,22,7 5/8,3,n/a,match
38,45,1/16,23,7 11/16,3,n/a,ornamentation
39,43,1/4,24,8,3,n/a,match
40,55,1/4,24,8,2,n/a,match
41,58,1/4,24,8,1,n/a,match
42,70,1/4,24,8,0,n/a,match
43,55,1/8,25,8 1/4,2,n/a,match
44,69,1/8,26,8 3/8,0,1,adaptation
45,55,1/8,27,8 1/2,2,n/a,match
46,67,1/8,27,8 1/2,0,n/a,match
47,57,1/8,28,8 5/8,1,1,adaptation
48,58,1/4,29,9,2,n/a,match
49,62,1/4,29,9,1,n/a,match
50,65,1/4,29,9,0,n/a,match
51,70,1/8,30,9 1/4,0,n/a,match
52,57,1/8,31,9 3/8,2,n/a,match
53,55,1/8,32,9 1/2,2,n/a,match
54,62,1/8,32,9 1/2,1,n/a,match
55,70,1/8,33,9 5/8,0,n/a,match
56,50,1/4,34,10,3,n/a,match
57,53,1/4,34,10,2,n/a,match
58,65,1/4,34,10,1,n/a,match
59,69,1/4,34,10,0,n/a,match
60,50,1/4,35,10 1/4,3,n/a,match
61,65,1/4,35,10 1/4,0,n/a,match
62,50,3/16,36,10 1/2,3,n/a,match
63,62,3/16,36,10 1/2,1,n/a,match
64,52,1/16,37,10 11/16,3,n/a,ornamentation
65,53,1/4,38,11,3,n/a,match
66,57,1/4,38,11,2,n/a,match
67,60,1/4,38,11,1,n/a,match
68,57,1/4,39,11 1/4,2,n/a,match
69,65,1/4,39,11 1/4,1,n/a,match
70,50,1/8,40,11 1/2,3,n/a,match
71,57,1/8,40,11 1/2,2,n/a,match
72,65,1/8,41,11 5/8,1,n/a,match
73,48,1/4,42,12,3,n/a,match
74,60,1/4,42,12,2,n/a,match
75,64,1/4,42,12,1,n/a,match
76,53,1/4,43,12 1/4,3,n/a,match
77,60,1/4,43,12 1/4,1,n/a,match
78,57,1/8,44,12 1/2,2,n/a,match
79,53,1/8,45,12 5/8,3,n/a,match
80,52,1/4,46,13,3,n/a,match
81,55,1/4,46,13,2,n/a,match
82,48,1/8,47,13 1/4,3,n/a,match
83,60,1/8,47,13 1/4,2,n/a,match
84,58,1/16,48,13 3/8,2,n/a,ornamentation
85,60,1/16,49,13 7/16,2,n/a,ornamentation
86,62,1/16,50,13 1/2,2,n/a,ornamentation
87,60,1/16,51,13 9/16,2,n/a,ornamentation
88,58,1/16,52,13 5/8,2,2,adaptation
89,57,1/16,53,13 11/16,2,n/a,ornamentation
90,55,1/4,54,14,3,n/a,match
91,58,1/4,54,14,2,n/a,match
92,62,1/4,54,14,1,n/a,match
93,55,1/8,55,14 1/4,2,n/a,match
94,55,1/8,56,14 3/8,3,n/a,match
95,62,1/8,56,14 3/8,1,n/a,match
96,55,1/4,57,14 1/2,3,n/a,match
97,58,1/4,57,14 1/2,2,n/a,match
98,62,1/4,57,14 1/2,1,n/a,match
99,53,1/4,58,15,3,n/a,match
100,57,1/4,58,15,2,n/a,match
101,62,1/4,58,15,1,n/a,match
102,55,1/4,59,15 1/4,3,n/a,match
103,58,1/4,59,15 1/4,2,n/a,match
104,62,1/4,59,15 1/4,1,n/a,match
105,55,1/8,60,15 1/2,2,n/a,match
106,52,1/8,61,15 5/8,3,n/a,match
107,60,1/8,61,15 5/8,1,n/a,match
108,53,1/4,62,16,3,n/a,match
109,57,1/4,62,16,2,n/a,match
110,62,1/4,62,16,1,n/a,match
111,55,3/16,63,16 1/4,3,n/a,match
112,58,3/16,63,16 1/4,2,n/a,match
113,64,3/16,63,16 1/4,1,n/a,ficta
114,62,1/16,64,16 7/16,1,n/a,ornamentation
115,61,1/16,65,16 1/2,1,n/a,ornamentation
116,62,1/16,66,16 9/16,1,n/a,ornamentation
117,64,1/16,67,16 5/8,1,1,adaptation
118,61,1/16,68,16 11/16,1,n/a,ornamentation
119,50,3/8,69,17,3,n/a,match
120,57,3/8,69,17,2,n/a,match
121,62,3/8,69,17,1,n/a,match
122,69,3/8,69,17,0,n/a,match
123,69,1/8,70,17 3/8,0,n/a,match
124,53,1/4,71,17 1/2,2,n/a,match
125,69,1/4,71,17 1/2,0,n/a,match
126,50,1/4,72,18,2,n/a,match
127,62,1/4,72,18,1,0,repetition
128,69,1/4,72,18,0,n/a,match
129,55,3/8,73,18 1/4,2,n/a,match
130,70,3/8,73,18 1/4,0,n/a,match
131,55,1/8,74,18 5/8,2,n/a,match
132,67,1/8,74,18 5/8,0,n/a,match
133,53,1/4,75,19,2,n/a,match
134,62,1/4,75,19,1,0,repetition
135,69,1/4,75,19,0,n/a,match
136,55,1/8,76,19 1/4,2,n/a,match
137,70,1/8,76,19 1/4,0,n/a,match
138,53,1/16,77,19 3/8,2,n/a,ornamentation
139,52,1/16,78,19 7/16,2,n/a,ornamentation
140,53,1/16,79,19 1/2,2,n/a,ornamentation
141,52,1/16,80,19 9/16,2,n/a,ornamentation
142,50,1/16,81,19 5/8,2,n/a,ornamentation
143,48,1/16,82,19 11/16,2,n/a,ornamentation
144,50,1/4,83,20,2,n/a,match
145,62,1/4,83,20,1,n/a,match
146,69,1/4,83,20,0,n/a,match
147,62,1/4,84,20 1/4,1,n/a,match
148,62,1/16,85,20 1/2,1,n/a,match
149,64,1/16,86,20 9/16,1,n/a,ornamentation
150,65,1/16,87,20 5/8,1,n/a,ornamentation
151,67,1/16,88,20 11/16,1,n/a,ornamentation
152,50,1/4,89,21,3,0,repetition
153,65,1/4,89,21,1,n/a,match
154,69,1/4,89,21,0,n/a,match
155,69,1/8,90,21 1/4,0,n/a,match
156,65,1/8,91,21 3/8,1,0,repetition
157,62,1/8,92,21 1/2,1,n/a,match
158,69,1/8,92,21 1/2,0,n/a,match
159,70,1/8,93,21 5/8,0,1,adaptation
160,60,1/4,94,22,1,n/a,match
161,72,1/4,94,22,0,n/a,match
162,65,1/4,95,22 1/4,1,n/a,match
163,69,1/4,96,22 1/2,0,n/a,match
164,64,1/4,97,23,1,n/a,ficta
165,67,1/4,97,23,0,n/a,match
166,72,1/4,98,23 1/4,0,n/a,match
167,60,1/4,99,23 1/2,1,n/a,match
168,62,1/4,100,24,1,n/a,match
169,70,1/4,100,24,0,n/a,match
170,64,1/4,101,24 1/4,1,n/a,ficta
171,67,1/4,101,24 1/4,0,n/a,match
172,60,1/8,102,24 1/2,1,n/a,match
173,69,1/8,102,24 1/2,0,n/a,match
174,70,1/32,103,24 5/8,0,n/a,ornamentation
175,69,1/32,104,24 21/32,0,n/a,ornamentation
176,67,1/32,105,24 11/16,0,n/a,ornamentation
177,69,1/32,106,24 23/32,0,n/a,ornamentation
178,62,1/4,107,25,1,n/a,match
179,70,1/4,107,25,0,n/a,match
180,58,1/8,108,25 1/4,1,n/a,match
181,69,1/8,109,25 3/8,0,n/a,match
182,60,1/4,110,25 1/2,1,2,adaptation
183,67,1/4,110,25 1/2,0,n/a,match
184,50,1/4,111,26,3,n/a,match
185,62,1/4,111,26,1,n/a,match
186,65,1/4,111,26,0,n/a,match
187,70,1/4,112,26 1/4,0,5,adaptation
188,55,1/4,113,26 1/2,3,n/a,match
189,62,1/4,113,26 1/2,1,0,repetition
190,55,1/4,114,26 3/4,3,0,repetition
191,62,1/4,114,26 3/4,2,n/a,match
192,70,1/4,114,26 3/4,0,0,repetition
193,53,1/4,115,27,3,n/a,match
194,69,1/4,115,27,0,n/a,match
195,50,1/4,116,27 1/4,3,n/a,match
196,62,1/4,116,27 1/4,2,n/a,match
197,53,1/4,117,27 1/2,3,n/a,match
198,60,1/4,117,27 1/2,2,n/a,match
199,69,1/4,117,27 1/2,0,0,repetition
200,53,1/8,118,27 3/4,3,0,repetition
201,57,1/8,118,27 3/4,2,n/a,match
202,60,1/8,118,27 3/4,1,n/a,match
203,52,1/16,119,27 7/8,3,n/a,match
204,50,1/16,120,27 15/16,3,n/a,ornamentation
205,48,1/4,121,28,3,n/a,match
206,60,1/4,121,28,2,n/a,match
207,48,1/8,122,28 1/4,3,n/a,match
208,60,1/8,122,28 1/4,1,n/a,match
209,67,1/8,122,28 1/4,0,n/a,match
210,58,1/16,123,28 3/8,2,n/a,match
211,57,1/16,124,28 7/16,1,n/a,ornamentation
212,51,1/4,125,28 1/2,3,n/a,match
213,55,1/4,125,28 1/2,2,n/a,match
214,58,1/4,125,28 1/2,1,n/a,match
215,55,1/8,126,28 3/4,1,n/a,match
216,58,1/8,126,28 3/4,2,n/a,match
217,67,1/8,126,28 3/4,0,n/a,match
218,51,1/8,127,28 7/8,3,n/a,match
219,50,1/4,128,29,3,n/a,match
220,58,1/4,128,29,1 and 2,n/a,match
221,65,1/4,128,29,0,n/a,match
222,46,1/8,129,29 1/4,3,n/a,match
223,58,1/8,129,29 1/4,2,n/a,match
224,62,1/8,129,29 1/4,0,n/a,match
225,48,1/8,130,29 3/8,3,n/a,match
226,57,1/8,130,29 3/8,1,n/a,match
227,50,1/8,131,29 1/2,3,n/a,match
228,53,1/8,131,29 1/2,1,n/a,match
229,57,1/8,131,29 1/2,2,n/a,match
230,65,1/8,131,29 1/2,0,n/a,match
231,52,1/8,132,29 5/8,3,n/a,ficta
232,53,1/8,133,29 3/4,3,n/a,match
233,53,1/8,133,29 3/4,2,n/a,match
